ARKK
as of 05/11/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.46%	1,626,633	$696,768,245.55
AMD	ADVANCED MICRO DEVICES	5.66%	828,773	$377,249,181.87
CRSP	CRISPR THERAPEUTICS AG	4.99%	6,067,395	$332,675,267.85
TEM	TEMPUS AI INC-CL A	4.80%	6,410,987	$319,651,811.82
ROKU	ROKU INC	4.61%	2,368,625	$306,807,996.25
CRCL	CIRCLE INTERNET GROUP INC	4.60%	2,696,001	$306,454,433.67
HOOD	ROBINHOOD MARKETS INC - A	4.35%	3,763,283	$289,885,689.49
COIN	COINBASE GLOBAL INC -CLASS A	4.34%	1,437,094	$289,085,829.04
SHOP	SHOPIFY INC - CLASS A	4.21%	2,539,493	$280,385,422.13
BEAM	BEAM THERAPEUTICS INC	3.12%	6,431,372	$207,861,943.04
PLTR	PALANTIR TECHNOLOGIES INC-A	2.97%	1,436,029	$197,884,796.20
TWST	TWIST BIOSCIENCE CORP	2.68%	3,137,984	$178,394,390.40
CRWV	COREWEAVE INC-CL A	2.66%	1,554,320	$177,425,628.00
AMZN	AMAZON.COM INC	2.64%	643,870	$175,570,471.60
BLSH	BULLISH	2.57%	3,925,413	$171,383,531.58
RBLX	ROBLOX CORP -CLASS A	2.37%	3,766,248	$157,843,453.68
NTLA	INTELLIA THERAPEUTICS INC	2.17%	10,251,498	$144,443,606.82
TXG	10X GENOMICS INC-CLASS A	2.16%	6,675,743	$144,196,048.80
BMNR	BITMINE IMMERSION TECHNOLOGI	2.01%	6,041,762	$133,945,863.54
TER	TERADYNE INC	1.79%	332,024	$119,452,274.48
ACHR	ARCHER AVIATION INC-A	1.68%	17,257,655	$111,829,604.40
XYZ	BLOCK INC	1.56%	1,388,091	$103,898,611.35
GOOG	ALPHABET INC-CL C	1.47%	246,600	$97,912,530.00
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.44%	233,385	$96,079,936.80
ILMN	ILLUMINA INC	1.29%	604,260	$85,732,408.80
NVDA	NVIDIA CORP	1.23%	379,502	$81,668,830.40
XE	X-ENERGY INC	1.17%	2,574,670	$77,703,540.60
AVGO	BROADCOM INC	1.15%	177,971	$76,527,530.00
DE	DEERE & CO	1.14%	131,676	$75,692,631.84
BIDU	BAIDU INC - SPON ADR	1.10%	521,614	$73,573,654.70
RXRX	RECURSION PHARMACEUTICALS-A	1.07%	21,378,514	$70,976,666.48
NTRA	NATERA INC	1.06%	363,384	$70,583,708.16
VCYT	VERACYTE INC	1.05%	1,731,358	$69,981,490.36
BABA	ALIBABA GROUP HOLDING-SP ADR	0.93%	444,177	$62,211,430.62
KTOS	KRATOS DEFENSE & SECURITY	0.92%	1,063,198	$61,548,532.22
BWXT	BWX TECHNOLOGIES INC	0.91%	295,608	$60,697,190.64
WGS	GENEDX HOLDINGS CORP	0.62%	1,011,613	$41,243,462.01
META	META PLATFORMS INC-CLASS A	0.57%	62,699	$38,223,191.37
SOFI	SOFI TECHNOLOGIES INC	0.51%	2,140,889	$33,719,001.75
CERS	CERUS CORP	0.37%	9,485,039	$24,755,951.79
PACB	PACIFIC BIOSCIENCES OF CALIF	0.31%	14,492,261	$20,434,088.01
SLMT	BRERA HOLDINGS PLC-CL B	0.04%	4,118,889	$2,658,330.96

--------------------------

ARKQ
as of 05/11/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.60%	547,167	$234,378,984.45
AMD	ADVANCED MICRO DEVICES	7.80%	378,814	$172,432,344.66
TER	TERADYNE INC	7.66%	470,464	$169,258,833.28
RKLB UQ	ROCKET LAB	5.31%	1,112,754	$117,362,164.38
KTOS	KRATOS DEFENSE & SECURITY	4.79%	1,828,247	$105,837,218.83
GOOG	ALPHABET INC-CL C	4.62%	257,064	$102,067,261.20
DE	DEERE & CO	3.83%	147,393	$84,727,392.12
PLTR	PALANTIR TECHNOLOGIES INC-A	3.62%	580,779	$80,031,346.20
AMZN	AMAZON.COM INC	3.26%	264,229	$72,049,963.72
ACHR	ARCHER AVIATION INC-A	3.09%	10,529,189	$68,229,144.72
TSM	TAIWAN SEMICONDUCTOR-SP ADR	3.02%	161,886	$66,645,228.48
LHX	L3HARRIS TECHNOLOGIES INC	2.80%	206,376	$61,838,504.64
AVAV	AEROVIRONMENT INC	2.43%	319,323	$53,738,867.67
NVDA	NVIDIA CORP	2.35%	240,949	$51,852,224.80
LUNR	INTUITIVE MACHINES INC	2.30%	1,756,836	$50,895,538.92
CAT	CATERPILLAR INC	2.24%	55,173	$49,515,008.85
TRMB	TRIMBLE INC	2.06%	750,638	$45,638,790.40
BIDU	BAIDU INC - SPON ADR	2.00%	313,539	$44,224,675.95
CCJ	CAMECO CORP	1.77%	334,377	$39,038,514.75
KMTUY	KOMATSU LTD -SPONS ADR	1.75%	914,185	$38,651,741.80
AUR	AURORA INNOVATION INC	1.71%	5,332,896	$37,756,903.68
JOBY	JOBY AVIATION INC	1.68%	3,412,522	$37,094,114.14
BWXT	BWX TECHNOLOGIES INC	1.63%	175,283	$35,990,858.39
IRDM	IRIDIUM COMMUNICATIONS INC	1.60%	853,037	$35,366,914.02
SYM UQ	SYMBOTIC INC	1.60%	675,926	$35,344,170.54
AVGO	BROADCOM INC	1.54%	79,067	$33,998,810.00
ESLT	ELBIT SYSTEMS LTD	1.43%	40,413	$31,611,250.67
ISRG	INTUITIVE SURGICAL INC	1.25%	61,325	$27,599,929.50
OKLO	OKLO INC	1.20%	366,687	$26,588,474.37
XE	X-ENERGY INC	1.17%	858,387	$25,906,119.66
WRD	WERIDE INC-ADR	1.16%	3,422,505	$25,703,012.55
SNPS	SYNOPSYS INC	1.05%	45,021	$23,252,446.08
BYDDY	BYD CO LTD-UNSPONSORED ADR	0.98%	1,695,571	$21,686,353.09
DASH	DOORDASH INC - A	0.98%	131,582	$21,570,237.26
KDK	KODIAK AI INC	0.98%	3,003,728	$21,762,009.36
TDY	TELEDYNE TECHNOLOGIES INC	0.98%	34,917	$21,696,725.46
SRTA	STRATA CRITICAL MEDICAL INC	0.93%	3,702,185	$20,621,170.45
PONY	PONY AI INC	0.76%	1,796,717	$16,691,500.93

--------------------------

ARKW
as of 05/11/2026

Ticker	Name	Weight	Shares	Market Value
AMD	ADVANCED MICRO DEVICES	9.61%	379,249	$172,630,352.31
TSLA	TESLA INC	9.02%	378,174	$161,990,832.90
CRCL	CIRCLE INTERNET GROUP INC	4.58%	724,052	$82,302,990.84
HOOD	ROBINHOOD MARKETS INC - A	4.57%	1,066,814	$82,176,682.42
ROKU	ROKU INC	4.25%	589,770	$76,392,908.10
SHOP	SHOPIFY INC - CLASS A	4.21%	684,995	$75,630,297.95
AMZN	AMAZON.COM INC	4.02%	265,194	$72,313,099.92
GOOG	ALPHABET INC-CL C	3.81%	172,448	$68,470,478.40
CRWV	COREWEAVE INC-CL A	3.81%	599,543	$68,437,833.45
COIN	COINBASE GLOBAL INC -CLASS A	3.73%	332,862	$66,958,519.92
XYZ	BLOCK INC	2.80%	672,416	$50,330,337.60
TSM	TAIWAN SEMICONDUCTOR-SP ADR	2.72%	118,723	$48,875,884.64
PLTR	PALANTIR TECHNOLOGIES INC-A	2.61%	339,886	$46,836,290.80
RBLX	ROBLOX CORP -CLASS A	2.29%	980,150	$41,078,086.50
AVGO	BROADCOM INC	2.24%	93,759	$40,316,370.00
BLSH	BULLISH	2.15%	882,843	$38,544,925.38
DDOG	DATADOG INC - CLASS A	2.07%	186,177	$37,265,188.32
META	META PLATFORMS INC-CLASS A	2.01%	59,230	$36,108,384.90
CRWD	CROWDSTRIKE HOLDINGS INC - A	1.98%	67,498	$35,623,419.46
BMNR	BITMINE IMMERSION TECHNOLOGI	1.94%	1,571,824	$34,847,338.08
NET	CLOUDFLARE INC - CLASS A	1.76%	161,468	$31,668,718.84
PSTG	EVERPURE INC-A	1.49%	341,759	$26,711,883.44
RBRK	RUBRIK INC-A	1.19%	344,096	$21,450,944.64
NFLX	NETFLIX INC	1.16%	237,520	$20,780,624.80
NVDA	NVIDIA CORP	1.08%	90,231	$19,417,711.20
BIDU	BAIDU INC - SPON ADR	1.06%	134,623	$18,988,574.15
BABA	ALIBABA GROUP HOLDING-SP ADR	1.05%	134,695	$18,865,381.70
TOST	TOAST INC-CLASS A	1.03%	742,039	$18,588,076.95
DKNG UW	DRAFTKINGS INC-CL A	0.97%	683,052	$17,431,487.04
GTLB	GITLAB INC-CL A	0.94%	652,949	$16,963,615.02
SPOT	SPOTIFY TECHNOLOGY SA	0.91%	39,189	$16,374,339.87
DASH	DOORDASH INC - A	0.89%	97,467	$15,977,765.31
MELI	MERCADOLIBRE INC	0.82%	9,012	$14,712,270.24
GENI	GENIUS SPORTS LTD	0.79%	3,238,293	$14,248,489.20
ABNB	AIRBNB INC-CLASS A	0.52%	66,281	$9,378,098.69
ETHQ/U	3IQ ETHER STAKING ETF	0.41%	825,697	$7,406,502.09
SOLQ/U	3IQ SOLANA STAKING ETF	0.18%	441,162	$3,163,131.54
SLMT	BRERA HOLDINGS PLC-CL B	0.06%	1,699,167	$1,096,642.38

--------------------------

ARKG
as of 05/11/2026

Ticker	Name	Weight	Shares	Market Value
CRSP	CRISPR THERAPEUTICS AG	9.21%	1,999,444	$109,629,514.52
TEM	TEMPUS AI INC-CL A	8.55%	2,040,780	$101,753,290.80
TWST	TWIST BIOSCIENCE CORP	8.50%	1,779,253	$101,150,533.05
BEAM	BEAM THERAPEUTICS INC	5.71%	2,102,519	$67,953,414.08
ABSI	ABSCI CORP	5.61%	11,313,757	$66,751,166.30
TXG	10X GENOMICS INC-CLASS A	5.50%	3,034,096	$65,536,473.60
ILMN	ILLUMINA INC	4.45%	373,360	$52,972,316.80
NTLA	INTELLIA THERAPEUTICS INC	3.94%	3,324,969	$46,848,813.21
PSNL	PERSONALIS INC	3.83%	7,619,788	$45,566,332.24
GH	GUARDANT HEALTH INC	3.79%	471,441	$45,116,903.70
NTRA	NATERA INC	3.78%	231,664	$44,998,415.36
CDNA	CAREDX INC	3.42%	1,864,792	$40,689,761.44
RXRX	RECURSION PHARMACEUTICALS-A	3.33%	11,927,106	$39,597,991.92
VCYT	VERACYTE INC	3.18%	935,826	$37,826,086.92
CMPS	COMPASS PATHWAYS PLC	2.62%	3,151,707	$31,233,416.37
ADPT	ADAPTIVE BIOTECHNOLOGIES	2.30%	1,984,406	$27,404,646.86
NRIX	NURIX THERAPEUTICS INC	2.27%	1,638,290	$27,064,550.80
SDGR	SCHRODINGER INC	2.19%	1,989,428	$26,121,189.64
ARCT UQ	ARCTURUS THERAPEUTICS HOLDIN	2.07%	2,669,807	$24,615,620.54
IONS	IONIS PHARMACEUTICALS INC	1.74%	273,962	$20,741,663.02
BFLY	BUTTERFLY NETWORK INC	1.62%	4,646,678	$19,330,180.48
CERS	CERUS CORP	1.55%	7,081,165	$18,481,840.65
WGS	GENEDX HOLDINGS CORP	1.49%	435,352	$17,749,301.04
ATAI UQ	ATAIBECKLEY INC	1.41%	4,165,345	$16,786,340.35
MASS	908 DEVICES INC	1.27%	1,855,751	$15,161,485.67
PRME	PRIME MEDICINE INC	1.26%	4,681,668	$15,028,154.28
PACB	PACIFIC BIOSCIENCES OF CALIF	1.23%	10,421,317	$14,694,056.97
ALMR	ALAMAR BIOSCIENCES INC	1.14%	567,024	$13,585,895.04
BNTX	BIONTECH SE-ADR	0.95%	120,656	$11,356,746.00
LLY	ELI LILLY & CO	0.95%	11,956	$11,339,668.20
GENB	GENERATE BIOMEDICINES INC	0.55%	478,603	$6,537,716.98
QSI	QUANTUM-SI INC	0.50%	6,584,886	$5,969,857.65

--------------------------

ARKF
as of 01/02/2026

Ticker	Name	Weight	Shares	Market Value
