ARKK
as of 02/11/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	11.12%	1,646,202	$699,981,552.42
CRSP	CRISPR THERAPEUTICS AG	5.54%	7,143,918	$348,837,515.94
TEM	TEMPUS AI INC	5.23%	5,884,868	$328,846,423.84
ROKU	ROKU INC	4.70%	3,255,909	$295,994,687.19
SHOP	SHOPIFY INC - CLASS A	4.31%	2,133,340	$271,446,181.60
AMD	ADVANCED MICRO DEVICES	3.96%	1,168,289	$249,511,481.73
HOOD	ROBINHOOD MARKETS INC - A	3.95%	2,904,258	$248,604,484.80
RBLX	ROBLOX CORP -CLASS A	3.76%	3,291,978	$236,824,897.32
BEAM	BEAM THERAPEUTICS INC	3.57%	8,325,623	$224,375,539.85
COIN	COINBASE GLOBAL INC -CLASS A	3.55%	1,373,802	$223,256,563.02
TER	TERADYNE INC	3.37%	696,035	$212,214,111.15
PLTR	PALANTIR TECHNOLOGIES INC-A	3.19%	1,437,016	$200,478,102.16
TWST	TWIST BIOSCIENCE CORP	3.19%	4,089,178	$200,615,072.68
CRCL	CIRCLE INTERNET GROUP INC	2.53%	2,665,958	$159,290,990.50
BLSH	BULLISH	2.18%	4,285,011	$137,334,602.55
TXG	10X GENOMICS INC-CLASS A	2.15%	7,066,286	$135,319,376.90
ACHR	ARCHER AVIATION INC-A	2.13%	18,723,743	$134,249,237.31
BMNR	BITMINE IMMERSION TECHNOLOGI	1.93%	6,095,864	$121,612,486.80
CRWV	COREWEAVE INC-CL A	1.87%	1,235,012	$117,461,991.32
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.72%	298,242	$107,936,762.22
DE	DEERE & CO	1.69%	179,221	$106,351,533.61
AMZN	AMAZON.COM INC	1.67%	507,339	$104,998,879.44
NTLA	INTELLIA THERAPEUTICS INC	1.66%	8,758,416	$104,312,734.56
NVDA	NVIDIA CORP	1.66%	554,493	$104,544,110.22
XYZ	BLOCK INC	1.38%	1,520,762	$87,139,662.60
BIDU	BAIDU INC - SPON ADR	1.31%	556,811	$82,218,712.26
NTRA	NATERA INC	1.30%	387,300	$81,972,045.00
ILMN	ILLUMINA INC	1.27%	670,519	$80,006,327.08
BWXT	BWX TECHNOLOGIES INC	1.25%	392,451	$78,423,483.33
RXRX	RECURSION PHARMACEUTICALS-A	1.25%	20,478,175	$78,840,973.75
VCYT	VERACYTE INC	1.21%	2,063,062	$76,395,185.86
KTOS	KRATOS DEFENSE & SECURITY	1.20%	805,866	$75,332,353.68
META	META PLATFORMS INC-CLASS A	1.16%	108,606	$72,844,216.32
WGS	GENEDX HOLDINGS CORP	1.04%	687,529	$65,163,998.62
AVGO	BROADCOM INC	0.95%	174,809	$59,511,975.96
BABA	ALIBABA GROUP HOLDING-SP ADR	0.91%	344,879	$57,425,802.29
GOOG	ALPHABET INC-CL C	0.89%	175,690	$55,980,104.70
DKNG UW	DRAFTKINGS INC-CL A	0.79%	1,840,164	$49,905,247.68
ABNB	AIRBNB INC-CLASS A	0.77%	404,778	$48,702,888.96
SOFI	SOFI TECHNOLOGIES INC	0.74%	2,212,065	$46,851,536.70
PACB	PACIFIC BIOSCIENCES OF CALIF	0.59%	20,504,740	$37,113,579.40
PD	PAGERDUTY INC	0.53%	4,298,284	$33,612,580.88
CERS	CERUS CORP	0.33%	9,301,094	$20,741,439.62
SLMT	BRERA HOLDINGS PLC-CL B	0.13%	6,601,922	$8,318,421.72

--------------------------

ARKQ
as of 02/11/2026

Ticker	Name	Weight	Shares	Market Value
TER	TERADYNE INC	10.44%	701,648	$213,925,458.72
TSLA	TESLA INC	10.43%	502,603	$213,711,821.63
KTOS	KRATOS DEFENSE & SECURITY	7.39%	1,620,641	$151,497,520.68
RKLB UQ	ROCKET LAB	4.78%	1,360,803	$98,018,640.09
DE	DEERE & CO	4.31%	148,993	$88,413,936.13
AMD	ADVANCED MICRO DEVICES	4.18%	401,339	$85,713,970.23
AVAV	AEROVIRONMENT INC	3.88%	301,959	$79,493,726.34
PLTR	PALANTIR TECHNOLOGIES INC-A	3.85%	565,511	$78,894,439.61
ACHR	ARCHER AVIATION INC-A	3.32%	9,478,820	$67,963,139.40
GOOG	ALPHABET INC-CL C	3.26%	209,607	$66,787,078.41
LHX	L3HARRIS TECHNOLOGIES INC	3.13%	186,105	$64,221,113.40
TSM	TAIWAN SEMICONDUCTOR-SP ADR	2.86%	161,886	$58,588,162.26
TRMB	TRIMBLE INC	2.52%	750,638	$51,703,945.44
NVDA	NVIDIA CORP	2.22%	240,949	$45,428,524.46
AMZN	AMAZON.COM INC	2.21%	218,635	$45,248,699.60
CAT	CATERPILLAR INC	2.15%	59,298	$44,021,056.26
KMTUY	KOMATSU LTD -SPONS ADR	2.15%	914,185	$44,063,717.00
BIDU	BAIDU INC - SPON ADR	2.02%	280,967	$41,487,587.22
CCJ	CAMECO CORP	1.98%	342,965	$40,500,736.85
IRDM	IRIDIUM COMMUNICATIONS INC	1.90%	1,915,561	$38,905,043.91
BWXT	BWX TECHNOLOGIES INC	1.79%	184,059	$36,780,509.97
SYM UQ	SYMBOTIC INC	1.73%	565,001	$35,431,212.71
LUNR	INTUITIVE MACHINES INC	1.71%	1,882,141	$35,045,465.42
ISRG	INTUITIVE SURGICAL INC	1.48%	61,325	$30,365,073.75
ESLT	ELBIT SYSTEMS LTD	1.43%	43,008	$29,209,743.36
WRD	WERIDE INC-ADR	1.34%	3,422,505	$27,414,265.05
JOBY	JOBY AVIATION INC	1.33%	2,673,564	$27,350,559.72
PONY	PONY AI INC	1.29%	1,796,717	$26,465,641.41
TDY	TELEDYNE TECHNOLOGIES INC	1.12%	34,917	$23,042,426.64
SRTA	STRATA CRITICAL MEDICAL INC	1.07%	4,811,803	$21,893,703.65
AUR	AURORA INNOVATION INC	1.06%	4,882,692	$21,776,806.32
BYDDY	BYD CO LTD-UNSPONSORED ADR	1.02%	1,695,571	$20,838,567.59
SNPS	SYNOPSYS INC	0.96%	45,021	$19,694,436.45
KDK	KODIAK AI INC	0.95%	2,228,848	$19,502,420.00
OKLO	OKLO INC	0.94%	277,025	$19,244,926.75
DASH	DOORDASH INC - A	0.86%	94,762	$17,591,617.68
AVGO	BROADCOM INC	0.85%	51,417	$17,504,403.48

--------------------------

ARKW
as of 02/11/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.10%	398,551	$169,467,870.71
AMD	ADVANCED MICRO DEVICES	7.27%	571,343	$122,021,724.51
ROKU	ROKU INC	5.24%	966,815	$87,893,151.65
SHOP	SHOPIFY INC - CLASS A	4.56%	601,333	$76,513,610.92
HOOD	ROBINHOOD MARKETS INC - A	4.49%	879,409	$75,277,410.40
RBLX	ROBLOX CORP -CLASS A	3.81%	887,463	$63,844,088.22
GOOG	ALPHABET INC-CL C	3.60%	189,527	$60,388,988.01
TSM	TAIWAN SEMICONDUCTOR-SP ADR	3.34%	154,949	$56,077,592.59
CRWV	COREWEAVE INC-CL A	3.27%	576,041	$54,787,259.51
COIN	COINBASE GLOBAL INC -CLASS A	3.18%	327,830	$53,275,653.30
PLTR	PALANTIR TECHNOLOGIES INC-A	2.92%	351,074	$48,978,333.74
CRCL	CIRCLE INTERNET GROUP INC	2.66%	747,233	$44,647,171.75
META	META PLATFORMS INC-CLASS A	2.62%	65,467	$43,910,026.24
XYZ	BLOCK INC	2.53%	739,675	$42,383,377.50
AVGO	BROADCOM INC	2.10%	103,360	$35,187,878.40
BMNR	BITMINE IMMERSION TECHNOLOGI	1.95%	1,641,120	$32,740,344.00
AMZN	AMAZON.COM INC	1.93%	156,715	$32,433,736.40
BLSH	BULLISH	1.87%	976,878	$31,308,939.90
CRWD	CROWDSTRIKE HOLDINGS INC - A	1.84%	74,719	$30,888,087.41
NET	CLOUDFLARE INC - CLASS A	1.74%	162,523	$29,250,889.54
NVDA	NVIDIA CORP	1.62%	144,328	$27,211,601.12
BIDU	BAIDU INC - SPON ADR	1.61%	183,167	$27,046,439.22
DDOG	DATADOG INC - CLASS A	1.58%	204,439	$26,509,605.13
PSTG	PURE STORAGE INC - CLASS A	1.32%	300,173	$22,104,739.72
RBRK	RUBRIK INC-A	1.26%	378,433	$21,127,914.39
DASH	DOORDASH INC - A	1.19%	107,448	$19,946,646.72
GTLB	GITLAB INC-CL A	1.18%	626,333	$19,760,806.15
MELI	MERCADOLIBRE INC	1.18%	9,783	$19,813,705.56
DKNG UW	DRAFTKINGS INC-CL A	1.15%	710,494	$19,268,597.28
NFLX	NETFLIX INC	1.14%	233,153	$19,167,508.13
ABNB	AIRBNB INC-CLASS A	1.06%	147,592	$17,758,269.44
BABA	ALIBABA GROUP HOLDING-SP ADR	1.02%	102,314	$17,036,304.14
TOST	TOAST INC-CLASS A	1.00%	567,504	$16,724,342.88
SPOT	SPOTIFY TECHNOLOGY SA	0.99%	35,054	$16,686,405.08
U	UNITY SOFTWARE INC	0.86%	495,215	$14,390,947.90
GENI	GENIUS SPORTS LTD	0.82%	2,187,134	$13,691,458.84
PINS	PINTEREST INC- CLASS A	0.75%	614,843	$12,499,758.19
NXDR	NEXTDOOR HOLDINGS INC	0.73%	7,173,941	$12,267,439.11
CRM	SALESFORCE INC	0.47%	41,003	$7,932,030.35
PD	PAGERDUTY INC	0.45%	966,287	$7,556,364.34
ETHQ/U	3IQ ETHER STAKING ETF	0.41%	883,225	$6,897,987.25
SOLQ/U	3IQ SOLANA STAKING ETF	0.18%	455,320	$3,018,771.60
SLMT	BRERA HOLDINGS PLC-CL B	0.14%	1,848,217	$2,328,753.42
TTD	TRADE DESK INC/THE -CLASS A	0.00%	801	$22,532.13

--------------------------

ARKG
as of 02/11/2026

Ticker	Name	Weight	Shares	Market Value
TWST	TWIST BIOSCIENCE CORP	9.00%	2,253,092	$110,536,693.52
TEM	TEMPUS AI INC	8.60%	1,890,099	$105,618,732.12
