ARKK
as of 12/29/2025

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	11.84%	1,849,398	$878,815,435.62
ROKU	ROKU INC	5.87%	3,886,265	$435,572,581.20
CRSP	CRISPR THERAPEUTICS AG	5.51%	7,430,369	$409,264,724.52
SHOP	SHOPIFY INC - CLASS A	5.32%	2,310,264	$394,662,399.12
COIN	COINBASE GLOBAL INC -CLASS A	5.15%	1,615,340	$382,674,046.00
HOOD	ROBINHOOD MARKETS INC - A	4.46%	2,800,762	$330,854,015.06
TEM	TEMPUS AI INC	4.41%	5,218,755	$327,215,938.50
PLTR	PALANTIR TECHNOLOGIES INC-A	3.91%	1,537,666	$290,172,950.86
RBLX	ROBLOX CORP -CLASS A	3.42%	3,084,542	$253,611,043.24
AMD	ADVANCED MICRO DEVICES	3.39%	1,170,193	$251,579,793.07
BEAM	BEAM THERAPEUTICS INC	3.33%	8,846,928	$247,537,045.44
TER	TERADYNE INC	2.88%	1,074,738	$213,765,388.20
CRCL	CIRCLE INTERNET GROUP INC	2.80%	2,555,300	$207,669,231.00
BMNR	BITMINE IMMERSION TECHNOLOGI	2.32%	6,084,648	$172,256,384.88
ACHR	ARCHER AVIATION INC-A	2.13%	20,036,463	$158,087,693.07
TWST	TWIST BIOSCIENCE CORP	1.99%	4,466,457	$147,616,403.85
ILMN	ILLUMINA INC	1.81%	996,124	$134,426,933.80
TXG	10X GENOMICS INC-CLASS A	1.75%	7,901,615	$130,297,631.35
BLSH	BULLISH	1.73%	3,123,566	$128,503,505.24
AMZN	AMAZON.COM INC	1.70%	542,841	$126,221,389.32
NVDA	NVIDIA CORP	1.52%	593,289	$113,039,353.17
XYZ	BLOCK INC	1.45%	1,627,268	$107,839,050.36
VCYT	VERACYTE INC	1.45%	2,538,774	$107,872,507.26
NTRA	NATERA INC	1.36%	430,707	$100,673,454.18
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.30%	319,104	$96,637,455.36
DKNG UW	DRAFTKINGS INC-CL A	1.23%	2,618,226	$91,323,722.88
DE	DEERE & CO	1.21%	191,787	$89,934,677.91
RXRX	RECURSION PHARMACEUTICALS-A	1.21%	21,085,327	$89,612,639.75
META	META PLATFORMS INC-CLASS A	1.20%	134,097	$88,945,199.13
CRWV	COREWEAVE INC-CL A	1.17%	1,135,904	$86,805,783.68
NTLA	INTELLIA THERAPEUTICS INC	1.15%	9,033,765	$85,278,741.60
PD	PAGERDUTY INC	1.07%	6,049,480	$79,611,156.80
ABNB	AIRBNB INC-CLASS A	1.05%	570,466	$78,051,158.12
TTD	TRADE DESK INC/THE -CLASS A	1.05%	2,044,247	$78,315,102.57
BIDU	BAIDU INC - SPON ADR	1.00%	595,729	$74,346,979.20
BWXT	BWX TECHNOLOGIES INC	0.99%	419,901	$73,852,187.88
KTOS	KRATOS DEFENSE & SECURITY	0.97%	930,004	$72,261,310.80
SOFI	SOFI TECHNOLOGIES INC	0.86%	2,367,127	$64,078,127.89
BABA	ALIBABA GROUP HOLDING-SP ADR	0.76%	369,035	$56,181,888.40
WGS	GENEDX HOLDINGS CORP	0.65%	361,507	$48,366,021.53
PACB	PACIFIC BIOSCIENCES OF CALIF	0.51%	21,567,167	$38,173,885.59
GOOG	ALPHABET INC-CL C	0.46%	108,172	$34,069,853.12
CERS	CERUS CORP	0.27%	9,953,184	$20,204,963.52
SLMT	BRERA HOLDINGS PLC-CL B	0.18%	6,222,479	$13,067,205.90

--------------------------

ARKQ
as of 12/29/2025

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	12.36%	461,374	$219,240,311.06
TER	TERADYNE INC	9.32%	831,244	$165,334,431.60
KTOS	KRATOS DEFENSE & SECURITY	7.27%	1,659,099	$128,911,992.30
RKLB UQ	ROCKET LAB	5.56%	1,396,874	$98,689,148.10
PLTR	PALANTIR TECHNOLOGIES INC-A	5.52%	519,125	$97,964,078.75
AMD	ADVANCED MICRO DEVICES	4.20%	346,208	$74,431,257.92
ACHR	ARCHER AVIATION INC-A	3.87%	8,700,923	$68,650,282.47
AVAV	AEROVIRONMENT INC	3.74%	260,130	$66,333,150.00
DE	DEERE & CO	3.51%	132,786	$62,267,338.98
TRMB	TRIMBLE INC	3.11%	689,051	$55,261,890.20
AMZN	AMAZON.COM INC	2.63%	200,707	$46,668,391.64
LHX	L3HARRIS TECHNOLOGIES INC	2.63%	157,143	$46,635,328.11
TSM	TAIWAN SEMICONDUCTOR-SP ADR	2.54%	148,602	$45,002,629.68
GOOG	ALPHABET INC-CL C	2.45%	138,050	$43,480,228.00
NVDA	NVIDIA CORP	2.38%	221,185	$42,142,378.05
BIDU	BAIDU INC - SPON ADR	1.81%	257,909	$32,187,043.20
IRDM	IRIDIUM COMMUNICATIONS INC	1.71%	1,758,367	$30,261,496.07
SYM UQ	SYMBOTIC INC	1.70%	518,642	$30,076,049.58
BWXT	BWX TECHNOLOGIES INC	1.68%	168,966	$29,717,740.08
CCJ	CAMECO CORP	1.65%	314,831	$29,228,910.04
JOBY	JOBY AVIATION INC	1.51%	1,936,473	$26,878,245.24
KMTUY	KOMATSU LTD -SPONS ADR	1.51%	839,179	$26,711,067.57
LUNR	INTUITIVE MACHINES INC	1.49%	1,727,701	$26,347,440.25
ISRG	INTUITIVE SURGICAL INC	1.48%	45,315	$26,183,460.15
PONY	PONY AI INC	1.29%	1,525,119	$22,815,780.24
ESLT	ELBIT SYSTEMS LTD	1.27%	39,498	$22,556,912.82
SRTA	STRATA CRITICAL MEDICAL INC	1.21%	4,416,928	$21,510,439.36
DASH	DOORDASH INC - A	1.15%	86,986	$20,350,374.70
CAT	CATERPILLAR INC	1.12%	34,056	$19,854,648.00
SNPS	SYNOPSYS INC	1.11%	41,349	$19,729,261.86
QCOM	QUALCOMM INC	1.07%	108,806	$19,020,376.86
AUR	AURORA INNOVATION INC	1.01%	4,481,985	$17,927,940.00
WRD	WERIDE INC-ADR	0.98%	1,995,290	$17,378,975.90
OKLO	OKLO INC	0.96%	222,309	$17,100,008.28
BYDDY	BYD CO LTD-UNSPONSORED ADR	0.93%	1,325,136	$16,564,200.00
TDY	TELEDYNE TECHNOLOGIES INC	0.93%	32,055	$16,583,654.25
KDK	KODIAK AI INC	0.91%	1,562,908	$16,097,952.40

--------------------------

ARKW
as of 12/29/2025

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	9.42%	435,185	$206,795,560.15
ROKU	ROKU INC	5.88%	1,151,248	$129,031,875.84
AMD	ADVANCED MICRO DEVICES	5.68%	579,826	$124,656,791.74
SHOP	SHOPIFY INC - CLASS A	5.05%	648,776	$110,830,404.08
HOOD	ROBINHOOD MARKETS INC - A	4.76%	883,957	$104,421,840.41
COIN	COINBASE GLOBAL INC -CLASS A	4.59%	425,185	$100,726,326.50
PLTR	PALANTIR TECHNOLOGIES INC-A	3.81%	443,140	$83,624,949.40
CRCL	CIRCLE INTERNET GROUP INC	3.02%	815,921	$66,309,899.67
RBLX	ROBLOX CORP -CLASS A	2.96%	790,178	$64,968,435.16
GOOG	ALPHABET INC-CL C	2.93%	204,183	$64,309,477.68
TSM	TAIWAN SEMICONDUCTOR-SP ADR	2.61%	189,051	$57,252,204.84
META	META PLATFORMS INC-CLASS A	2.55%	84,414	$55,990,962.06
XYZ	BLOCK INC	2.44%	807,674	$53,524,555.98
BMNR	BITMINE IMMERSION TECHNOLOGI	2.31%	1,792,008	$50,731,746.48
CRWV	COREWEAVE INC-CL A	1.93%	554,923	$42,407,215.66
AMZN	AMAZON.COM INC	1.81%	171,115	$39,787,659.80
CRWD	CROWDSTRIKE HOLDINGS INC - A	1.79%	81,583	$39,256,923.77
U	UNITY SOFTWARE INC	1.68%	815,109	$36,802,171.35
NET	CLOUDFLARE INC - CLASS A	1.64%	177,451	$35,914,307.89
BLSH	BULLISH	1.54%	823,066	$33,860,935.24
DKNG UW	DRAFTKINGS INC-CL A	1.52%	953,262	$33,249,778.56
RBRK	RUBRIK INC-A	1.48%	413,209	$32,503,019.94
NVDA	NVIDIA CORP	1.37%	157,576	$30,022,955.28
DASH	DOORDASH INC - A	1.25%	117,312	$27,445,142.40
GTLB	GITLAB INC-CL A	1.25%	727,182	$27,516,566.88
ABNB	AIRBNB INC-CLASS A	1.24%	198,693	$27,185,176.26
GENI	GENIUS SPORTS LTD	1.18%	2,388,230	$25,983,942.40
DDOG	DATADOG INC - CLASS A	1.17%	185,781	$25,696,299.02
BIDU	BAIDU INC - SPON ADR	1.14%	199,991	$24,958,876.80
PINS	PINTEREST INC- CLASS A	1.12%	942,360	$24,633,290.40
TTD	TRADE DESK INC/THE -CLASS A	1.07%	613,618	$23,507,705.58
PSTG	PURE STORAGE INC - CLASS A	1.03%	327,773	$22,708,113.44
TOST	TOAST INC-CLASS A	1.03%	619,680	$22,581,139.20
SPOT	SPOTIFY TECHNOLOGY SA	1.02%	38,270	$22,363,074.50
MELI	MERCADOLIBRE INC	0.98%	10,671	$21,402,931.41
QCOM	QUALCOMM INC	0.97%	121,652	$21,265,986.12
PD	PAGERDUTY INC	0.83%	1,384,506	$18,220,098.96
BABA	ALIBABA GROUP HOLDING-SP ADR	0.77%	111,698	$17,004,903.52
NXDR	NEXTDOOR HOLDINGS INC	0.76%	7,833,605	$16,763,914.70
NFLX	NETFLIX INC	0.72%	166,905	$15,767,515.35
CRM	SALESFORCE INC	0.54%	44,771	$11,912,667.68
ETHQ/U	3IQ ETHER STAKING ETF	0.50%	964,419	$11,061,885.93
SOLQ/U	3IQ SOLANA STAKING ETF	0.22%	497,176	$4,812,663.68
SLMT	BRERA HOLDINGS PLC-CL B	0.18%	1,848,217	$3,881,255.70

--------------------------

ARKG
as of 12/29/2025

Ticker	Name	Weight	Shares	Market Value
CRSP	CRISPR THERAPEUTICS AG	8.88%	1,918,207	$105,654,841.56
TEM	TEMPUS AI INC	8.50%	1,613,369	$101,158,236.30
TWST	TWIST BIOSCIENCE CORP	5.92%	2,132,178	$70,468,482.90
GH	GUARDANT HEALTH INC	5.80%	669,984	$68,994,952.32
PSNL	PERSONALIS INC	5.18%	7,574,775	$61,658,668.50
BEAM	BEAM THERAPEUTICS INC	5.06%	2,153,454	$60,253,642.92
NTRA	NATERA INC	4.68%	238,255	$55,689,723.70
ILMN	ILLUMINA INC	4.53%	399,500	$53,912,525.00
TXG	10X GENOMICS INC-CLASS A	4.37%	3,151,460	$51,967,575.40
RXRX	RECURSION PHARMACEUTICALS-A	4.17%	11,674,001	$49,614,504.25
