ARKK
as of 05/01/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	9.73%	1,653,653	$631,083,594.39
TEM	TEMPUS AI INC-CL A	5.35%	6,257,544	$347,168,541.12
AMD	ADVANCED MICRO DEVICES	5.18%	947,960	$336,042,340.40
CRSP	CRISPR THERAPEUTICS AG	4.98%	6,168,251	$322,846,257.34
SHOP	SHOPIFY INC - CLASS A	4.37%	2,340,995	$283,564,724.35
ROKU	ROKU INC	4.33%	2,407,993	$280,675,664.08
HOOD	ROBINHOOD MARKETS INC - A	4.30%	3,825,835	$278,865,113.15
COIN	COINBASE GLOBAL INC -CLASS A	4.23%	1,460,978	$274,327,839.06
CRCL	CIRCLE INTERNET GROUP INC	3.84%	2,740,801	$249,083,994.88
PLTR	PALANTIR TECHNOLOGIES INC-A	3.13%	1,459,885	$203,084,602.35
RBLX	ROBLOX CORP -CLASS A	3.07%	3,607,025	$199,324,201.50
BEAM	BEAM THERAPEUTICS INC	3.06%	6,538,304	$198,306,760.32
TWST	TWIST BIOSCIENCE CORP	3.05%	3,382,664	$197,716,710.80
CRWV	COREWEAVE INC-CL A	2.85%	1,656,952	$184,915,843.20
AMZN	AMAZON.COM INC	2.67%	654,566	$173,499,263.96
BLSH	BULLISH	2.32%	3,990,648	$150,567,149.04
TXG	10X GENOMICS INC-CLASS A	2.31%	6,786,735	$149,647,506.75
NTLA	INTELLIA THERAPEUTICS INC	2.06%	9,902,541	$133,486,252.68
BMNR	BITMINE IMMERSION TECHNOLOGI	2.03%	6,142,198	$131,443,037.20
TER	TERADYNE INC	1.95%	368,821	$126,678,948.87
ACHR	ARCHER AVIATION INC-A	1.55%	17,544,599	$100,705,998.26
XYZ	BLOCK INC	1.53%	1,411,163	$99,501,103.13
GOOG	ALPHABET INC-CL C	1.48%	250,688	$95,747,774.72
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.45%	237,249	$93,964,838.94
XE	X-ENERGY INC	1.28%	2,617,454	$83,051,815.42
DE	DEERE & CO	1.22%	133,860	$78,959,998.20
ILMN	ILLUMINA INC	1.20%	614,284	$77,854,354.16
NVDA	NVIDIA CORP	1.19%	385,802	$76,994,505.14
NTRA	NATERA INC	1.17%	369,404	$76,156,328.64
AVGO	BROADCOM INC	1.16%	180,911	$75,517,678.73
RXRX	RECURSION PHARMACEUTICALS-A	1.16%	21,733,974	$75,199,550.04
KTOS	KRATOS DEFENSE & SECURITY	1.05%	1,080,866	$68,148,601.30
BIDU	BAIDU INC - SPON ADR	1.03%	530,266	$67,094,556.98
BWXT	BWX TECHNOLOGIES INC	1.00%	300,508	$65,026,926.12
BABA	ALIBABA GROUP HOLDING-SP ADR	0.92%	451,541	$59,549,227.08
VCYT	VERACYTE INC	0.89%	1,760,142	$57,943,874.64
WGS	GENEDX HOLDINGS CORP	0.81%	831,221	$52,275,488.69
META	META PLATFORMS INC-CLASS A	0.60%	63,735	$39,000,083.85
SOFI	SOFI TECHNOLOGIES INC	0.54%	2,176,477	$35,041,279.70
PACB	PACIFIC BIOSCIENCES OF CALIF	0.36%	14,733,201	$23,425,789.59
CERS	CERUS CORP	0.30%	9,642,735	$19,574,752.05
SLMT	BRERA HOLDINGS PLC-CL B	0.05%	4,219,810	$3,216,339.18

--------------------------

ARKQ
as of 05/01/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	9.85%	543,841	$207,546,040.83
TER	TERADYNE INC	7.97%	488,561	$167,806,046.67
AMD	ADVANCED MICRO DEVICES	6.34%	376,512	$133,469,738.88
KTOS	KRATOS DEFENSE & SECURITY	5.08%	1,697,922	$107,053,982.10
RKLB UQ	ROCKET LAB	4.79%	1,222,069	$100,832,913.19
GOOG	ALPHABET INC-CL C	4.63%	255,502	$97,586,433.88
DE	DEERE & CO	4.10%	146,497	$86,414,185.39
PLTR	PALANTIR TECHNOLOGIES INC-A	3.81%	577,249	$80,301,108.39
AMZN	AMAZON.COM INC	3.30%	262,623	$69,610,852.38
TSM	TAIWAN SEMICONDUCTOR-SP ADR	3.03%	160,902	$63,726,846.12
AVAV	AEROVIRONMENT INC	2.94%	317,383	$61,896,032.66
ACHR	ARCHER AVIATION INC-A	2.85%	10,465,183	$60,070,150.42
LHX	L3HARRIS TECHNOLOGIES INC	2.81%	184,975	$59,293,736.25
TRMB	TRIMBLE INC	2.38%	746,076	$50,225,836.32
CAT	CATERPILLAR INC	2.32%	54,839	$48,812,742.29
NVDA	NVIDIA CORP	2.27%	239,485	$47,794,021.45
LUNR	INTUITIVE MACHINES INC	2.25%	1,870,701	$47,422,270.35
CCJ	CAMECO CORP	1.94%	332,345	$40,891,728.80
SYM UQ	SYMBOTIC INC	1.88%	671,818	$39,704,443.80
BIDU	BAIDU INC - SPON ADR	1.87%	311,633	$39,430,923.49
KMTUY	KOMATSU LTD -SPONS ADR	1.85%	908,629	$38,980,184.10
BWXT	BWX TECHNOLOGIES INC	1.79%	174,219	$37,699,249.41
ESLT	ELBIT SYSTEMS LTD	1.60%	40,169	$33,715,448.46
AUR	AURORA INNOVATION INC	1.59%	5,684,073	$33,422,349.24
IRDM	IRIDIUM COMMUNICATIONS INC	1.57%	847,853	$33,125,616.71
AVGO	BROADCOM INC	1.56%	78,587	$32,804,571.41
JOBY	JOBY AVIATION INC	1.48%	3,391,778	$31,170,439.82
ISRG	INTUITIVE SURGICAL INC	1.32%	60,953	$27,892,702.33
XE	X-ENERGY INC	1.29%	853,169	$27,071,052.37
OKLO	OKLO INC	1.25%	364,459	$26,423,277.50
WRD	WERIDE INC-ADR	1.25%	3,401,701	$26,261,131.72
BYDDY	BYD CO LTD-UNSPONSORED ADR	1.07%	1,685,265	$22,447,729.80
TDY	TELEDYNE TECHNOLOGIES INC	1.06%	34,705	$22,414,224.25
DASH	DOORDASH INC - A	1.05%	130,784	$22,056,721.60
KDK	KODIAK AI INC	1.04%	2,593,710	$21,994,660.80
SNPS	SYNOPSYS INC	1.03%	44,749	$21,595,867.40
SRTA	STRATA CRITICAL MEDICAL INC	0.88%	3,679,681	$18,471,998.62
PONY	PONY AI INC	0.84%	1,785,795	$17,625,796.65

--------------------------

ARKW
as of 05/01/2026

Ticker	Name	Weight	Shares	Market Value
AMD	ADVANCED MICRO DEVICES	8.80%	414,344	$146,880,804.56
TSLA	TESLA INC	8.61%	376,625	$143,731,398.75
HOOD	ROBINHOOD MARKETS INC - A	4.64%	1,062,442	$77,441,397.38
SHOP	SHOPIFY INC - CLASS A	4.51%	621,404	$75,270,666.52
AMZN	AMAZON.COM INC	4.19%	264,108	$70,004,466.48
ROKU	ROKU INC	4.10%	587,353	$68,461,865.68
CRWV	COREWEAVE INC-CL A	4.06%	607,001	$67,741,311.60
GOOG	ALPHABET INC-CL C	3.93%	171,742	$65,595,139.48
CRCL	CIRCLE INTERNET GROUP INC	3.93%	721,085	$65,532,204.80
COIN	COINBASE GLOBAL INC -CLASS A	3.73%	331,498	$62,245,379.46
RBLX	ROBLOX CORP -CLASS A	3.04%	918,541	$50,758,575.66
XYZ	BLOCK INC	2.83%	669,661	$47,217,797.11
PLTR	PALANTIR TECHNOLOGIES INC-A	2.82%	338,494	$47,087,900.34
TSM	TAIWAN SEMICONDUCTOR-SP ADR	2.81%	118,237	$46,828,946.22
AVGO	BROADCOM INC	2.34%	93,375	$38,977,526.25
META	META PLATFORMS INC-CLASS A	2.16%	58,988	$36,095,347.08
BMNR	BITMINE IMMERSION TECHNOLOGI	2.01%	1,565,383	$33,499,196.20
BLSH	BULLISH	1.99%	879,225	$33,173,159.25
NET	CLOUDFLARE INC - CLASS A	1.81%	147,144	$30,160,105.68
CRWD	CROWDSTRIKE HOLDINGS INC - A	1.80%	67,222	$29,964,206.50
DDOG	DATADOG INC - CLASS A	1.47%	185,414	$24,509,876.66
PSTG	EVERPURE INC-A	1.46%	340,359	$24,318,650.55
NFLX	NETFLIX INC	1.33%	236,547	$22,143,164.67
RBRK	RUBRIK INC-A	1.09%	342,686	$18,224,041.48
NVDA	NVIDIA CORP	1.07%	89,862	$17,933,759.34
BABA	ALIBABA GROUP HOLDING-SP ADR	1.06%	134,143	$17,690,778.84
SPOT	SPOTIFY TECHNOLOGY SA	1.04%	39,029	$17,428,399.95
BIDU	BAIDU INC - SPON ADR	1.02%	134,072	$16,964,130.16
TOST	TOAST INC-CLASS A	1.02%	595,456	$16,982,405.12
DASH	DOORDASH INC - A	0.98%	97,068	$16,370,518.20
MELI	MERCADOLIBRE INC	0.96%	8,976	$16,090,646.88
DKNG UW	DRAFTKINGS INC-CL A	0.95%	680,253	$15,863,499.96
GTLB	GITLAB INC-CL A	0.86%	650,273	$14,397,044.22
GENI	GENIUS SPORTS LTD	0.84%	3,225,022	$14,061,095.92
ABNB	AIRBNB INC-CLASS A	0.56%	66,010	$9,265,163.60
ETHQ/U	3IQ ETHER STAKING ETF	0.43%	822,313	$7,236,354.40
SOLQ/U	3IQ SOLANA STAKING ETF	0.18%	439,354	$2,943,671.80
SLMT	BRERA HOLDINGS PLC-CL B	0.08%	1,706,188	$1,300,456.49

--------------------------

ARKG
as of 05/01/2026

Ticker	Name	Weight	Shares	Market Value
TEM	TEMPUS AI INC-CL A	9.45%	2,098,455	$116,422,283.40
TWST	TWIST BIOSCIENCE CORP	9.02%	1,900,539	$111,086,504.55
CRSP	CRISPR THERAPEUTICS AG	8.94%	2,103,707	$110,108,024.38
TXG	10X GENOMICS INC-CLASS A	5.78%	3,232,541	$71,277,529.05
BEAM	BEAM THERAPEUTICS INC	5.44%	2,212,153	$67,094,600.49
ABSI	ABSCI CORP	4.79%	11,876,202	$59,084,104.95
NTRA	NATERA INC	4.08%	243,718	$50,244,902.88
ILMN	ILLUMINA INC	4.04%	392,835	$49,787,907.90
NTLA	INTELLIA THERAPEUTICS INC	3.83%	3,498,399	$47,158,418.52
PSNL	PERSONALIS INC	3.59%	8,017,242	$44,255,175.84
RXRX	RECURSION PHARMACEUTICALS-A	3.52%	12,549,240	$43,420,370.40
GH	GUARDANT HEALTH INC	3.51%	496,000	$43,191,680.00
CDNA	CAREDX INC	3.39%	2,009,757	$41,823,043.17
VCYT	VERACYTE INC	2.67%	999,975	$32,919,177.00
CMPS	COMPASS PATHWAYS PLC	2.44%	3,316,076	$30,043,648.56
ADPT	ADAPTIVE BIOTECHNOLOGIES	2.43%	2,123,561	$29,942,210.10
NRIX	NURIX THERAPEUTICS INC	2.34%	1,723,734	$28,786,357.80
WGS	GENEDX HOLDINGS CORP	2.05%	401,292	$25,237,253.88
SDGR	SCHRODINGER INC	2.03%	2,093,199	$25,034,660.04
ARCT UQ	ARCTURUS THERAPEUTICS HOLDIN	1.97%	2,809,043	$24,213,950.66
BFLY	BUTTERFLY NETWORK INC	1.90%	4,889,029	$23,418,448.91
IONS	IONIS PHARMACEUTICALS INC	1.75%	288,230	$21,548,074.80
ATAI UQ	ATAIBECKLEY INC	1.48%	4,382,604	$18,231,632.64
PRME	PRIME MEDICINE INC	1.42%	4,925,864	$17,462,187.88
PACB	PACIFIC BIOSCIENCES OF CALIF	1.41%	10,964,895	$17,434,183.05
CERS	CERUS CORP	1.23%	7,450,534	$15,124,584.02
ALMR	ALAMAR BIOSCIENCES INC	1.21%	596,585	$14,938,488.40
MASS	908 DEVICES INC	1.08%	1,952,552	$13,335,930.16
BNTX	BIONTECH SE-ADR	1.07%	126,929	$13,130,805.05
LLY	ELI LILLY & CO	0.95%	12,571	$11,748,856.60
QSI	QUANTUM-SI INC	0.55%	6,928,343	$6,793,933.15
GENB	GENERATE BIOMEDICINES INC	0.52%	503,531	$6,359,596.53

--------------------------

ARKF
as of 01/02/2026

Ticker	Name	Weight	Shares	Market Value
SHOP	SHOPIFY INC - CLASS A	9.65%	662,061	$106,571,959.17
COIN	COINBASE GLOBAL INC -CLASS A	5.67%	276,957	$62,631,055.98
HOOD	ROBINHOOD MARKETS INC - A	5.05%	492,638	$55,717,357.80
PLTR	PALANTIR TECHNOLOGIES INC-A	4.53%	281,162	$49,976,545.50
TOST	TOAST INC-CLASS A	4.34%	1,351,034	$47,975,217.34
XYZ	BLOCK INC	3.85%	652,416	$42,465,757.44
SOFI	SOFI TECHNOLOGIES INC	3.53%	1,488,338	$38,964,688.84
ROKU	ROKU INC	3.44%	350,640	$38,040,933.60
CRCL	CIRCLE INTERNET GROUP INC	3.36%	467,606	$37,081,155.80
RBLX	ROBLOX CORP -CLASS A	2.86%	389,598	$31,569,125.94
MELI	MERCADOLIBRE INC	2.85%	15,628	$31,478,855.28
ADYEN	ADYEN NV	2.58%	17,603	$28,444,654.02
META	META PLATFORMS INC-CLASS A	2.46%	41,109	$27,135,639.81
AMD	ADVANCED MICRO DEVICES	2.36%	121,685	$26,060,059.60
DKNG UW	DRAFTKINGS INC-CL A	2.36%	756,511	$26,069,369.06
AMZN	AMAZON.COM INC	2.31%	110,561	$25,519,690.02
BMNR	BITMINE IMMERSION TECHNOLOGI	2.31%	938,829	$25,489,207.35
PINS	PINTEREST INC- CLASS A	2.06%	876,967	$22,704,675.63
NU UN	NU HOLDINGS LTD/CAYMAN ISL-A	2.01%	1,327,232	$22,217,863.68
KLAR	KLARNA GROUP PLC	1.93%	736,657	$21,296,753.87
BLSH	BULLISH	1.75%	508,905	$19,272,232.35
SE	SEA LTD-ADR	1.71%	148,096	$18,892,606.72
ABNB	AIRBNB INC-CLASS A	1.68%	136,311	$18,500,128.92
FUTU	FUTU HOLDINGS LTD-ADR	1.58%	106,024	$17,410,201.04
DASH	DOORDASH INC - A	1.56%	76,196	$17,256,870.08
SPOT	SPOTIFY TECHNOLOGY SA	1.53%	29,020	$16,852,204.20
Z	ZILLOW GROUP INC - C	1.52%	246,266	$16,800,266.52
NVDA	NVIDIA CORP	1.51%	89,295	$16,653,517.50
DSY	DISCOVERY LTD	1.40%	1,125,052	$15,461,312.45
GLBE	GLOBAL-E ONLINE LTD	1.30%	364,781	$14,339,541.11
CRWD	CROWDSTRIKE HOLDINGS INC - A	1.23%	28,997	$13,592,633.72
4689	LY CORP	1.22%	5,074,096	$13,514,510.03
BABA	ALIBABA GROUP HOLDING-SP ADR	1.14%	85,622	$12,550,472.76
ETOR	ETORO GROUP LTD-A	1.06%	333,445	$11,713,922.85
KSPI	JSC KASPI.KZ ADR	0.95%	133,688	$10,445,043.44
INTU	INTUIT INC	0.87%	14,562	$9,646,160.04
PYPL	PAYPAL HOLDINGS INC	0.80%	151,471	$8,842,876.98
ICE	INTERCONTINENTAL EXCHANGE IN	0.79%	53,595	$8,680,246.20
ETHQ/U	3IQ ETHER STAKING ETF	0.68%	650,997	$7,538,545.26
SOLQ/U	3IQ SOLANA STAKING ETF	0.41%	452,253	$4,499,917.35
SLMT	BRERA HOLDINGS PLC-CL B	0.17%	1,018,952	$1,905,440.24

--------------------------

ARKX
as of 01/02/2026

Ticker	Name	Weight	Shares	Market Value
RKLB UQ	ROCKET LAB	8.90%	659,546	$46,009,928.96
LHX	L3HARRIS TECHNOLOGIES INC	8.34%	146,728	$43,074,938.96
KTOS	KRATOS DEFENSE & SECURITY	7.75%	527,748	$40,061,350.68
TER	TERADYNE INC	7.22%	192,651	$37,289,527.56
AVAV	AEROVIRONMENT INC	6.58%	140,659	$34,024,005.51
DE	DEERE & CO	5.28%	58,643	$27,302,421.51
ACHR	ARCHER AVIATION INC-A	5.08%	3,494,036	$26,275,150.72
PLTR	PALANTIR TECHNOLOGIES INC-A	4.34%	126,096	$22,413,564.00
AMD	ADVANCED MICRO DEVICES	4.16%	100,401	$21,501,878.16
TRMB	TRIMBLE INC	4.13%	272,441	$21,345,752.35
IRDM	IRIDIUM COMMUNICATIONS INC	3.62%	1,077,332	$18,724,030.16
AMZN	AMAZON.COM INC	3.38%	75,711	$17,475,613.02
GOOG	ALPHABET INC-CL C	2.78%	45,846	$14,386,474.80
NVDA	NVIDIA CORP	2.53%	70,102	$13,074,023.00
JOBY	JOBY AVIATION INC	2.44%	955,434	$12,611,728.80
HO	THALES SA	2.14%	40,981	$11,067,355.10
6301	KOMATSU LTD	2.02%	327,675	$10,459,493.11
SRTA	STRATA CRITICAL MEDICAL INC	1.78%	1,916,557	$9,218,639.17
LUNR	INTUITIVE MACHINES INC	1.76%	561,934	$9,120,188.82
BWXT	BWX TECHNOLOGIES INC	1.65%	49,355	$8,530,518.20
GRMN UN	GARMIN LTD	1.49%	37,855	$7,678,886.75
ESLT	ELBIT SYSTEMS LTD	1.48%	13,283	$7,673,721.93
TDY	TELEDYNE TECHNOLOGIES INC	1.19%	12,009	$6,133,356.57
SNPS	SYNOPSYS INC	1.18%	12,975	$6,094,617.00
HEI	HEICO CORP	1.16%	18,577	$6,011,331.43
DASH	DOORDASH INC - A	1.14%	26,120	$5,915,657.60
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.04%	17,725	$5,386,450.25
HON	HONEYWELL INTERNATIONAL INC	1.03%	27,407	$5,346,831.63
AIR	AIRBUS SE	1.02%	22,634	$5,277,329.95
DSY FP	DASSAULT SYSTEMES SE	1.02%	188,577	$5,283,311.80
2618	JD LOGISTICS INC	0.92%	3,251,025	$4,770,414.57
PRNT	THE 3D PRINTING ETF	0.59%	135,556	$3,028,321.04
LMT	LOCKHEED MARTIN CORP	0.57%	6,123	$2,961,511.41

--------------------------

PRNT
as of 05/01/2026

Ticker	Name	Weight	Shares	Market Value
SNPS	SYNOPSYS INC	5.33%	6,597	$3,183,712.20
SIE	SIEMENS AG-REG	5.07%	10,225	$3,030,754.13
DSY FP	DASSAULT SYSTEMES SE	4.88%	130,212	$2,918,170.67
ADSK	AUTODESK INC	4.85%	12,226	$2,897,562.00
PTC	PTC INC	4.80%	21,049	$2,868,978.70
XRAY UW	DENTSPLY SIRONA INC	4.63%	235,538	$2,767,571.50
VELO	VELO3D INC	4.57%	194,753	$2,727,515.77
RSW	RENISHAW PLC	4.39%	40,703	$2,621,997.88
DDD	3D SYSTEMS CORP	4.25%	1,032,786	$2,540,653.56
BICO	BICO GROUP AB	3.99%	1,022,629	$2,381,362.38
HPQ	HP INC	3.98%	113,869	$2,375,307.34
XMTR	XOMETRY INC-A	3.95%	46,048	$2,360,880.96
MTLS	MATERIALISE NV-ADR	3.86%	419,784	$2,304,614.16
PRLB	PROTO LABS INC	3.84%	35,418	$2,295,440.58
SSYS	STRATASYS LTD	3.82%	257,471	$2,283,767.77
NNDM	NANO DIMENSION LTD - ADR	3.61%	1,247,498	$2,158,171.54
STMN SE	STRAUMANN HOLDING AG-REG	3.55%	19,606	$2,120,313.56
7731	NIKON CORP	3.40%	184,258	$2,032,599.19
TTT	TITOMIC LTD	3.28%	10,268,180	$1,959,026.13
KALU	KAISER ALUMINUM CORP	2.15%	7,530	$1,283,337.90
LECO	LINCOLN ELECTRIC HOLDINGS	1.86%	4,193	$1,111,145.00
OERL	OC OERLIKON CORP AG-REG	1.84%	251,718	$1,100,168.90
ML	MICHELIN (CGDE)	1.76%	29,054	$1,051,623.59
GE	GENERAL ELECTRIC	1.75%	3,610	$1,046,647.30
MOG/A	MOOG INC-CLASS A	1.74%	3,455	$1,041,026.05
LHX	L3HARRIS TECHNOLOGIES INC	1.69%	3,148	$1,009,091.40
AME	AMETEK INC	1.65%	4,186	$985,803.00
HEXAB S	HEXAGON AB-B SHS	1.60%	88,975	$956,365.01
ALGN	ALIGN TECHNOLOGY INC	1.55%	5,264	$926,516.64
JBL	JABIL INC	0.14%	245	$82,685.05
MTRN	MATERION CORP	0.14%	455	$83,633.55
AKE	ARKEMA	0.13%	1,049	$76,332.10
ATI	ATI INC	0.13%	487	$75,709.02
AVNT	AVIENT CORP	0.13%	2,015	$74,716.20
CRS	CARPENTER TECHNOLOGY	0.13%	178	$76,219.60
EVK	EVONIK INDUSTRIES AG	0.13%	3,736	$77,522.75
KMT	KENNAMETAL INC	0.13%	1,979	$76,607.09
SAND	SANDVIK AB	0.13%	1,891	$78,464.39
SGL	SGL CARBON SE	0.13%	15,730	$80,584.77
VOE	VOESTALPINE AG	0.13%	1,539	$79,294.52
MMM	3M CO	0.12%	470	$68,864.40
HEN3	HENKEL AG & CO KGAA VOR-PREF	0.12%	959	$69,895.66
3402	TORAY INDUSTRIES INC	0.12%	10,290	$73,680.75
DCH	DAUCH CORPORATION	0.06%	6,386	$36,464.06
DCH	DAUCH CORPORATION	0.05%	5,681	$32,467.72

--------------------------

IZRL
as of 05/01/2026

Ticker	Name	Weight	Shares	Market Value
VLN	VALENS SEMICONDUCTOR LTD	2.23%	1,412,570	$3,065,276.90
RDCM	RADCOM LTD	2.06%	176,903	$2,823,371.88
TLSY	TELSYS LTD	1.98%	25,278	$2,716,672.17
CEL	CELLCOM ISRAEL LTD	1.78%	198,244	$2,439,253.63
MBLY	MOBILEYE GLOBAL INC-A	1.78%	281,104	$2,442,793.76
PTNR	PARTNER COMMUNICATIONS CO	1.78%	183,456	$2,442,760.75
HLAN	HILAN LTD	1.77%	33,916	$2,432,310.20
FTAL	FATTAL HOLDINGS 1998 LTD	1.76%	9,704	$2,419,621.75
TEVA	TEVA PHARMACEUTICAL-SP ADR	1.76%	68,653	$2,407,660.71
URGN UQ	UROGEN PHARMA LTD	1.76%	101,508	$2,418,935.64
WIX	WIX.COM LTD	1.76%	32,312	$2,413,383.28
BWAY	BRAINSWAY LTD-ADR	1.72%	142,500	$2,359,800.00
FVRR	FIVERR INTERNATIONAL LTD	1.71%	202,039	$2,351,733.96
FROG	JFROG LTD	1.71%	50,621	$2,350,839.24
SMWB	SIMILARWEB LTD	1.71%	834,663	$2,345,403.03
CAMT	CAMTEK LTD	1.70%	12,161	$2,333,939.12
ONE	ONE SOFTWARE TECHNOLOGIES LT	1.70%	106,941	$2,338,535.11
SLRM	SOLROM HOLDINGS LTD	1.70%	563,184	$2,328,967.16
ITRN	ITURAN LOCATION AND CONTROL	1.69%	40,137	$2,311,891.20
NYAX	NAYAX LTD	1.69%	33,306	$2,324,160.53
RDWR	RADWARE LTD	1.69%	86,280	$2,312,304.00
DRTS	ALPHA TAU MEDICAL LTD	1.68%	277,086	$2,310,897.24
MTRX	MATRIX IT LTD	1.68%	75,493	$2,308,766.35
AUDC	AUDIOCODES LTD	1.66%	246,438	$2,282,015.88
BSEN	BET SHEMESH ENGINES HOLDINGS	1.65%	9,253	$2,263,222.12
SSYS	STRATASYS LTD	1.65%	254,709	$2,259,268.83
TBLA	TABOOLA.COM LTD	1.65%	602,812	$2,266,573.12
DANE	DANEL (ADIR YEOSHUA) LTD	1.64%	14,106	$2,244,805.22
ISRO	ISROTEL LTD	1.64%	43,192	$2,255,024.61
PCBT	P.C.B TECHNOLOGIES LTD	1.64%	427,438	$2,254,825.17
PLTK	PLAYTIKA HOLDING CORP	1.64%	614,004	$2,244,184.62
RSKD	RISKIFIED LTD-A	1.64%	488,797	$2,253,354.17
TSEM	TOWER SEMICONDUCTOR LTD	1.63%	10,126	$2,238,352.30
CLBT	CELLEBRITE DI LTD	1.62%	170,923	$2,221,999.00
INMD	INMODE LTD	1.62%	153,224	$2,217,151.28
MLTM	MALAM - TEAM LTD	1.62%	77,491	$2,216,356.95
BEZQ	BEZEQ THE ISRAELI TELECOM CO	1.61%	811,433	$2,210,709.33
PERI	PERION NETWORK LTD	1.61%	211,984	$2,210,993.12
AMAL	AMAL HOLDINGS	1.60%	380,522	$2,194,512.42
GILT	GILAT SATELLITE NETWORKS LTD	1.60%	118,601	$2,189,374.46
MNDY	MONDAY.COM LTD	1.59%	33,167	$2,184,710.29
ALLT	ALLOT LTD	1.58%	297,726	$2,163,443.62
ARYT	ARYT INDUSTRIES LTD	1.58%	152,427	$2,168,183.91
ISTA	ISSTA LTD	1.56%	59,873	$2,140,824.09
KMDA	KAMADA LTD	1.56%	263,304	$2,140,196.37
NICE	NICE LTD - SPON ADR	1.56%	21,035	$2,145,990.70
ASHO	ASHOT -ASHKELON INDUSTRIES	1.55%	66,106	$2,122,388.89
CGNT	COGNYTE SOFTWARE LTD	1.54%	225,795	$2,106,667.35
NVMI	NOVA LTD	1.54%	4,220	$2,111,814.60
RPOL	RP OPTICAL LAB LTD	1.54%	173,798	$2,107,803.75
ODD	ODDITY TECH LTD-CL A	1.53%	146,754	$2,101,517.28
MDWD UQ	MEDIWOUND LTD	1.52%	126,576	$2,088,504.00
ESLT	ELBIT SYSTEMS LTD	1.51%	2,492	$2,065,796.35
CGEN	COMPUGEN LTD	1.50%	786,536	$2,052,691.53
ETOR	ETORO GROUP LTD-A	1.50%	57,966	$2,062,430.28
PGY	PAGAYA TECHNOLOGIES LTD -A	1.49%	147,603	$2,050,205.67
QLTU	QUALITAU LTD	1.44%	10,475	$1,972,224.58
TATTF	TAT TECHNOLOGIES LTD	1.40%	52,284	$1,924,455.60
