ARKK
as of 11/28/2025

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	12.12%	2,186,376	$932,664,274.08
TEM	TEMPUS AI INC	5.51%	5,487,747	$423,708,945.87
COIN	COINBASE GLOBAL INC -CLASS A	5.48%	1,592,579	$421,985,657.63
ROKU	ROKU INC	5.43%	4,364,857	$417,411,274.91
CRSP	CRISPR THERAPEUTICS AG	5.31%	7,658,593	$408,203,006.90
SHOP	SHOPIFY INC - CLASS A	5.02%	2,425,174	$386,427,225.16
HOOD	ROBINHOOD MARKETS INC - A	4.60%	2,763,271	$354,251,342.20
RBLX	ROBLOX CORP -CLASS A	3.80%	3,155,045	$292,567,322.85
PLTR	PALANTIR TECHNOLOGIES INC-A	3.48%	1,616,866	$268,027,876.82
AMD	ADVANCED MICRO DEVICES	3.43%	1,230,481	$263,618,249.44
BEAM	BEAM THERAPEUTICS INC	3.02%	9,283,920	$232,376,517.60
TER	TERADYNE INC	2.63%	1,130,130	$202,722,719.40
CRCL	CIRCLE INTERNET GROUP INC	2.44%	2,584,095	$187,708,660.80
BMNR	BITMINE IMMERSION TECHNOLOGI	2.37%	5,745,833	$182,372,739.42
ACHR	ARCHER AVIATION INC-A	2.05%	21,069,423	$157,809,978.27
TXG	10X GENOMICS INC-CLASS A	2.02%	8,308,943	$155,792,681.25
TWST	TWIST BIOSCIENCE CORP	1.93%	4,674,732	$148,189,004.40
ILMN	ILLUMINA INC	1.77%	1,047,388	$135,961,436.28
AMZN	AMAZON.COM INC	1.70%	570,777	$130,799,257.32
VCYT	VERACYTE INC	1.66%	2,669,622	$127,367,665.62
BLSH	BULLISH	1.63%	2,924,187	$125,272,171.08
NVDA	NVIDIA CORP	1.46%	623,817	$112,449,252.42
NTRA	NATERA INC	1.40%	452,883	$107,387,616.96
XYZ	BLOCK INC	1.32%	1,560,397	$101,472,616.91
META	META PLATFORMS INC-CLASS A	1.31%	159,517	$101,071,566.37
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.26%	335,520	$97,287,379.20
