ARKK
as of 06/03/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.23%	1,706,929	$723,294,094.46
AMD	ADVANCED MICRO DEVICES	5.24%	709,863	$370,221,949.02
TEM	TEMPUS AI INC-CL A	4.82%	6,867,994	$340,789,862.28
HOOD	ROBINHOOD MARKETS INC - A	4.74%	3,800,667	$335,066,802.72
CRSP	CRISPR THERAPEUTICS AG	4.69%	6,366,527	$331,186,734.54
SHOP	SHOPIFY INC - CLASS A	4.41%	2,664,657	$311,791,515.57
ROKU	ROKU INC	4.18%	2,322,767	$295,270,141.04
CRCL	CIRCLE INTERNET GROUP INC	4.08%	2,859,557	$288,386,323.45
COIN	COINBASE GLOBAL INC -CLASS A	3.71%	1,507,893	$262,358,303.07
PLTR	PALANTIR TECHNOLOGIES INC-A	3.24%	1,506,745	$229,281,386.65
TWST	TWIST BIOSCIENCE CORP	3.22%	3,246,069	$227,711,740.35
TXG	10X GENOMICS INC-CLASS A	3.04%	7,004,755	$215,116,026.05
BEAM	BEAM THERAPEUTICS INC	2.77%	6,748,349	$195,432,187.04
CRWV	COREWEAVE INC-CL A	2.75%	1,631,012	$194,530,801.24
AMZN	AMAZON.COM INC	2.54%	700,238	$179,625,051.76
RBLX	ROBLOX CORP -CLASS A	2.52%	3,951,836	$177,832,620.00
NTLA	INTELLIA THERAPEUTICS INC	2.20%	11,838,507	$155,439,596.91
BLSH	BULLISH	1.90%	4,401,943	$134,435,339.22
NVDA	NVIDIA CORP	1.77%	560,174	$124,817,970.68
ACHR	ARCHER AVIATION INC-A	1.73%	18,108,239	$122,049,530.86
BMNR	BITMINE IMMERSION TECHNOLOGI	1.61%	6,339,483	$113,920,509.51
XYZ	BLOCK INC	1.53%	1,456,483	$107,998,214.45
ILMN	ILLUMINA INC	1.46%	633,974	$103,052,473.70
GOOG	ALPHABET INC-CL C	1.31%	258,718	$92,721,944.02
AVGO	BROADCOM INC	1.27%	186,686	$89,902,377.02
NTRA	NATERA INC	1.25%	415,841	$88,461,855.93
VCYT	VERACYTE INC	1.23%	1,816,682	$86,837,399.60
TER	TERADYNE INC	1.22%	220,277	$86,485,155.74
CBRS	CEREBRAS SYSTEMS INC - A	1.15%	342,367	$80,976,642.84
RXRX	RECURSION PHARMACEUTICALS-A	1.15%	22,432,199	$80,980,238.39
DE	DEERE & CO	1.13%	138,150	$80,023,387.50
KTOS	KRATOS DEFENSE & SECURITY	1.10%	1,229,539	$77,792,932.53
BIDU	BAIDU INC - SPON ADR	1.06%	547,261	$74,821,523.92
XE	X-ENERGY INC	1.05%	2,701,494	$74,507,204.52
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.00%	157,703	$70,444,353.07
BABA	ALIBABA GROUP HOLDING-SP ADR	0.86%	466,006	$60,962,904.92
BWXT	BWX TECHNOLOGIES INC	0.82%	310,133	$58,075,505.58
WGS	GENEDX HOLDINGS CORP	0.80%	1,061,413	$56,392,872.69
