ARKK
as of 02/06/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	11.30%	1,680,258	$667,415,280.18
CRSP	CRISPR THERAPEUTICS AG	5.66%	7,291,698	$334,543,104.24
TEM	TEMPUS AI INC	5.33%	6,002,224	$314,756,626.56
ROKU	ROKU INC	5.04%	3,457,081	$297,481,820.05
SHOP	SHOPIFY INC - CLASS A	4.10%	2,177,476	$242,222,430.24
AMD	ADVANCED MICRO DEVICES	3.89%	1,192,445	$229,545,662.50
COIN	COINBASE GLOBAL INC -CLASS A	3.70%	1,495,359	$218,501,857.08
HOOD	ROBINHOOD MARKETS INC - A	3.65%	2,964,342	$215,448,376.56
BEAM	BEAM THERAPEUTICS INC	3.56%	8,497,847	$210,151,756.31
TWST	TWIST BIOSCIENCE CORP	3.33%	4,173,778	$196,584,943.80
RBLX	ROBLOX CORP -CLASS A	3.26%	3,184,346	$192,875,837.22
TER	TERADYNE INC	3.26%	710,435	$192,620,241.55
PLTR	PALANTIR TECHNOLOGIES INC-A	3.23%	1,466,716	$190,687,747.16
CRCL	CIRCLE INTERNET GROUP INC	2.31%	2,721,110	$136,681,355.30
TXG	10X GENOMICS INC-CLASS A	2.16%	7,212,482	$127,660,931.40
ACHR	ARCHER AVIATION INC-A	2.10%	19,111,103	$124,031,058.47
AMZN	AMAZON.COM INC	1.95%	517,815	$115,312,222.35
BMNR	BITMINE IMMERSION TECHNOLOGI	1.83%	6,221,972	$108,262,312.80
DE	DEERE & CO	1.75%	182,929	$103,488,423.17
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.70%	304,398	$100,673,550.54
BLSH	BULLISH	1.68%	3,983,344	$99,185,265.60
NTLA	INTELLIA THERAPEUTICS INC	1.68%	8,939,604	$99,140,208.36
NVDA	NVIDIA CORP	1.65%	565,941	$97,273,939.08
CRWV	COREWEAVE INC-CL A	1.59%	1,260,536	$94,099,012.40
ILMN	ILLUMINA INC	1.55%	684,379	$91,439,878.19
XYZ	BLOCK INC	1.40%	1,552,190	$82,855,902.20
BIDU	BAIDU INC - SPON ADR	1.34%	568,295	$78,970,273.20
NTRA	NATERA INC	1.32%	395,292	$77,904,147.36
BWXT	BWX TECHNOLOGIES INC	1.27%	400,551	$75,071,268.42
META	META PLATFORMS INC-CLASS A	1.26%	110,838	$74,284,735.98
VCYT	VERACYTE INC	1.24%	2,105,722	$73,405,468.92
RXRX	RECURSION PHARMACEUTICALS-A	1.21%	20,111,463	$71,596,808.28
KTOS	KRATOS DEFENSE & SECURITY	1.19%	822,534	$70,121,023.50
WGS	GENEDX HOLDINGS CORP	1.00%	701,749	$59,003,055.92
BABA	ALIBABA GROUP HOLDING-SP ADR	0.94%	352,007	$55,532,624.32
AVGO	BROADCOM INC	0.94%	178,409	$55,397,778.59
ABNB	AIRBNB INC-CLASS A	0.85%	413,130	$50,100,275.10
GOOG	ALPHABET INC-CL C	0.84%	150,185	$49,760,796.05
DKNG UW	DRAFTKINGS INC-CL A	0.81%	1,878,216	$47,932,072.32
SOFI	SOFI TECHNOLOGIES INC	0.74%	2,257,821	$43,937,196.66
PD	PAGERDUTY INC	0.71%	5,297,147	$41,847,461.30
PACB	PACIFIC BIOSCIENCES OF CALIF	0.61%	20,928,964	$35,893,173.26
CERS	CERUS CORP	0.34%	9,493,514	$20,316,119.96
SLMT	BRERA HOLDINGS PLC-CL B	0.11%	6,540,598	$6,671,409.96
TTD	TRADE DESK INC/THE -CLASS A	0.06%	134,698	$3,534,475.52

--------------------------

ARKQ
as of 02/06/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.49%	502,603	$199,638,937.63
TER	TERADYNE INC	10.00%	701,648	$190,237,822.24
KTOS	KRATOS DEFENSE & SECURITY	7.26%	1,620,641	$138,159,645.25
RKLB UQ	ROCKET LAB	4.74%	1,360,803	$90,248,454.96
DE	DEERE & CO	4.43%	148,993	$84,289,809.89
AMD	ADVANCED MICRO DEVICES	4.06%	401,339	$77,257,757.50
PLTR	PALANTIR TECHNOLOGIES INC-A	3.86%	565,511	$73,522,085.11
AVAV	AEROVIRONMENT INC	3.76%	301,959	$71,528,047.92
GOOG	ALPHABET INC-CL C	3.65%	209,607	$69,449,087.31
LHX	L3HARRIS TECHNOLOGIES INC	3.35%	186,105	$63,688,853.10
ACHR	ARCHER AVIATION INC-A	3.23%	9,478,820	$61,517,541.80
TSM	TAIWAN SEMICONDUCTOR-SP ADR	2.81%	161,886	$53,540,556.78
AMZN	AMAZON.COM INC	2.56%	218,635	$48,687,828.15
TRMB	TRIMBLE INC	2.52%	750,638	$48,025,819.24
NVDA	NVIDIA CORP	2.18%	240,949	$41,414,314.12
KMTUY	KOMATSU LTD -SPONS ADR	2.17%	914,185	$41,284,594.60
CAT	CATERPILLAR INC	2.11%	59,298	$40,222,426.38
BIDU	BAIDU INC - SPON ADR	2.05%	280,967	$39,043,174.32
CCJ	CAMECO CORP	1.97%	342,965	$37,479,215.20
IRDM	IRIDIUM COMMUNICATIONS INC	1.93%	1,915,561	$36,644,681.93
BWXT	BWX TECHNOLOGIES INC	1.81%	184,059	$34,496,337.78
SYM UQ	SYMBOTIC INC	1.60%	565,001	$30,385,753.78
ISRG	INTUITIVE SURGICAL INC	1.54%	61,325	$29,210,324.00
ESLT	ELBIT SYSTEMS LTD	1.52%	43,008	$28,995,993.60
LUNR	INTUITIVE MACHINES INC	1.46%	1,882,141	$27,836,865.39
JOBY	JOBY AVIATION INC	1.33%	2,673,564	$25,291,915.44
WRD	WERIDE INC-ADR	1.32%	3,422,505	$25,189,636.80
PONY	PONY AI INC	1.24%	1,796,717	$23,501,058.36
TDY	TELEDYNE TECHNOLOGIES INC	1.15%	34,917	$21,944,286.99
SRTA	STRATA CRITICAL MEDICAL INC	1.11%	4,811,803	$21,171,933.20
BYDDY	BYD CO LTD-UNSPONSORED ADR	1.03%	1,695,571	$19,516,022.21
KDK	KODIAK AI INC	1.01%	2,193,945	$19,153,139.85
AUR	AURORA INNOVATION INC	0.97%	4,882,692	$18,456,575.76
SNPS	SYNOPSYS INC	0.97%	45,021	$18,478,419.24
DASH	DOORDASH INC - A	0.92%	94,762	$17,422,941.32
OKLO	OKLO INC	0.90%	277,025	$17,214,333.50
AVGO	BROADCOM INC	0.84%	51,417	$15,965,492.67
QCOM	QUALCOMM INC	0.01%	1,084	$147,749.20

--------------------------

ARKW
as of 02/06/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.32%	401,605	$159,521,522.05
AMD	ADVANCED MICRO DEVICES	7.17%	575,721	$110,826,292.50
ROKU	ROKU INC	5.47%	983,003	$84,587,408.15
