ARKK
as of 02/27/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.37%	1,689,718	$690,384,980.44
CRSP	CRISPR THERAPEUTICS AG	6.96%	7,506,152	$463,429,824.48
TEM	TEMPUS AI INC-CL A	5.33%	6,401,452	$354,704,455.32
ROKU	ROKU INC	4.69%	3,341,975	$312,374,403.25
SHOP	SHOPIFY INC - CLASS A	4.50%	2,381,662	$299,946,512.28
COIN	COINBASE GLOBAL INC -CLASS A	4.10%	1,506,626	$272,789,703.56
HOOD	ROBINHOOD MARKETS INC - A	4.09%	3,425,097	$272,123,956.65
RBLX	ROBLOX CORP -CLASS A	3.78%	3,523,051	$251,545,841.40
BEAM	BEAM THERAPEUTICS INC	3.75%	8,632,396	$249,648,892.32
AMD	ADVANCED MICRO DEVICES	3.73%	1,220,635	$248,618,936.80
CRCL	CIRCLE INTERNET GROUP INC	3.66%	2,792,213	$243,508,895.73
PLTR	PALANTIR TECHNOLOGIES INC-A	3.01%	1,474,966	$200,506,878.04
TER	TERADYNE INC	2.94%	588,104	$195,662,200.80
TWST	TWIST BIOSCIENCE CORP	2.77%	3,786,767	$184,453,420.57
TXG	10X GENOMICS INC-CLASS A	2.41%	7,253,092	$160,510,925.96
BLSH	BULLISH	2.32%	4,715,550	$154,339,951.50
ACHR	ARCHER AVIATION INC-A	2.13%	19,218,703	$141,834,028.14
BMNR	BITMINE IMMERSION TECHNOLOGI	1.97%	6,407,636	$130,972,079.84
NTLA	INTELLIA THERAPEUTICS INC	1.95%	9,102,432	$129,982,728.96
CRWV	COREWEAVE INC-CL A	1.91%	1,304,897	$127,397,094.11
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.69%	299,438	$112,831,232.78
DE	DEERE & CO	1.68%	180,128	$111,582,090.88
AMZN	AMAZON.COM INC	1.63%	520,725	$108,269,142.00
NVDA	NVIDIA CORP	1.58%	569,121	$105,224,781.69
ILMN	ILLUMINA INC	1.32%	688,229	$87,680,374.60
RXRX	RECURSION PHARMACEUTICALS-A	1.32%	23,318,945	$87,912,422.65
NTRA	NATERA INC	1.29%	397,512	$85,902,343.20
XYZ	BLOCK INC	1.28%	1,560,966	$85,119,475.98
VCYT	VERACYTE INC	1.23%	2,117,572	$82,055,915.00
BIDU	BAIDU INC - SPON ADR	1.17%	623,607	$78,044,416.05
BWXT	BWX TECHNOLOGIES INC	1.14%	365,348	$75,714,719.52
KTOS	KRATOS DEFENSE & SECURITY	1.14%	827,164	$76,214,890.96
META	META PLATFORMS INC-CLASS A	1.10%	111,458	$73,229,020.58
AVGO	BROADCOM INC	0.94%	194,418	$62,544,270.60
WGS	GENEDX HOLDINGS CORP	0.86%	705,699	$57,429,784.62
GOOG	ALPHABET INC-CL C	0.83%	180,290	$55,376,073.50
BABA	ALIBABA GROUP HOLDING-SP ADR	0.79%	353,987	$52,407,775.35
SOFI	SOFI TECHNOLOGIES INC	0.65%	2,270,531	$43,367,142.10
PACB	PACIFIC BIOSCIENCES OF CALIF	0.56%	21,046,804	$37,463,311.12
CERS	CERUS CORP	0.37%	9,546,964	$24,822,106.40
SLMT	BRERA HOLDINGS PLC-CL B	0.12%	6,975,691	$7,743,017.01
PD	PAGERDUTY INC	0.04%	337,826	$2,391,808.08

--------------------------

ARKQ
as of 02/27/2026

Ticker	Name	Weight	Shares	Market Value
