ARKK
as of 12/24/2025

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	11.96%	1,866,279	$906,190,431.24
ROKU	ROKU INC	5.71%	3,921,744	$432,764,450.40
CRSP	CRISPR THERAPEUTICS AG	5.57%	7,469,106	$421,705,724.76
SHOP	SHOPIFY INC - CLASS A	5.22%	2,331,344	$395,232,748.32
COIN	COINBASE GLOBAL INC -CLASS A	5.21%	1,630,079	$394,968,141.70
TEM	TEMPUS AI INC	4.50%	5,266,389	$340,840,696.08
HOOD	ROBINHOOD MARKETS INC - A	4.49%	2,826,330	$339,837,919.20
PLTR	PALANTIR TECHNOLOGIES INC-A	3.98%	1,551,691	$301,229,773.83
AMD	ADVANCED MICRO DEVICES	3.35%	1,180,869	$253,768,748.10
RBLX	ROBLOX CORP -CLASS A	3.33%	3,112,694	$252,097,087.06
BEAM	BEAM THERAPEUTICS INC	3.27%	8,927,695	$247,922,090.15
TER	TERADYNE INC	2.84%	1,084,547	$215,282,579.50
CRCL	CIRCLE INTERNET GROUP INC	2.82%	2,578,624	$213,329,563.52
BMNR	BITMINE IMMERSION TECHNOLOGI	2.41%	6,140,187	$182,854,768.86
ACHR	ARCHER AVIATION INC-A	2.17%	20,219,383	$164,585,777.62
TWST	TWIST BIOSCIENCE CORP	2.01%	4,507,223	$152,524,426.32
ILMN	ILLUMINA INC	1.81%	1,005,202	$136,898,460.38
BLSH	BULLISH	1.78%	3,152,075	$134,499,040.25
TXG	10X GENOMICS INC-CLASS A	1.74%	7,973,746	$131,566,809.00
AMZN	AMAZON.COM INC	1.68%	547,788	$127,163,506.32
NVDA	NVIDIA CORP	1.50%	598,695	$113,279,080.95
VCYT	VERACYTE INC	1.45%	2,561,945	$109,958,679.40
XYZ	BLOCK INC	1.41%	1,642,109	$106,638,558.46
NTRA	NATERA INC	1.35%	434,634	$102,312,843.60
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.26%	322,011	$95,621,166.45
RXRX	RECURSION PHARMACEUTICALS-A	1.22%	21,277,835	$92,771,360.60
CRWV	COREWEAVE INC-CL A	1.21%	1,146,274	$91,999,951.24
DKNG UW	DRAFTKINGS INC-CL A	1.20%	2,642,128	$91,259,101.12
DE	DEERE & CO	1.19%	193,521	$90,221,425.41
META	META PLATFORMS INC-CLASS A	1.19%	135,321	$89,980,345.74
NTLA	INTELLIA THERAPEUTICS INC	1.13%	9,116,232	$85,874,905.44
ABNB	AIRBNB INC-CLASS A	1.04%	575,668	$78,572,925.32
PD	PAGERDUTY INC	1.03%	6,104,696	$78,323,249.68
KTOS	KRATOS DEFENSE & SECURITY	1.02%	938,487	$77,237,480.10
TTD	TRADE DESK INC/THE -CLASS A	1.02%	2,062,896	$77,234,826.24
BWXT	BWX TECHNOLOGIES INC	0.99%	423,726	$75,262,212.12
BIDU	BAIDU INC - SPON ADR	0.98%	601,152	$74,440,652.16
SOFI	SOFI TECHNOLOGIES INC	0.86%	2,388,734	$64,949,677.46
BABA	ALIBABA GROUP HOLDING-SP ADR	0.74%	372,401	$56,318,203.23
WGS	GENEDX HOLDINGS CORP	0.65%	364,805	$49,376,356.75
PACB	PACIFIC BIOSCIENCES OF CALIF	0.52%	21,764,061	$39,610,591.02
GOOG	ALPHABET INC-CL C	0.45%	109,158	$34,458,997.44
CERS	CERUS CORP	0.27%	10,044,049	$20,690,740.94
SLMT	BRERA HOLDINGS PLC-CL B	0.17%	6,222,479	$12,942,756.32

--------------------------

ARKQ
as of 12/24/2025

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	12.37%	461,374	$224,024,759.44
TER	TERADYNE INC	9.11%	831,244	$165,001,934.00
KTOS	KRATOS DEFENSE & SECURITY	7.54%	1,659,099	$136,543,847.70
RKLB UQ	ROCKET LAB	5.95%	1,396,874	$107,810,735.32
PLTR	PALANTIR TECHNOLOGIES INC-A	5.56%	519,125	$100,777,736.25
AMD	ADVANCED MICRO DEVICES	4.11%	346,208	$74,400,099.20
ACHR	ARCHER AVIATION INC-A	3.91%	8,700,923	$70,825,513.22
AVAV	AEROVIRONMENT INC	3.75%	260,130	$67,932,949.50
DE	DEERE & CO	3.42%	132,786	$61,906,161.06
TRMB	TRIMBLE INC	3.06%	689,051	$55,468,605.50
LHX	L3HARRIS TECHNOLOGIES INC	2.58%	157,143	$46,801,899.69
AMZN	AMAZON.COM INC	2.57%	200,707	$46,592,122.98
TSM	TAIWAN SEMICONDUCTOR-SP ADR	2.44%	148,602	$44,127,363.90
GOOG	ALPHABET INC-CL C	2.41%	138,050	$43,579,624.00
NVDA	NVIDIA CORP	2.31%	221,185	$41,850,413.85
BIDU	BAIDU INC - SPON ADR	1.76%	257,909	$31,936,871.47
IRDM	IRIDIUM COMMUNICATIONS INC	1.71%	1,758,367	$30,929,675.53
SYM UQ	SYMBOTIC INC	1.68%	518,642	$30,516,895.28
BWXT	BWX TECHNOLOGIES INC	1.66%	168,966	$30,011,740.92
CCJ	CAMECO CORP	1.62%	314,831	$29,408,363.71
LUNR	INTUITIVE MACHINES INC	1.57%	1,727,701	$28,524,343.51
JOBY	JOBY AVIATION INC	1.52%	1,936,473	$27,614,104.98
KMTUY	KOMATSU LTD -SPONS ADR	1.48%	839,179	$26,719,459.36
ISRG	INTUITIVE SURGICAL INC	1.44%	45,315	$26,162,162.10
PONY	PONY AI INC	1.33%	1,525,119	$24,081,629.01
ESLT	ELBIT SYSTEMS LTD	1.26%	39,498	$22,912,789.80
SRTA	STRATA CRITICAL MEDICAL INC	1.23%	4,416,928	$22,305,486.40
DASH	DOORDASH INC - A	1.12%	86,986	$20,241,642.20
CAT	CATERPILLAR INC	1.10%	34,056	$19,834,895.52
SNPS	SYNOPSYS INC	1.09%	41,349	$19,660,209.03
QCOM	QUALCOMM INC	1.05%	108,806	$19,013,848.50
AUR	AURORA INNOVATION INC	1.01%	4,481,985	$18,331,318.65
OKLO	OKLO INC	1.00%	222,309	$18,202,660.92
WRD	WERIDE INC-ADR	0.93%	1,893,653	$16,796,702.11
TDY	TELEDYNE TECHNOLOGIES INC	0.92%	32,055	$16,633,339.50
KDK	KODIAK AI INC	0.89%	1,562,908	$16,066,694.24
BYDDY	BYD CO LTD-UNSPONSORED ADR	0.87%	1,325,136	$15,782,369.76

--------------------------

ARKW
as of 12/24/2025

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	9.59%	435,185	$211,308,428.60
ROKU	ROKU INC	5.76%	1,151,248	$127,040,216.80
AMD	ADVANCED MICRO DEVICES	5.65%	579,826	$124,604,607.40
SHOP	SHOPIFY INC - CLASS A	4.99%	648,776	$109,986,995.28
HOOD	ROBINHOOD MARKETS INC - A	4.82%	883,957	$106,286,989.68
COIN	COINBASE GLOBAL INC -CLASS A	4.67%	425,185	$103,022,325.50
PLTR	PALANTIR TECHNOLOGIES INC-A	3.90%	443,140	$86,026,768.20
CRCL	CIRCLE INTERNET GROUP INC	3.06%	815,921	$67,501,144.33
GOOG	ALPHABET INC-CL C	2.92%	204,183	$64,456,489.44
RBLX	ROBLOX CORP -CLASS A	2.90%	790,178	$63,996,516.22
META	META PLATFORMS INC-CLASS A	2.55%	84,414	$56,130,245.16
TSM	TAIWAN SEMICONDUCTOR-SP ADR	2.55%	189,051	$56,138,694.45
BMNR	BITMINE IMMERSION TECHNOLOGI	2.42%	1,792,008	$53,365,998.24
XYZ	BLOCK INC	2.38%	807,674	$52,450,349.56
CRWV	COREWEAVE INC-CL A	2.02%	554,923	$44,538,119.98
AMZN	AMAZON.COM INC	1.80%	171,115	$39,722,636.10
CRWD	CROWDSTRIKE HOLDINGS INC - A	1.77%	81,583	$39,065,203.72
U	UNITY SOFTWARE INC	1.67%	815,109	$36,842,926.80
NET	CLOUDFLARE INC - CLASS A	1.63%	177,451	$35,859,298.08
BLSH	BULLISH	1.59%	823,066	$35,120,226.22
DKNG UW	DRAFTKINGS INC-CL A	1.49%	953,262	$32,925,669.48
RBRK	RUBRIK INC-A	1.48%	413,209	$32,540,208.75
NVDA	NVIDIA CORP	1.35%	157,576	$29,814,954.96
DASH	DOORDASH INC - A	1.24%	117,312	$27,298,502.40
GTLB	GITLAB INC-CL A	1.24%	727,182	$27,320,227.74
ABNB	AIRBNB INC-CLASS A	1.23%	198,693	$27,119,607.57
DDOG	DATADOG INC - CLASS A	1.19%	185,781	$26,237,850.63
GENI	GENIUS SPORTS LTD	1.17%	2,388,230	$25,840,648.60
BIDU	BAIDU INC - SPON ADR	1.12%	199,991	$24,764,885.53
PINS	PINTEREST INC- CLASS A	1.11%	942,360	$24,520,207.20
TTD	TRADE DESK INC/THE -CLASS A	1.04%	613,618	$22,973,857.92
TOST	TOAST INC-CLASS A	1.03%	619,680	$22,729,862.40
SPOT	SPOTIFY TECHNOLOGY SA	1.01%	38,270	$22,173,255.30
PSTG	PURE STORAGE INC - CLASS A	1.00%	327,773	$22,049,289.71
MELI	MERCADOLIBRE INC	0.97%	10,671	$21,289,391.97
QCOM	QUALCOMM INC	0.96%	121,652	$21,258,687.00
PD	PAGERDUTY INC	0.81%	1,384,506	$17,763,211.98
BABA	ALIBABA GROUP HOLDING-SP ADR	0.77%	111,698	$16,892,088.54
NXDR	NEXTDOOR HOLDINGS INC	0.76%	7,833,605	$16,842,250.75
NFLX	NETFLIX INC	0.71%	166,905	$15,605,617.50
CRM	SALESFORCE INC	0.54%	44,771	$11,794,024.53
ETHQ/U	3IQ ETHER STAKING ETF	0.50%	964,419	$10,926,867.27
SOLQ/U	3IQ SOLANA STAKING ETF	0.22%	497,176	$4,936,957.68
SLMT	BRERA HOLDINGS PLC-CL B	0.17%	1,848,217	$3,844,291.36
IBTA	IBOTTA INC-CL A	0.00%	101	$2,173.52

--------------------------

ARKG
as of 12/24/2025

Ticker	Name	Weight	Shares	Market Value
CRSP	CRISPR THERAPEUTICS AG	8.94%	1,937,364	$109,383,571.44
TEM	TEMPUS AI INC	8.64%	1,633,429	$105,715,524.88
TWST	TWIST BIOSCIENCE CORP	5.97%	2,158,688	$73,050,001.92
GH	GUARDANT HEALTH INC	5.68%	678,314	$69,527,185.00
PSNL	PERSONALIS INC	5.28%	7,668,985	$64,572,853.70
BEAM	BEAM THERAPEUTICS INC	4.95%	2,180,234	$60,545,098.18
