ARKK
as of 02/10/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.88%	1,676,474	$699,626,129.68
CRSP	CRISPR THERAPEUTICS AG	5.62%	7,275,278	$361,581,316.60
TEM	TEMPUS AI INC	5.32%	5,989,617	$342,126,923.04
ROKU	ROKU INC	4.56%	3,315,781	$293,512,934.12
SHOP	SHOPIFY INC - CLASS A	4.00%	2,172,572	$257,232,524.80
AMD	ADVANCED MICRO DEVICES	3.99%	1,189,761	$256,988,376.00
HOOD	ROBINHOOD MARKETS INC - A	3.98%	2,957,666	$256,015,568.96
RBLX	ROBLOX CORP -CLASS A	3.75%	3,281,287	$241,010,530.15
COIN	COINBASE GLOBAL INC -CLASS A	3.64%	1,399,050	$233,991,112.50
BEAM	BEAM THERAPEUTICS INC	3.60%	8,478,711	$231,299,236.08
TER	TERADYNE INC	3.42%	708,835	$219,745,938.35
PLTR	PALANTIR TECHNOLOGIES INC-A	3.25%	1,463,416	$209,136,780.56
TWST	TWIST BIOSCIENCE CORP	3.07%	4,164,378	$197,683,023.66
CRCL	CIRCLE INTERNET GROUP INC	2.54%	2,714,982	$163,170,418.20
ACHR	ARCHER AVIATION INC-A	2.18%	19,068,063	$140,531,624.31
BLSH	BULLISH	2.14%	4,294,541	$137,640,039.05
TXG	10X GENOMICS INC-CLASS A	2.07%	7,196,238	$133,418,252.52
BMNR	BITMINE IMMERSION TECHNOLOGI	2.07%	6,207,960	$133,160,742.00
CRWV	COREWEAVE INC-CL A	1.89%	1,257,700	$121,732,783.00
NTLA	INTELLIA THERAPEUTICS INC	1.73%	8,919,472	$111,404,205.28
AMZN	AMAZON.COM INC	1.68%	516,651	$107,835,396.72
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.68%	303,714	$107,942,992.74
NVDA	NVIDIA CORP	1.67%	564,669	$107,309,696.76
DE	DEERE & CO	1.66%	182,517	$106,894,731.39
XYZ	BLOCK INC	1.37%	1,548,698	$87,935,072.44
BIDU	BAIDU INC - SPON ADR	1.30%	567,019	$83,334,782.43
NTRA	NATERA INC	1.29%	394,404	$83,053,594.32
RXRX	RECURSION PHARMACEUTICALS-A	1.29%	20,854,783	$83,002,036.34
BWXT	BWX TECHNOLOGIES INC	1.26%	399,651	$81,129,153.00
KTOS	KRATOS DEFENSE & SECURITY	1.26%	820,682	$81,091,588.42
ILMN	ILLUMINA INC	1.24%	682,839	$80,062,872.75
VCYT	VERACYTE INC	1.20%	2,100,982	$77,169,068.86
META	META PLATFORMS INC-CLASS A	1.16%	110,590	$74,893,759.80
WGS	GENEDX HOLDINGS CORP	0.99%	700,169	$63,883,419.56
AVGO	BROADCOM INC	0.95%	178,009	$61,224,415.46
GOOG	ALPHABET INC-CL C	0.90%	178,890	$58,031,916.00
BABA	ALIBABA GROUP HOLDING-SP ADR	0.89%	351,215	$57,248,045.00
DKNG UW	DRAFTKINGS INC-CL A	0.79%	1,873,988	$51,009,953.36
ABNB	AIRBNB INC-CLASS A	0.78%	412,202	$50,004,224.62
SOFI	SOFI TECHNOLOGIES INC	0.75%	2,252,737	$48,095,934.95
PACB	PACIFIC BIOSCIENCES OF CALIF	0.60%	20,881,828	$38,422,563.52
PD	PAGERDUTY INC	0.60%	4,936,491	$38,603,359.62
CERS	CERUS CORP	0.32%	9,472,134	$20,649,252.12
SLMT	BRERA HOLDINGS PLC-CL B	0.13%	6,540,598	$8,371,965.44
TTD	TRADE DESK INC/THE -CLASS A	0.00%	1,248	$33,745.92

--------------------------

ARKQ
as of 02/10/2026

Ticker	Name	Weight	Shares	Market Value
TER	TERADYNE INC	10.47%	701,648	$217,517,896.48
TSLA	TESLA INC	10.09%	502,603	$209,746,283.96
KTOS	KRATOS DEFENSE & SECURITY	7.71%	1,620,641	$160,135,537.21
RKLB UQ	ROCKET LAB	4.97%	1,360,803	$103,203,299.52
DE	DEERE & CO	4.20%	148,993	$87,260,730.31
AMD	ADVANCED MICRO DEVICES	4.17%	401,339	$86,689,224.00
AVAV	AEROVIRONMENT INC	3.99%	301,959	$82,842,451.65
PLTR	PALANTIR TECHNOLOGIES INC-A	3.89%	565,511	$80,817,177.01
ACHR	ARCHER AVIATION INC-A	3.36%	9,478,820	$69,858,903.40
GOOG	ALPHABET INC-CL C	3.27%	209,607	$67,996,510.80
LHX	L3HARRIS TECHNOLOGIES INC	3.14%	186,105	$65,248,413.00
TSM	TAIWAN SEMICONDUCTOR-SP ADR	2.77%	161,886	$57,535,903.26
TRMB	TRIMBLE INC	2.42%	750,638	$50,240,201.34
AMZN	AMAZON.COM INC	2.20%	218,635	$45,633,497.20
NVDA	NVIDIA CORP	2.20%	240,949	$45,789,947.96
KMTUY	KOMATSU LTD -SPONS ADR	2.13%	914,185	$44,228,270.30
CAT	CATERPILLAR INC	2.12%	59,298	$44,006,231.76
BIDU	BAIDU INC - SPON ADR	1.99%	280,967	$41,293,719.99
CCJ	CAMECO CORP	1.99%	342,965	$41,389,016.20
IRDM	IRIDIUM COMMUNICATIONS INC	1.90%	1,915,561	$39,575,490.26
BWXT	BWX TECHNOLOGIES INC	1.80%	184,059	$37,363,977.00
LUNR	INTUITIVE MACHINES INC	1.76%	1,882,141	$36,607,642.45
SYM UQ	SYMBOTIC INC	1.70%	565,001	$35,335,162.54
ISRG	INTUITIVE SURGICAL INC	1.45%	61,325	$30,223,413.00
ESLT	ELBIT SYSTEMS LTD	1.39%	43,008	$28,850,196.48
JOBY	JOBY AVIATION INC	1.38%	2,673,564	$28,580,399.16
WRD	WERIDE INC-ADR	1.33%	3,422,505	$27,585,390.30
PONY	PONY AI INC	1.28%	1,796,717	$26,609,378.77
TDY	TELEDYNE TECHNOLOGIES INC	1.10%	34,917	$22,918,820.46
SRTA	STRATA CRITICAL MEDICAL INC	1.08%	4,811,803	$22,519,238.04
AUR	AURORA INNOVATION INC	1.03%	4,882,692	$21,483,844.80
OKLO	OKLO INC	1.00%	277,025	$20,790,726.25
BYDDY	BYD CO LTD-UNSPONSORED ADR	0.98%	1,695,571	$20,346,852.00
KDK	KODIAK AI INC	0.96%	2,197,966	$19,913,571.96
SNPS	SYNOPSYS INC	0.95%	45,021	$19,759,716.90
AVGO	BROADCOM INC	0.85%	51,417	$17,684,362.98
DASH	DOORDASH INC - A	0.85%	94,762	$17,648,474.88

--------------------------

ARKW
as of 02/10/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	9.94%	398,551	$166,323,303.32
AMD	ADVANCED MICRO DEVICES	7.37%	571,343	$123,410,088.00
ROKU	ROKU INC	5.11%	966,815	$85,582,463.80
HOOD	ROBINHOOD MARKETS INC - A	4.55%	879,409	$76,121,643.04
SHOP	SHOPIFY INC - CLASS A	4.25%	601,333	$71,197,827.20
RBLX	ROBLOX CORP -CLASS A	3.82%	869,265	$63,847,514.25
GOOG	ALPHABET INC-CL C	3.67%	189,527	$61,482,558.80
CRWV	COREWEAVE INC-CL A	3.33%	576,041	$55,755,008.39
TSM	TAIWAN SEMICONDUCTOR-SP ADR	3.29%	154,949	$55,070,424.09
COIN	COINBASE GLOBAL INC -CLASS A	3.28%	327,830	$54,829,567.50
PLTR	PALANTIR TECHNOLOGIES INC-A	3.00%	351,074	$50,171,985.34
CRCL	CIRCLE INTERNET GROUP INC	2.68%	747,233	$44,908,703.30
META	META PLATFORMS INC-CLASS A	2.65%	65,467	$44,335,561.74
XYZ	BLOCK INC	2.51%	739,675	$41,998,746.50
AVGO	BROADCOM INC	2.12%	103,360	$35,549,638.40
BMNR	BITMINE IMMERSION TECHNOLOGI	2.10%	1,641,120	$35,202,024.00
AMZN	AMAZON.COM INC	1.95%	156,715	$32,709,554.80
BLSH	BULLISH	1.84%	960,220	$30,775,051.00
CRWD	CROWDSTRIKE HOLDINGS INC - A	1.82%	74,719	$30,488,340.76
NET	CLOUDFLARE INC - CLASS A	1.69%	162,523	$28,238,371.25
NVDA	NVIDIA CORP	1.64%	144,328	$27,428,093.12
BIDU	BAIDU INC - SPON ADR	1.61%	183,167	$26,920,053.99
DDOG	DATADOG INC - CLASS A	1.39%	204,439	$23,308,090.39
PSTG	PURE STORAGE INC - CLASS A	1.33%	300,173	$22,338,874.66
RBRK	RUBRIK INC-A	1.22%	378,433	$20,458,087.98
GTLB	GITLAB INC-CL A	1.21%	626,333	$20,330,769.18
DASH	DOORDASH INC - A	1.20%	107,448	$20,011,115.52
MELI	MERCADOLIBRE INC	1.19%	9,783	$19,914,176.97
DKNG UW	DRAFTKINGS INC-CL A	1.16%	710,494	$19,339,646.68
NFLX	NETFLIX INC	1.14%	233,153	$18,994,974.91
ABNB	AIRBNB INC-CLASS A	1.07%	147,592	$17,904,385.52
BABA	ALIBABA GROUP HOLDING-SP ADR	1.00%	102,314	$16,677,182.00
TOST	TOAST INC-CLASS A	0.97%	567,504	$16,258,989.60
SPOT	SPOTIFY TECHNOLOGY SA	0.87%	35,054	$14,541,801.36
GENI	GENIUS SPORTS LTD	0.83%	2,187,134	$13,866,429.56
U	UNITY SOFTWARE INC	0.81%	495,215	$13,633,268.95
NXDR	NEXTDOOR HOLDINGS INC	0.75%	7,173,941	$12,482,657.34
PINS	PINTEREST INC- CLASS A	0.75%	619,814	$12,483,053.96
PD	PAGERDUTY INC	0.51%	1,086,800	$8,498,776.00
CRM	SALESFORCE INC	0.48%	41,003	$7,955,812.09
ETHQ/U	3IQ ETHER STAKING ETF	0.44%	883,225	$7,286,606.25
SOLQ/U	3IQ SOLANA STAKING ETF	0.19%	455,320	$3,196,346.40
SLMT	BRERA HOLDINGS PLC-CL B	0.14%	1,848,217	$2,365,717.76
TTD	TRADE DESK INC/THE -CLASS A	0.00%	2,099	$56,756.96

--------------------------

ARKG
as of 02/10/2026

Ticker	Name	Weight	Shares	Market Value
TEM	TEMPUS AI INC	8.79%	1,853,732	$105,885,171.84
TWST	TWIST BIOSCIENCE CORP	8.72%	2,210,484	$104,931,675.48
CRSP	CRISPR THERAPEUTICS AG	8.33%	2,017,531	$100,271,290.70
PSNL	PERSONALIS INC	5.37%	8,259,371	$64,670,874.93
TXG	10X GENOMICS INC-CLASS A	5.02%	3,260,862	$60,456,381.48
BEAM	BEAM THERAPEUTICS INC	4.96%	2,191,007	$59,770,670.96
GH	GUARDANT HEALTH INC	4.80%	548,846	$57,815,437.64
NTRA	NATERA INC	4.10%	234,528	$49,386,906.24
RXRX	RECURSION PHARMACEUTICALS-A	3.98%	12,051,495	$47,964,950.10
ILMN	ILLUMINA INC	3.84%	394,175	$46,217,018.75
CDNA	CAREDX INC	3.54%	2,108,982	$42,580,346.58
VCYT	VERACYTE INC	3.32%	1,088,228	$39,970,614.44
NTLA	INTELLIA THERAPEUTICS INC	3.08%	2,970,120	$37,096,798.80
ADPT	ADAPTIVE BIOTECHNOLOGIES	2.81%	2,131,262	$33,801,815.32
IONS	IONIS PHARMACEUTICALS INC	2.81%	398,794	$33,813,743.26
ABSI	ABSCI CORP	2.73%	11,919,282	$32,897,218.32
SDGR	SCHRODINGER INC	2.37%	2,100,792	$28,570,771.20
NRIX	NURIX THERAPEUTICS INC	2.19%	1,578,796	$26,381,681.16
WGS	GENEDX HOLDINGS CORP	2.04%	269,268	$24,568,012.32
BFLY	BUTTERFLY NETWORK INC	1.71%	6,177,098	$20,569,736.34
PACB	PACIFIC BIOSCIENCES OF CALIF	1.69%	11,047,274	$20,326,984.16
ARCT UQ	ARCTURUS THERAPEUTICS HOLDIN	1.62%	2,591,940	$19,517,308.20
PRME	PRIME MEDICINE INC	1.47%	4,943,732	$17,747,997.88
AMGN	AMGEN INC	1.39%	44,684	$16,793,140.88
INCY	INCYTE CORP	1.22%	134,858	$14,703,567.74
CERS	CERUS CORP	1.20%	6,635,285	$14,464,921.30
