ARKK
as of 01/26/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.50%	1,758,776	$789,795,950.56
CRSP	CRISPR THERAPEUTICS AG	5.47%	7,418,399	$411,869,512.48
ROKU	ROKU INC	5.21%	3,691,440	$392,141,671.20
TEM	TEMPUS AI INC	4.88%	5,626,525	$367,524,613.00
COIN	COINBASE GLOBAL INC -CLASS A	4.76%	1,651,593	$358,313,101.35
SHOP	SHOPIFY INC - CLASS A	4.12%	2,250,546	$310,327,787.94
AMD	ADVANCED MICRO DEVICES	4.03%	1,168,309	$303,386,481.12
HOOD	ROBINHOOD MARKETS INC - A	3.98%	2,796,250	$299,170,787.50
BEAM	BEAM THERAPEUTICS INC	3.68%	8,769,094	$276,752,606.64
PLTR	PALANTIR TECHNOLOGIES INC-A	3.46%	1,535,191	$260,368,393.60
TER	TERADYNE INC	3.18%	1,045,440	$239,593,939.20
RBLX	ROBLOX CORP -CLASS A	3.13%	3,179,503	$235,664,762.36
TWST	TWIST BIOSCIENCE CORP	2.56%	4,489,246	$192,768,223.24
CRCL	CIRCLE INTERNET GROUP INC	2.53%	2,670,426	$190,481,486.58
BMNR	BITMINE IMMERSION TECHNOLOGI	2.33%	6,074,847	$174,955,593.60
ACHR	ARCHER AVIATION INC-A	2.29%	20,004,183	$172,236,015.63
TXG	10X GENOMICS INC-CLASS A	2.27%	7,617,495	$170,479,538.10
NTLA	INTELLIA THERAPEUTICS INC	1.81%	9,295,672	$135,995,681.36
AMZN	AMAZON.COM INC	1.72%	541,968	$129,617,066.88
ILMN	ILLUMINA INC	1.66%	829,754	$124,695,431.12
BLSH	BULLISH	1.52%	3,200,073	$114,402,609.75
NVDA	NVIDIA CORP	1.48%	592,335	$111,163,509.45
XYZ	BLOCK INC	1.44%	1,624,649	$108,575,292.67
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.42%	318,591	$106,686,568.17
VCYT	VERACYTE INC	1.41%	2,513,832	$106,259,678.64
CRWV	COREWEAVE INC-CL A	1.40%	1,134,074	$105,446,200.52
NTRA	NATERA INC	1.33%	413,718	$99,945,994.44
RXRX	RECURSION PHARMACEUTICALS-A	1.32%	21,051,355	$99,572,909.15
DE	DEERE & CO	1.31%	191,478	$98,502,027.54
BIDU	BAIDU INC - SPON ADR	1.28%	594,772	$96,019,991.68
KTOS	KRATOS DEFENSE & SECURITY	1.26%	860,963	$95,041,705.57
BWXT	BWX TECHNOLOGIES INC	1.16%	419,226	$87,094,201.50
DKNG UW	DRAFTKINGS INC-CL A	1.04%	2,614,008	$78,341,819.76
META	META PLATFORMS INC-CLASS A	1.02%	115,984	$76,405,619.84
ABNB	AIRBNB INC-CLASS A	1.00%	569,548	$75,265,768.20
TTD	TRADE DESK INC/THE -CLASS A	0.99%	2,040,956	$74,596,941.80
PD	PAGERDUTY INC	0.90%	6,039,736	$67,463,851.12
BABA	ALIBABA GROUP HOLDING-SP ADR	0.85%	368,441	$63,825,034.43
SOFI	SOFI TECHNOLOGIES INC	0.81%	2,363,314	$61,091,666.90
AVGO	BROADCOM INC	0.79%	186,709	$59,756,215.45
PACB	PACIFIC BIOSCIENCES OF CALIF	0.75%	21,907,036	$56,520,152.88
WGS	GENEDX HOLDINGS CORP	0.64%	477,048	$48,348,814.80
GOOG	ALPHABET INC-CL C	0.47%	107,998	$35,469,783.14
CERS	CERUS CORP	0.33%	9,937,149	$24,743,501.01
SLMT	BRERA HOLDINGS PLC-CL B	0.16%	6,222,479	$12,258,283.63

--------------------------

ARKQ
as of 01/26/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.53%	499,549	$224,327,473.94
TER	TERADYNE INC	9.68%	900,044	$206,272,083.92
KTOS	KRATOS DEFENSE & SECURITY	8.44%	1,629,027	$179,828,290.53
RKLB UQ	ROCKET LAB	6.20%	1,485,656	$132,074,818.40
AMD	ADVANCED MICRO DEVICES	4.57%	374,858	$97,343,125.44
PLTR	PALANTIR TECHNOLOGIES INC-A	4.47%	562,075	$95,327,920.00
AVAV	AEROVIRONMENT INC	4.07%	281,655	$86,679,326.25
ACHR	ARCHER AVIATION INC-A	3.81%	9,421,198	$81,116,514.78
DE	DEERE & CO	3.58%	148,089	$76,181,424.27
LHX	L3HARRIS TECHNOLOGIES INC	2.83%	170,143	$60,354,826.39
TSM	TAIWAN SEMICONDUCTOR-SP ADR	2.53%	160,902	$53,881,252.74
TRMB	TRIMBLE INC	2.49%	746,076	$53,113,150.44
AMZN	AMAZON.COM INC	2.44%	217,307	$51,971,142.12
GOOG	ALPHABET INC-CL C	2.30%	149,475	$49,092,074.25
BIDU	BAIDU INC - SPON ADR	2.12%	279,259	$45,083,572.96
NVDA	NVIDIA CORP	2.11%	239,485	$44,944,149.95
CCJ	CAMECO CORP	1.98%	340,881	$42,282,879.24
IRDM	IRIDIUM COMMUNICATIONS INC	1.95%	1,903,917	$41,448,273.09
BWXT	BWX TECHNOLOGIES INC	1.78%	182,941	$38,005,992.75
LUNR	INTUITIVE MACHINES INC	1.76%	1,870,701	$37,470,141.03
SYM UQ	SYMBOTIC INC	1.64%	561,567	$34,862,079.36
KMTUY	KOMATSU LTD -SPONS ADR	1.53%	908,629	$32,519,831.91
ESLT	ELBIT SYSTEMS LTD	1.44%	42,748	$30,735,384.52
WRD	WERIDE INC-ADR	1.39%	3,353,441	$29,577,349.62
PONY	PONY AI INC	1.38%	1,785,795	$29,358,469.80
JOBY	JOBY AVIATION INC	1.37%	2,096,773	$29,208,047.89
SRTA	STRATA CRITICAL MEDICAL INC	1.23%	4,782,553	$26,160,564.91
ISRG	INTUITIVE SURGICAL INC	1.21%	49,065	$25,709,569.35
OKLO	OKLO INC	1.13%	275,341	$24,128,131.83
CAT	CATERPILLAR INC	1.08%	36,856	$23,094,706.72
SNPS	SYNOPSYS INC	1.05%	44,749	$22,436,701.11
AUR	AURORA INNOVATION INC	1.04%	4,853,010	$22,226,785.80
BYDDY	BYD CO LTD-UNSPONSORED ADR	1.01%	1,685,265	$21,537,686.70
TDY	TELEDYNE TECHNOLOGIES INC	0.99%	34,705	$21,192,955.30
DASH	DOORDASH INC - A	0.92%	94,186	$19,518,164.78
KDK	KODIAK AI INC	0.87%	1,982,649	$18,597,247.62
QCOM	QUALCOMM INC	0.86%	117,806	$18,356,530.92

--------------------------

ARKW
as of 01/26/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	9.38%	410,767	$184,459,029.02
AMD	ADVANCED MICRO DEVICES	7.23%	547,282	$142,118,189.76
ROKU	ROKU INC	5.74%	1,062,393	$112,858,008.39
HOOD	ROBINHOOD MARKETS INC - A	4.54%	834,341	$89,266,143.59
COIN	COINBASE GLOBAL INC -CLASS A	4.43%	401,329	$87,068,326.55
SHOP	SHOPIFY INC - CLASS A	4.30%	612,360	$84,438,320.40
GOOG	ALPHABET INC-CL C	3.22%	192,727	$63,297,328.61
PLTR	PALANTIR TECHNOLOGIES INC-A	3.12%	361,834	$61,367,046.40
RBLX	ROBLOX CORP -CLASS A	3.02%	800,594	$59,340,027.28
CRCL	CIRCLE INTERNET GROUP INC	2.79%	770,129	$54,933,301.57
TSM	TAIWAN SEMICONDUCTOR-SP ADR	2.72%	159,693	$53,476,394.91
XYZ	BLOCK INC	2.59%	762,346	$50,947,583.18
BMNR	BITMINE IMMERSION TECHNOLOGI	2.48%	1,691,416	$48,712,780.80
CRWV	COREWEAVE INC-CL A	2.48%	523,771	$48,700,227.58
META	META PLATFORMS INC-CLASS A	2.26%	67,467	$44,444,560.92
AMZN	AMAZON.COM INC	1.97%	161,515	$38,627,927.40
CRWD	CROWDSTRIKE HOLDINGS INC - A	1.77%	77,007	$34,844,897.43
BIDU	BAIDU INC - SPON ADR	1.55%	188,775	$30,475,836.00
NET	CLOUDFLARE INC - CLASS A	1.48%	167,499	$29,051,026.56
NVDA	NVIDIA CORP	1.42%	148,744	$27,914,786.48
BLSH	BULLISH	1.41%	776,874	$27,773,245.50
