ARKK
as of 05/18/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.52%	1,895,868	$800,511,304.32
AMD	ADVANCED MICRO DEVICES	5.20%	932,827	$395,611,930.70
CRCL	CIRCLE INTERNET GROUP INC	4.76%	3,176,685	$362,142,090.00
CRSP	CRISPR THERAPEUTICS AG	4.50%	7,072,353	$342,372,608.73
ROKU	ROKU INC	4.50%	2,760,899	$342,406,693.98
HOOD	ROBINHOOD MARKETS INC - A	4.45%	4,386,569	$338,379,932.66
TEM	TEMPUS AI INC-CL A	4.41%	7,629,650	$335,170,524.50
COIN	COINBASE GLOBAL INC -CLASS A	4.30%	1,675,081	$327,361,079.83
SHOP	SHOPIFY INC - CLASS A	3.90%	2,960,225	$296,851,363.00
PLTR	PALANTIR TECHNOLOGIES INC-A	2.95%	1,673,737	$224,264,020.63
BEAM	BEAM THERAPEUTICS INC	2.75%	7,496,873	$209,387,662.89
AMZN	AMAZON.COM INC	2.61%	750,448	$198,223,334.72
CRWV	COREWEAVE INC-CL A	2.56%	1,811,558	$194,380,173.40
RBLX	ROBLOX CORP -CLASS A	2.47%	4,390,092	$188,115,442.20
NTLA	INTELLIA THERAPEUTICS INC	2.28%	12,698,289	$173,585,610.63
TWST	TWIST BIOSCIENCE CORP	2.25%	3,479,910	$171,107,174.70
TXG	10X GENOMICS INC-CLASS A	2.17%	7,781,699	$164,972,018.80
BLSH	BULLISH	2.15%	4,575,762	$163,171,672.92
BMNR	BITMINE IMMERSION TECHNOLOGI	1.84%	7,042,535	$139,935,170.45
ACHR	ARCHER AVIATION INC-A	1.60%	20,116,847	$121,706,924.35
XYZ	BLOCK INC	1.50%	1,617,987	$113,841,565.32
TER	TERADYNE INC	1.50%	338,044	$114,218,306.72
GOOG	ALPHABET INC-CL C	1.49%	287,334	$113,014,208.88
ILMN	ILLUMINA INC	1.32%	704,142	$100,368,400.68
NVDA	NVIDIA CORP	1.31%	442,277	$99,653,853.64
AVGO	BROADCOM INC	1.16%	207,266	$88,127,430.54
DE	DEERE & CO	1.13%	153,438	$86,206,071.54
NTRA	NATERA INC	1.13%	461,901	$86,079,870.36
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.11%	209,008	$84,512,384.80
BIDU	BAIDU INC - SPON ADR	1.08%	607,825	$82,256,957.25
XE	X-ENERGY INC	1.08%	3,000,982	$81,926,808.60
VCYT	VERACYTE INC	1.02%	2,018,170	$77,659,181.60
RXRX	RECURSION PHARMACEUTICALS-A	0.96%	24,920,419	$73,016,827.67
BWXT	BWX TECHNOLOGIES INC	0.93%	344,433	$70,512,323.76
BABA	ALIBABA GROUP HOLDING-SP ADR	0.90%	517,554	$68,622,484.86
