ARKK
as of 02/24/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.81%	1,635,796	$654,040,314.68
CRSP	CRISPR THERAPEUTICS AG	6.48%	7,266,638	$392,253,119.24
TEM	TEMPUS AI INC	5.70%	6,022,999	$345,057,612.71
ROKU	ROKU INC	4.51%	3,235,328	$273,126,389.76
SHOP	SHOPIFY INC - CLASS A	4.47%	2,305,681	$270,410,267.68
BEAM	BEAM THERAPEUTICS INC	3.97%	8,481,147	$240,270,894.51
HOOD	ROBINHOOD MARKETS INC - A	3.93%	3,315,828	$238,010,133.84
COIN	COINBASE GLOBAL INC -CLASS A	3.86%	1,458,575	$233,722,058.00
AMD	ADVANCED MICRO DEVICES	3.84%	1,181,704	$232,323,006.40
RBLX	ROBLOX CORP -CLASS A	3.52%	3,410,647	$212,926,692.21
PLTR	PALANTIR TECHNOLOGIES INC-A	3.08%	1,427,941	$186,489,094.60
TER	TERADYNE INC	3.00%	569,351	$181,338,293.50
TWST	TWIST BIOSCIENCE CORP	2.91%	3,665,927	$176,294,429.43
CRCL	CIRCLE INTERNET GROUP INC	2.73%	2,703,122	$165,349,972.74
BLSH	BULLISH	2.31%	4,565,070	$139,828,094.10
TXG	10X GENOMICS INC-CLASS A	2.19%	7,021,615	$132,638,307.35
ACHR	ARCHER AVIATION INC-A	2.14%	18,605,383	$129,493,465.68
BMNR	BITMINE IMMERSION TECHNOLOGI	1.97%	6,203,177	$119,225,061.94
NTLA	INTELLIA THERAPEUTICS INC	1.91%	8,779,227	$115,534,627.32
CRWV	COREWEAVE INC-CL A	1.90%	1,263,287	$114,756,991.08
DE	DEERE & CO	1.87%	174,428	$112,827,007.52
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.77%	289,919	$107,281,626.76
NVDA	NVIDIA CORP	1.74%	550,995	$105,543,092.25
AMZN	AMAZON.COM INC	1.71%	504,138	$103,484,407.26
ILMN	ILLUMINA INC	1.33%	666,284	$80,313,873.36
NTRA	NATERA INC	1.33%	384,858	$80,570,022.30
XYZ	BLOCK INC	1.27%	1,511,148	$76,690,761.00
RXRX	RECURSION PHARMACEUTICALS-A	1.27%	22,574,753	$76,979,907.73
KTOS	KRATOS DEFENSE & SECURITY	1.25%	800,773	$75,520,901.63
BWXT	BWX TECHNOLOGIES INC	1.24%	378,097	$75,006,882.86
BIDU	BAIDU INC - SPON ADR	1.22%	553,291	$74,105,030.09
VCYT	VERACYTE INC	1.21%	2,050,027	$73,288,465.25
META	META PLATFORMS INC-CLASS A	1.14%	107,924	$68,774,569.00
AVGO	BROADCOM INC	1.03%	188,262	$62,190,469.08
WGS	GENEDX HOLDINGS CORP	0.98%	683,184	$59,491,662.72
GOOG	ALPHABET INC-CL C	0.90%	174,590	$54,417,957.10
BABA	ALIBABA GROUP HOLDING-SP ADR	0.87%	342,701	$52,357,858.78
SOFI	SOFI TECHNOLOGIES INC	0.66%	2,198,084	$40,049,090.48
