ARKK
as of 01/27/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.30%	1,736,072	$755,538,534.40
CRSP	CRISPR THERAPEUTICS AG	5.46%	7,322,639	$400,182,221.35
ROKU	ROKU INC	5.32%	3,643,800	$389,886,600.00
TEM	TEMPUS AI INC	5.13%	5,560,446	$376,052,962.98
COIN	COINBASE GLOBAL INC -CLASS A	4.75%	1,630,281	$348,032,387.88
SHOP	SHOPIFY INC - CLASS A	4.13%	2,221,506	$302,813,482.86
HOOD	ROBINHOOD MARKETS INC - A	4.03%	2,760,154	$295,336,478.00
AMD	ADVANCED MICRO DEVICES	3.95%	1,153,237	$289,819,990.47
BEAM	BEAM THERAPEUTICS INC	3.65%	8,655,886	$267,899,671.70
PLTR	PALANTIR TECHNOLOGIES INC-A	3.46%	1,515,391	$253,782,530.77
TER	TERADYNE INC	3.26%	1,031,952	$239,154,876.00
RBLX	ROBLOX CORP -CLASS A	3.17%	3,138,463	$232,277,646.63
CRCL	CIRCLE INTERNET GROUP INC	2.55%	2,635,962	$186,889,705.80
TWST	TWIST BIOSCIENCE CORP	2.53%	4,366,615	$185,406,472.90
TXG	10X GENOMICS INC-CLASS A	2.29%	7,452,081	$167,671,822.50
BMNR	BITMINE IMMERSION TECHNOLOGI	2.27%	5,996,439	$166,701,004.20
ACHR	ARCHER AVIATION INC-A	2.16%	19,745,943	$158,559,922.29
NTLA	INTELLIA THERAPEUTICS INC	1.75%	9,175,672	$128,000,624.40
AMZN	AMAZON.COM INC	1.74%	534,984	$127,550,885.28
ILMN	ILLUMINA INC	1.71%	819,050	$125,314,650.00
BLSH	BULLISH	1.55%	3,184,334	$113,553,350.44
CRWV	COREWEAVE INC-CL A	1.50%	1,119,434	$110,051,556.54
NVDA	NVIDIA CORP	1.49%	584,703	$109,029,568.41
XYZ	BLOCK INC	1.44%	1,603,697	$105,683,632.30
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.43%	314,487	$104,632,969.77
VCYT	VERACYTE INC	1.37%	2,471,311	$100,261,087.27
NTRA	NATERA INC	1.34%	408,390	$98,581,262.10
DE	DEERE & CO	1.33%	189,006	$97,629,159.24
RXRX	RECURSION PHARMACEUTICALS-A	1.30%	20,779,579	$95,378,267.61
KTOS	KRATOS DEFENSE & SECURITY	1.29%	849,851	$94,605,413.32
BIDU	BAIDU INC - SPON ADR	1.25%	587,116	$91,637,065.28
BWXT	BWX TECHNOLOGIES INC	1.16%	413,826	$85,264,709.04
DKNG UW	DRAFTKINGS INC-CL A	1.08%	2,580,264	$78,904,473.12
META	META PLATFORMS INC-CLASS A	1.05%	114,496	$76,982,530.56
ABNB	AIRBNB INC-CLASS A	1.02%	562,204	$74,992,391.56
TTD	TRADE DESK INC/THE -CLASS A	0.93%	2,014,628	$68,114,572.68
PD	PAGERDUTY INC	0.92%	5,961,784	$67,308,541.36
BABA	ALIBABA GROUP HOLDING-SP ADR	0.85%	363,689	$62,325,383.93
AVGO	BROADCOM INC	0.82%	184,309	$59,872,778.65
SOFI	SOFI TECHNOLOGIES INC	0.82%	2,332,810	$60,186,498.00
PACB	PACIFIC BIOSCIENCES OF CALIF	0.74%	21,624,220	$54,493,034.40
WGS	GENEDX HOLDINGS CORP	0.67%	470,904	$49,388,411.52
GOOG	ALPHABET INC-CL C	0.48%	106,606	$35,562,695.54
CERS	CERUS CORP	0.33%	9,808,869	$24,129,817.74
SLMT	BRERA HOLDINGS PLC-CL B	0.15%	6,222,479	$10,702,663.88

--------------------------

ARKQ
as of 01/27/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.43%	499,549	$217,403,724.80
TER	TERADYNE INC	10.01%	900,044	$208,585,197.00
KTOS	KRATOS DEFENSE & SECURITY	8.68%	1,625,125	$180,908,915.00
RKLB UQ	ROCKET LAB	5.74%	1,485,656	$119,565,594.88
AMD	ADVANCED MICRO DEVICES	4.52%	374,858	$94,205,563.98
PLTR	PALANTIR TECHNOLOGIES INC-A	4.52%	562,075	$94,130,700.25
AVAV	AEROVIRONMENT INC	4.09%	281,655	$85,248,518.85
DE	DEERE & CO	3.67%	148,089	$76,493,892.06
ACHR	ARCHER AVIATION INC-A	3.63%	9,421,198	$75,652,219.94
LHX	L3HARRIS TECHNOLOGIES INC	2.89%	170,143	$60,264,650.60
TSM	TAIWAN SEMICONDUCTOR-SP ADR	2.57%	160,902	$53,533,704.42
TRMB	TRIMBLE INC	2.55%	746,076	$53,254,904.88
AMZN	AMAZON.COM INC	2.49%	217,307	$51,810,334.94
