ARKK
as of 05/05/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	9.69%	1,631,458	$640,363,579.58
TEM	TEMPUS AI INC-CL A	5.22%	6,173,479	$344,541,862.99
CRSP	CRISPR THERAPEUTICS AG	4.94%	6,085,405	$326,055,999.90
CRCL	CIRCLE INTERNET GROUP INC	4.89%	2,704,001	$323,209,239.53
AMD	ADVANCED MICRO DEVICES	4.71%	909,945	$310,782,615.30
SHOP	SHOPIFY INC - CLASS A	4.56%	2,361,667	$301,230,625.85
ROKU	ROKU INC	4.53%	2,375,655	$299,380,043.10
COIN	COINBASE GLOBAL INC -CLASS A	4.43%	1,441,359	$292,581,463.41
HOOD	ROBINHOOD MARKETS INC - A	4.37%	3,774,453	$288,934,377.15
PLTR	PALANTIR TECHNOLOGIES INC-A	3.18%	1,440,289	$210,325,402.67
CRWV	COREWEAVE INC-CL A	2.95%	1,555,544	$195,111,883.92
BEAM	BEAM THERAPEUTICS INC	2.94%	6,450,467	$194,030,047.36
TWST	TWIST BIOSCIENCE CORP	2.74%	3,215,271	$180,666,077.49
RBLX	ROBLOX CORP -CLASS A	2.72%	3,777,428	$179,692,249.96
AMZN	AMAZON.COM INC	2.66%	645,780	$175,684,449.00
BLSH	BULLISH	2.43%	3,937,058	$160,238,260.60
TXG	10X GENOMICS INC-CLASS A	2.19%	6,695,563	$144,958,938.95
BMNR	BITMINE IMMERSION TECHNOLOGI	2.09%	6,059,697	$138,100,494.63
NTLA	INTELLIA THERAPEUTICS INC	2.08%	9,909,078	$137,438,911.86
TER	TERADYNE INC	1.86%	363,876	$122,786,317.44
XYZ	BLOCK INC	1.52%	1,392,211	$100,099,970.90
ACHR	ARCHER AVIATION INC-A	1.51%	17,308,895	$99,872,324.15
GOOG	ALPHABET INC-CL C	1.42%	247,330	$93,896,361.20
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.42%	234,075	$94,006,860.75
ILMN	ILLUMINA INC	1.28%	606,050	$84,465,188.50
NTRA	NATERA INC	1.17%	364,459	$77,104,946.04
DE	DEERE & CO	1.16%	132,066	$76,385,653.74
XE	X-ENERGY INC	1.16%	2,582,310	$76,849,545.60
NVDA	NVIDIA CORP	1.14%	380,627	$75,546,846.96
RXRX	RECURSION PHARMACEUTICALS-A	1.14%	21,441,989	$75,475,801.28
AVGO	BROADCOM INC	1.13%	178,496	$74,343,584.00
BIDU	BAIDU INC - SPON ADR	1.01%	523,159	$66,692,309.32
KTOS	KRATOS DEFENSE & SECURITY	1.00%	1,066,353	$66,039,241.29
BWXT	BWX TECHNOLOGIES INC	0.97%	296,483	$64,241,936.44
BABA	ALIBABA GROUP HOLDING-SP ADR	0.90%	445,492	$59,370,718.84
VCYT	VERACYTE INC	0.88%	1,736,498	$58,085,858.10
WGS	GENEDX HOLDINGS CORP	0.84%	820,066	$55,707,083.38
META	META PLATFORMS INC-CLASS A	0.58%	62,884	$38,385,022.44
SOFI	SOFI TECHNOLOGIES INC	0.53%	2,147,244	$34,785,352.80
CERS	CERUS CORP	0.39%	9,513,199	$25,875,901.28
PACB	PACIFIC BIOSCIENCES OF CALIF	0.34%	14,535,286	$22,529,693.30
SLMT	BRERA HOLDINGS PLC-CL B	0.05%	4,150,818	$3,220,204.60

--------------------------

ARKQ
as of 05/05/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.19%	543,841	$213,463,030.91
TER	TERADYNE INC	7.68%	476,373	$160,747,305.12
AMD	ADVANCED MICRO DEVICES	6.14%	376,512	$128,593,908.48
KTOS	KRATOS DEFENSE & SECURITY	5.02%	1,697,922	$105,152,309.46
RKLB UQ	ROCKET LAB	4.69%	1,222,069	$98,144,361.39
GOOG	ALPHABET INC-CL C	4.63%	255,502	$96,998,779.28
DE	DEERE & CO	4.05%	146,497	$84,732,399.83
PLTR	PALANTIR TECHNOLOGIES INC-A	4.03%	577,249	$84,295,671.47
AMZN	AMAZON.COM INC	3.41%	262,623	$71,446,587.15
TSM	TAIWAN SEMICONDUCTOR-SP ADR	3.09%	160,902	$64,619,852.22
LHX	L3HARRIS TECHNOLOGIES INC	3.02%	205,122	$63,304,751.64
ACHR	ARCHER AVIATION INC-A	2.88%	10,465,183	$60,384,105.91
AVAV	AEROVIRONMENT INC	2.73%	317,383	$57,211,459.58
TRMB	TRIMBLE INC	2.44%	746,076	$51,121,127.52
CAT	CATERPILLAR INC	2.29%	54,839	$47,972,060.42
NVDA	NVIDIA CORP	2.27%	239,485	$47,532,982.80
LUNR	INTUITIVE MACHINES INC	2.11%	1,746,158	$44,265,105.30
BIDU	BAIDU INC - SPON ADR	1.90%	311,633	$39,726,974.84
CCJ	CAMECO CORP	1.88%	332,345	$39,303,119.70
SYM UQ	SYMBOTIC INC	1.83%	671,818	$38,293,626.00
BWXT	BWX TECHNOLOGIES INC	1.80%	174,219	$37,749,772.92
KMTUY	KOMATSU LTD -SPONS ADR	1.79%	908,629	$37,499,118.83
AUR	AURORA INNOVATION INC	1.75%	5,684,073	$36,605,430.12
ESLT	ELBIT SYSTEMS LTD	1.65%	40,169	$34,456,566.51
IRDM	IRIDIUM COMMUNICATIONS INC	1.62%	847,853	$33,820,856.17
AVGO	BROADCOM INC	1.56%	78,587	$32,731,485.50
JOBY	JOBY AVIATION INC	1.44%	3,391,778	$30,051,153.08
ISRG	INTUITIVE SURGICAL INC	1.32%	60,953	$27,572,089.55
WRD	WERIDE INC-ADR	1.27%	3,401,701	$26,669,335.84
XE	X-ENERGY INC	1.21%	853,169	$25,390,309.44
OKLO	OKLO INC	1.19%	364,459	$25,001,887.40
DASH	DOORDASH INC - A	1.08%	130,784	$22,569,394.88
SNPS	SYNOPSYS INC	1.06%	44,749	$22,262,627.50
TDY	TELEDYNE TECHNOLOGIES INC	1.06%	34,705	$22,127,213.90
BYDDY	BYD CO LTD-UNSPONSORED ADR	1.05%	1,685,265	$22,060,118.85
KDK	KODIAK AI INC	1.05%	2,593,710	$21,994,660.80
PONY	PONY AI INC	0.89%	1,785,795	$18,572,268.00
SRTA	STRATA CRITICAL MEDICAL INC	0.86%	3,679,681	$18,030,436.90

--------------------------

ARKW
