ARKK
as of 05/13/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.70%	1,658,478	$718,867,289.10
AMD	ADVANCED MICRO DEVICES	5.44%	815,977	$365,794,329.33
CRCL	CIRCLE INTERNET GROUP INC	5.11%	2,778,657	$343,580,938.05
CRSP	CRISPR THERAPEUTICS AG	4.86%	6,186,261	$326,820,168.63
TEM	TEMPUS AI INC-CL A	4.66%	6,673,694	$313,329,933.30
ROKU	ROKU INC	4.59%	2,415,023	$308,229,385.49
COIN	COINBASE GLOBAL INC -CLASS A	4.53%	1,465,243	$304,243,056.52
HOOD	ROBINHOOD MARKETS INC - A	4.47%	3,837,005	$300,322,381.35
SHOP	SHOPIFY INC - CLASS A	3.85%	2,589,257	$258,511,418.88
BEAM	BEAM THERAPEUTICS INC	3.08%	6,557,399	$207,082,660.42
PLTR	PALANTIR TECHNOLOGIES INC-A	2.96%	1,464,145	$199,123,720.00
AMZN	AMAZON.COM INC	2.60%	656,476	$174,504,450.32
BLSH	BULLISH	2.55%	4,002,336	$171,299,980.80
TWST	TWIST BIOSCIENCE CORP	2.55%	3,066,470	$171,568,996.50
CRWV	COREWEAVE INC-CL A	2.54%	1,584,746	$170,756,381.50
RBLX	ROBLOX CORP -CLASS A	2.37%	3,840,036	$159,515,095.44
NTLA	INTELLIA THERAPEUTICS INC	2.20%	10,584,037	$148,070,677.63
TXG	10X GENOMICS INC-CLASS A	2.12%	6,806,555	$142,393,130.60
BMNR	BITMINE IMMERSION TECHNOLOGI	1.99%	6,160,133	$133,490,082.11
TER	TERADYNE INC	1.81%	338,525	$121,344,286.25
ACHR	ARCHER AVIATION INC-A	1.67%	17,595,839	$112,437,411.21
XYZ	BLOCK INC	1.52%	1,415,283	$102,070,209.96
GOOG	ALPHABET INC-CL C	1.44%	251,418	$96,499,256.76
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.41%	237,939	$94,528,405.92
ILMN	ILLUMINA INC	1.34%	616,074	$89,761,981.80
NVDA	NVIDIA CORP	1.27%	386,927	$85,425,743.06
XE	X-ENERGY INC	1.24%	2,625,094	$83,320,483.56
NTRA	NATERA INC	1.21%	398,383	$81,353,792.43
DE	DEERE & CO	1.18%	134,250	$79,098,757.50
AVGO	BROADCOM INC	1.13%	181,436	$76,076,114.80
BIDU	BAIDU INC - SPON ADR	1.11%	531,811	$74,421,631.34
VCYT	VERACYTE INC	1.04%	1,765,282	$69,834,555.92
RXRX	RECURSION PHARMACEUTICALS-A	1.02%	21,797,449	$68,661,964.35
BWXT	BWX TECHNOLOGIES INC	0.93%	301,383	$62,335,045.89
KTOS	KRATOS DEFENSE & SECURITY	0.92%	1,084,021	$62,146,923.93
BABA	ALIBABA GROUP HOLDING-SP ADR	0.91%	452,856	$61,035,931.68
WGS	GENEDX HOLDINGS CORP	0.61%	1,031,413	$40,730,499.37
META	META PLATFORMS INC-CLASS A	0.57%	63,920	$38,543,760.00
SOFI	SOFI TECHNOLOGIES INC	0.52%	2,182,832	$34,707,028.80
CERS	CERUS CORP	0.37%	9,670,895	$24,660,782.25
PACB	PACIFIC BIOSCIENCES OF CALIF	0.28%	14,776,226	$18,913,569.28
SLMT	BRERA HOLDINGS PLC-CL B	0.04%	4,055,319	$2,468,878.21

--------------------------

ARKQ
as of 05/13/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.64%	550,493	$238,611,190.85
AMD	ADVANCED MICRO DEVICES	7.62%	381,116	$170,850,491.64
TER	TERADYNE INC	7.56%	473,322	$169,662,270.90
RKLB UQ	ROCKET LAB	5.75%	1,096,210	$128,870,447.60
KTOS	KRATOS DEFENSE & SECURITY	5.03%	1,968,720	$112,866,717.60
GOOG	ALPHABET INC-CL C	4.43%	258,626	$99,265,831.32
DE	DEERE & CO	3.90%	148,289	$87,370,395.91
PLTR	PALANTIR TECHNOLOGIES INC-A	3.54%	584,309	$79,466,024.00
AMZN	AMAZON.COM INC	3.15%	265,835	$70,664,259.70
ACHR	ARCHER AVIATION INC-A	3.02%	10,593,195	$67,690,516.05
TSM	TAIWAN SEMICONDUCTOR-SP ADR	2.88%	162,870	$64,704,993.60
LHX	L3HARRIS TECHNOLOGIES INC	2.86%	207,630	$64,255,256.10
LUNR	INTUITIVE MACHINES INC	2.53%	1,767,514	$56,719,524.26
AVAV	AEROVIRONMENT INC	2.42%	321,263	$54,248,470.18
NVDA	NVIDIA CORP	2.39%	242,413	$53,519,942.14
CAT	CATERPILLAR INC	2.26%	55,507	$50,630,154.98
BIDU	BAIDU INC - SPON ADR	1.97%	315,445	$44,143,373.30
TRMB	TRIMBLE INC	1.90%	755,200	$42,676,352.00
CCJ	CAMECO CORP	1.75%	336,409	$39,336,304.37
AUR	AURORA INNOVATION INC	1.73%	5,365,314	$38,737,567.08
KMTUY	KOMATSU LTD -SPONS ADR	1.73%	919,741	$38,767,083.15
BWXT	BWX TECHNOLOGIES INC	1.63%	176,347	$36,473,850.01
JOBY	JOBY AVIATION INC	1.61%	3,433,266	$36,014,960.34
IRDM	IRIDIUM COMMUNICATIONS INC	1.59%	858,221	$35,753,486.86
SYM UQ	SYMBOTIC INC	1.56%	680,034	$34,899,344.88
AVGO	BROADCOM INC	1.49%	79,547	$33,354,057.10
ESLT	ELBIT SYSTEMS LTD	1.45%	40,657	$32,615,451.97
