ARKK
as of 03/18/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.34%	1,693,502	$676,164,543.54
CRSP	CRISPR THERAPEUTICS AG	6.05%	7,900,011	$395,711,550.99
CRCL	CIRCLE INTERNET GROUP INC	5.64%	2,787,211	$368,775,887.41
TEM	TEMPUS AI INC-CL A	4.99%	6,415,788	$326,178,661.92
COIN	COINBASE GLOBAL INC -CLASS A	4.91%	1,527,512	$321,128,847.76
SHOP	SHOPIFY INC - CLASS A	4.78%	2,447,621	$312,805,963.80
HOOD	ROBINHOOD MARKETS INC - A	4.41%	3,727,655	$288,334,114.25
ROKU	ROKU INC	3.99%	2,710,938	$261,063,329.40
AMD	ADVANCED MICRO DEVICES	3.67%	1,223,367	$240,159,175.77
PLTR	PALANTIR TECHNOLOGIES INC-A	3.51%	1,478,266	$229,249,491.28
BEAM	BEAM THERAPEUTICS INC	3.42%	8,651,728	$223,474,134.24
RBLX	ROBLOX CORP -CLASS A	3.33%	3,771,293	$217,943,022.47
BLSH	BULLISH	2.89%	4,726,110	$188,760,833.40
TWST	TWIST BIOSCIENCE CORP	2.74%	3,795,247	$179,439,278.16
TER	TERADYNE INC	2.48%	540,591	$161,852,945.40
BMNR	BITMINE IMMERSION TECHNOLOGI	2.28%	6,421,984	$149,182,688.32
AMZN	AMAZON.COM INC	1.97%	599,385	$128,987,652.00
NTLA	INTELLIA THERAPEUTICS INC	1.94%	9,429,068	$127,103,836.64
CRWV	COREWEAVE INC-CL A	1.90%	1,512,173	$124,179,646.76
TXG	10X GENOMICS INC-CLASS A	1.86%	6,735,736	$121,849,464.24
ACHR	ARCHER AVIATION INC-A	1.85%	19,261,743	$121,156,363.47
NVDA	NVIDIA CORP	1.59%	570,393	$103,771,598.49
XYZ	BLOCK INC	1.43%	1,564,462	$93,539,182.98
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.40%	263,835	$91,281,633.30
DE	DEERE & CO	1.31%	149,458	$85,827,751.08
KTOS	KRATOS DEFENSE & SECURITY	1.31%	900,721	$85,847,718.51
ILMN	ILLUMINA INC	1.27%	689,769	$83,351,685.96
NTRA	NATERA INC	1.26%	414,701	$82,268,384.38
RXRX	RECURSION PHARMACEUTICALS-A	1.22%	23,371,169	$79,929,397.98
BWXT	BWX TECHNOLOGIES INC	1.16%	366,164	$75,971,706.72
META	META PLATFORMS INC-CLASS A	1.06%	111,706	$69,554,857.96
BIDU	BAIDU INC - SPON ADR	1.05%	570,233	$68,821,420.77
VCYT	VERACYTE INC	1.02%	1,988,357	$66,570,192.36
BABA	ALIBABA GROUP HOLDING-SP ADR	0.99%	472,055	$64,468,551.35
AVGO	BROADCOM INC	0.96%	194,850	$62,607,253.50
WGS	GENEDX HOLDINGS CORP	0.95%	819,376	$61,862,888.00
GOOG	ALPHABET INC-CL C	0.86%	180,690	$55,907,292.90
SOFI	SOFI TECHNOLOGIES INC	0.60%	2,275,615	$39,527,432.55
PACB	PACIFIC BIOSCIENCES OF CALIF	0.45%	21,093,940	$29,109,637.20
CERS	CERUS CORP	0.28%	10,082,031	$18,147,655.80
SLMT	BRERA HOLDINGS PLC-CL B	0.10%	7,057,550	$6,845,117.75

--------------------------

ARKQ
as of 03/18/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.01%	520,927	$207,990,523.29
