ARKK
as of 02/02/2026

Ticker	Name	Weight	Shares	Market Value
ARKW
as of 02/02/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	9.60%	409,240	$176,140,988.40
AMD	ADVANCED MICRO DEVICES	7.03%	545,248	$129,076,559.04
ROKU	ROKU INC	5.49%	1,058,444	$100,763,868.80
HOOD	ROBINHOOD MARKETS INC - A	4.46%	822,073	$81,779,822.04
SHOP	SHOPIFY INC - CLASS A	4.36%	610,084	$80,061,323.32
COIN	COINBASE GLOBAL INC -CLASS A	4.24%	399,838	$77,864,452.12
GOOG	ALPHABET INC-CL C	3.54%	192,011	$65,001,483.83
PLTR	PALANTIR TECHNOLOGIES INC-A	2.88%	360,489	$52,844,082.51
TSM	TAIWAN SEMICONDUCTOR-SP ADR	2.87%	159,100	$52,592,096.00
RBLX	ROBLOX CORP -CLASS A	2.86%	797,618	$52,451,359.68
CRCL	CIRCLE INTERNET GROUP INC	2.67%	767,267	$49,051,379.31
CRWV	COREWEAVE INC-CL A	2.65%	521,824	$48,628,778.56
META	META PLATFORMS INC-CLASS A	2.62%	67,217	$48,160,980.50
XYZ	BLOCK INC	2.50%	759,513	$45,897,370.59
BMNR	BITMINE IMMERSION TECHNOLOGI	2.30%	1,685,129	$42,296,737.90
AMZN	AMAZON.COM INC	2.10%	160,915	$38,506,959.50
CRWD	CROWDSTRIKE HOLDINGS INC - A	1.85%	76,721	$33,865,033.01
NET	CLOUDFLARE INC - CLASS A	1.61%	166,877	$29,595,635.95
BIDU	BAIDU INC - SPON ADR	1.57%	188,074	$28,809,175.32
NVDA	NVIDIA CORP	1.54%	148,192	$28,323,936.96
DKNG UW	DRAFTKINGS INC-CL A	1.34%	896,414	$24,660,349.14
ABNB	AIRBNB INC-CLASS A	1.32%	186,844	$24,172,008.28
BLSH	BULLISH	1.27%	773,986	$23,374,377.20
AVGO	BROADCOM INC	1.26%	69,721	$23,098,567.30
DDOG	DATADOG INC - CLASS A	1.23%	174,714	$22,594,014.48
DASH	DOORDASH INC - A	1.23%	110,325	$22,574,701.50
MELI	MERCADOLIBRE INC	1.18%	10,042	$21,568,107.18
RBRK	RUBRIK INC-A	1.18%	388,576	$21,740,827.20
PSTG	PURE STORAGE INC - CLASS A	1.17%	308,223	$21,433,827.42
NFLX	NETFLIX INC	1.09%	239,404	$19,987,839.96
GTLB	GITLAB INC-CL A	1.08%	567,367	$19,846,497.66
