ARKK
as of 03/27/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.62%	1,680,258	$625,240,804.38
CRSP	CRISPR THERAPEUTICS AG	6.33%	7,838,229	$372,707,788.95
TEM	TEMPUS AI INC-CL A	5.02%	6,491,464	$295,556,355.92
SHOP	SHOPIFY INC - CLASS A	4.76%	2,428,483	$280,319,792.69
CRCL	CIRCLE INTERNET GROUP INC	4.74%	2,843,201	$279,401,362.27
COIN	COINBASE GLOBAL INC -CLASS A	4.46%	1,515,570	$262,769,526.60
HOOD	ROBINHOOD MARKETS INC - A	4.42%	3,698,507	$260,189,967.45
AMD	ADVANCED MICRO DEVICES	4.10%	1,184,878	$241,442,590.06
ROKU	ROKU INC	3.83%	2,535,791	$225,761,472.73
PLTR	PALANTIR TECHNOLOGIES INC-A	3.67%	1,466,716	$216,428,612.96
RBLX	ROBLOX CORP -CLASS A	3.42%	3,741,809	$201,496,414.65
BEAM	BEAM THERAPEUTICS INC	3.39%	8,453,523	$199,672,213.26
TWST	TWIST BIOSCIENCE CORP	2.83%	3,570,627	$166,926,812.25
BLSH	BULLISH	2.58%	4,171,675	$152,015,837.00
TXG	10X GENOMICS INC-CLASS A	2.44%	7,040,431	$143,836,005.33
TER	TERADYNE INC	2.27%	450,396	$133,920,746.64
BMNR	BITMINE IMMERSION TECHNOLOGI	2.11%	6,371,766	$124,058,284.02
AMZN	AMAZON.COM INC	2.10%	594,709	$123,425,905.86
NTLA	INTELLIA THERAPEUTICS INC	2.10%	9,355,330	$123,864,569.20
CRWV	COREWEAVE INC-CL A	2.05%	1,500,357	$120,703,720.65
ACHR	ARCHER AVIATION INC-A	1.66%	18,200,471	$97,736,529.27
XYZ	BLOCK INC	1.48%	1,463,899	$86,911,683.63
DE	DEERE & CO	1.37%	138,852	$80,699,393.88
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.36%	246,081	$80,249,474.91
ILMN	ILLUMINA INC	1.35%	637,196	$79,267,182.40
NVDA	NVIDIA CORP	1.29%	445,005	$76,202,656.20
