ARKK
as of 12/23/2025

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	11.90%	1,875,216	$916,474,315.68
CRSP	CRISPR THERAPEUTICS AG	5.62%	7,467,352	$432,434,354.32
ROKU	ROKU INC	5.62%	3,940,527	$432,669,864.60
COIN	COINBASE GLOBAL INC -CLASS A	5.27%	1,637,882	$406,030,947.80
SHOP	SHOPIFY INC - CLASS A	5.16%	2,342,504	$397,452,653.68
TEM	TEMPUS AI INC	4.53%	5,291,607	$348,822,733.44
HOOD	ROBINHOOD MARKETS INC - A	4.51%	2,839,866	$347,514,402.42
PLTR	PALANTIR TECHNOLOGIES INC-A	3.93%	1,559,116	$302,437,321.68
RBLX	ROBLOX CORP -CLASS A	3.33%	3,127,598	$256,400,484.04
AMD	ADVANCED MICRO DEVICES	3.31%	1,186,521	$255,042,688.95
BEAM	BEAM THERAPEUTICS INC	3.25%	8,970,454	$250,455,075.68
CRCL	CIRCLE INTERNET GROUP INC	2.93%	2,590,972	$225,414,564.00
TER	TERADYNE INC	2.79%	1,089,740	$214,918,522.80
BMNR	BITMINE IMMERSION TECHNOLOGI	2.49%	6,169,590	$191,812,553.10
ACHR	ARCHER AVIATION INC-A	2.22%	20,316,223	$170,656,273.20
TWST	TWIST BIOSCIENCE CORP	2.06%	4,528,805	$158,779,903.30
BLSH	BULLISH	1.87%	3,167,168	$144,169,487.36
ILMN	ILLUMINA INC	1.81%	1,010,008	$138,977,100.80
TXG	10X GENOMICS INC-CLASS A	1.76%	8,011,933	$135,722,145.02
AMZN	AMAZON.COM INC	1.63%	550,407	$125,729,471.01
NVDA	NVIDIA CORP	1.44%	601,557	$110,500,005.33
VCYT	VERACYTE INC	1.44%	2,574,212	$110,922,795.08
XYZ	BLOCK INC	1.40%	1,649,966	$107,495,284.90
NTRA	NATERA INC	1.34%	436,713	$102,876,481.41
CRWV	COREWEAVE INC-CL A	1.27%	1,151,764	$97,704,140.12
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.23%	323,550	$94,890,744.00
RXRX	RECURSION PHARMACEUTICALS-A	1.22%	21,379,751	$94,070,904.40
DKNG UW	DRAFTKINGS INC-CL A	1.20%	2,654,782	$92,651,891.80
DE	DEERE & CO	1.18%	194,439	$91,147,170.03
META	META PLATFORMS INC-CLASS A	1.17%	135,969	$89,943,493.50
NTLA	INTELLIA THERAPEUTICS INC	1.15%	9,159,891	$88,850,942.70
PD	PAGERDUTY INC	1.04%	6,133,928	$79,986,421.12
ABNB	AIRBNB INC-CLASS A	1.03%	578,422	$79,214,892.90
KTOS	KRATOS DEFENSE & SECURITY	1.00%	942,978	$76,880,996.34
TTD	TRADE DESK INC/THE -CLASS A	1.00%	2,072,769	$77,293,556.01
BWXT	BWX TECHNOLOGIES INC	0.99%	425,751	$75,958,235.91
BIDU	BAIDU INC - SPON ADR	0.98%	604,023	$75,146,501.43
SOFI	SOFI TECHNOLOGIES INC	0.85%	2,400,173	$65,644,731.55
BABA	ALIBABA GROUP HOLDING-SP ADR	0.73%	374,183	$56,486,665.68
WGS	GENEDX HOLDINGS CORP	0.67%	366,551	$51,379,453.67
PACB	PACIFIC BIOSCIENCES OF CALIF	0.51%	21,579,588	$39,274,850.16
GOOG	ALPHABET INC-CL C	0.44%	109,680	$34,146,674.40
CERS	CERUS CORP	0.28%	10,092,154	$21,395,366.48
SLMT	BRERA HOLDINGS PLC-CL B	0.17%	6,222,479	$13,440,554.64

--------------------------

ARKQ
as of 12/23/2025

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	12.50%	458,320	$223,994,733.60
TER	TERADYNE INC	9.09%	825,740	$162,852,442.80
KTOS	KRATOS DEFENSE & SECURITY	7.50%	1,648,113	$134,370,652.89
RKLB UQ	ROCKET LAB	6.01%	1,387,624	$107,610,241.20
PLTR	PALANTIR TECHNOLOGIES INC-A	5.58%	515,689	$100,033,352.22
AMD	ADVANCED MICRO DEVICES	4.13%	343,916	$73,924,744.20
ACHR	ARCHER AVIATION INC-A	4.05%	8,643,301	$72,603,728.40
AVAV	AEROVIRONMENT INC	3.68%	258,408	$65,994,819.12
DE	DEERE & CO	3.45%	131,908	$61,834,513.16
TRMB	TRIMBLE INC	3.13%	684,489	$56,093,873.55
LHX	L3HARRIS TECHNOLOGIES INC	2.57%	156,103	$46,065,995.30
AMZN	AMAZON.COM INC	2.54%	199,379	$45,544,144.97
TSM	TAIWAN SEMICONDUCTOR-SP ADR	2.42%	147,618	$43,293,407.04
GOOG	ALPHABET INC-CL C	2.38%	137,136	$42,694,550.88
NVDA	NVIDIA CORP	2.25%	219,721	$40,360,550.49
BIDU	BAIDU INC - SPON ADR	1.78%	256,201	$31,873,966.41
IRDM	IRIDIUM COMMUNICATIONS INC	1.76%	1,746,723	$31,598,219.07
SYM UQ	SYMBOTIC INC	1.71%	515,208	$30,556,986.48
BWXT	BWX TECHNOLOGIES INC	1.67%	167,848	$29,945,761.68
CCJ	CAMECO CORP	1.60%	312,747	$28,682,027.37
LUNR	INTUITIVE MACHINES INC	1.60%	1,716,261	$28,644,396.09
JOBY	JOBY AVIATION INC	1.59%	1,923,649	$28,431,532.22
KMTUY	KOMATSU LTD -SPONS ADR	1.49%	833,623	$26,692,608.46
ISRG	INTUITIVE SURGICAL INC	1.46%	45,015	$26,101,047.45
