ARKK
as of 05/15/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	11.16%	3,090,538	$1,370,035,495.40
AMD	ADVANCED MICRO DEVICES	5.57%	1,520,877	$683,938,386.90
CRCL	CIRCLE INTERNET GROUP INC	5.23%	5,179,769	$641,669,783.72
CRSP	CRISPR THERAPEUTICS AG	4.74%	11,531,629	$581,770,683.05
COIN	COINBASE GLOBAL INC -CLASS A	4.72%	2,731,095	$579,019,450.95
HOOD	ROBINHOOD MARKETS INC - A	4.70%	7,152,261	$577,187,462.70
ROKU	ROKU INC	4.62%	4,501,527	$566,517,172.95
TEM	TEMPUS AI INC-CL A	4.61%	12,440,518	$565,794,758.64
SHOP	SHOPIFY INC - CLASS A	3.83%	4,827,129	$470,258,907.18
PLTR	PALANTIR TECHNOLOGIES INC-A	2.97%	2,728,513	$364,884,043.49
BEAM	BEAM THERAPEUTICS INC	2.94%	12,224,795	$360,998,196.35
CRWV	COREWEAVE INC-CL A	2.75%	2,952,994	$337,276,209.71
AMZN	AMAZON.COM INC	2.66%	1,223,364	$326,907,328.08
RBLX	ROBLOX CORP -CLASS A	2.55%	7,158,260	$312,959,127.20
TWST	TWIST BIOSCIENCE CORP	2.46%	5,698,526	$301,736,951.70
BLSH	BULLISH	2.40%	7,461,540	$294,432,368.40
TXG	10X GENOMICS INC-CLASS A	2.23%	12,689,131	$273,070,099.12
BMNR	BITMINE IMMERSION TECHNOLOGI	2.06%	11,483,241	$252,631,302.00
TER	TERADYNE INC	1.77%	608,297	$216,888,295.35
ACHR	ARCHER AVIATION INC-A	1.71%	32,803,871	$210,272,813.11
XYZ	BLOCK INC	1.54%	2,638,099	$188,703,221.47
GOOG	ALPHABET INC-CL C	1.52%	468,082	$185,908,127.94
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.41%	413,564	$172,753,954.08
NVDA	NVIDIA CORP	1.38%	720,827	$169,927,756.98
NTLA	INTELLIA THERAPEUTICS INC	1.35%	12,698,289	$166,220,603.01
ILMN	ILLUMINA INC	1.34%	1,147,346	$164,345,841.04
AVGO	BROADCOM INC	1.21%	337,256	$148,321,816.24
NTRA	NATERA INC	1.21%	752,831	$148,239,952.21
DE	DEERE & CO	1.17%	250,002	$143,661,149.28
