ARKK
as of 12/08/2025

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	12.19%	2,139,570	$973,504,350.00
COIN	COINBASE GLOBAL INC -CLASS A	5.46%	1,615,470	$435,740,723.10
CRSP	CRISPR THERAPEUTICS AG	5.44%	7,642,229	$434,689,985.52
TEM	TEMPUS AI INC	5.25%	5,465,331	$418,972,274.46
ROKU	ROKU INC	5.19%	4,140,012	$414,373,801.08
SHOP	SHOPIFY INC - CLASS A	4.97%	2,465,981	$397,220,219.48
HOOD	ROBINHOOD MARKETS INC - A	4.55%	2,751,983	$363,124,156.85
RBLX	ROBLOX CORP -CLASS A	3.79%	3,142,157	$302,526,875.96
PLTR	PALANTIR TECHNOLOGIES INC-A	3.67%	1,610,266	$292,681,948.16
AMD	ADVANCED MICRO DEVICES	3.34%	1,225,457	$267,112,862.29
BEAM	BEAM THERAPEUTICS INC	3.14%	9,245,992	$250,473,923.28
TER	TERADYNE INC	2.83%	1,125,514	$225,969,445.78
CRCL	CIRCLE INTERNET GROUP INC	2.76%	2,573,543	$220,346,751.66
BMNR	BITMINE IMMERSION TECHNOLOGI	2.44%	5,722,361	$194,846,392.05
ACHR	ARCHER AVIATION INC-A	2.26%	20,983,343	$180,456,749.80
TWST	TWIST BIOSCIENCE CORP	1.88%	4,655,636	$150,377,042.80
TXG	10X GENOMICS INC-CLASS A	1.84%	8,274,999	$147,046,732.23
BLSH	BULLISH	1.72%	2,957,587	$137,379,916.15
ILMN	ILLUMINA INC	1.68%	1,043,116	$134,520,239.36
AMZN	AMAZON.COM INC	1.63%	568,449	$130,476,098.97
VCYT	VERACYTE INC	1.49%	2,658,718	$118,605,409.98
NVDA	NVIDIA CORP	1.42%	621,273	$113,326,407.93
NTRA	NATERA INC	1.38%	451,035	$110,300,609.25
DKNG UW	DRAFTKINGS INC-CL A	1.26%	2,963,507	$100,759,238.00
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.23%	334,152	$98,481,277.44
CRWV	COREWEAVE INC-CL A	1.20%	1,081,018	$95,453,889.40
XYZ	BLOCK INC	1.19%	1,554,029	$94,966,712.19
DE	DEERE & CO	1.19%	200,763	$95,384,508.93
META	META PLATFORMS INC-CLASS A	1.18%	140,433	$94,570,390.86
NTLA	INTELLIA THERAPEUTICS INC	1.16%	9,620,321	$92,451,284.81
RXRX	RECURSION PHARMACEUTICALS-A	1.16%	19,666,431	$92,628,890.01
TTD	TRADE DESK INC/THE -CLASS A	1.07%	2,140,783	$85,738,359.15
BWXT	BWX TECHNOLOGIES INC	0.98%	439,701	$78,209,616.87
PD	PAGERDUTY INC	0.97%	6,335,304	$77,797,533.12
ABNB	AIRBNB INC-CLASS A	0.93%	597,394	$74,268,022.08
KTOS	KRATOS DEFENSE & SECURITY	0.93%	973,916	$74,504,574.00
BIDU	BAIDU INC - SPON ADR	0.90%	571,784	$71,850,377.44
SOFI	SOFI TECHNOLOGIES INC	0.86%	2,478,975	$68,865,925.50
BABA	ALIBABA GROUP HOLDING-SP ADR	0.77%	386,459	$61,184,188.88
WGS	GENEDX HOLDINGS CORP	0.75%	375,217	$59,644,494.32
PACB	PACIFIC BIOSCIENCES OF CALIF	0.65%	21,575,268	$51,564,890.52
GOOG	ALPHABET INC-CL C	0.46%	113,276	$36,461,278.88
CERS	CERUS CORP	0.27%	10,423,544	$21,576,736.08
SLMT	BRERA HOLDINGS PLC-CL B	0.14%	4,668,398	$10,807,341.37
IRDM	IRIDIUM COMMUNICATIONS INC	0.05%	205,039	$3,637,391.86

--------------------------

ARKQ
as of 12/08/2025

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	12.61%	457,066	$207,965,030.00
TER	TERADYNE INC	10.45%	858,294	$172,319,686.38
KTOS	KRATOS DEFENSE & SECURITY	7.34%	1,582,197	$121,038,070.50
PLTR	PALANTIR TECHNOLOGIES INC-A	5.60%	507,840	$92,304,998.40
AMD	ADVANCED MICRO DEVICES	4.36%	330,164	$71,965,847.08
ACHR	ARCHER AVIATION INC-A	4.33%	8,297,569	$71,359,093.40
RKLB UQ	ROCKET LAB	4.27%	1,437,466	$70,514,894.63
AVAV	AEROVIRONMENT INC	4.19%	248,076	$69,061,877.64
DE	DEERE & CO	3.40%	118,092	$56,106,690.12
TRMB	TRIMBLE INC	3.33%	657,117	$54,882,411.84
AMZN	AMAZON.COM INC	2.66%	191,411	$43,934,566.83
GOOG	ALPHABET INC-CL C	2.57%	131,652	$42,376,145.76
TSM	TAIWAN SEMICONDUCTOR-SP ADR	2.53%	141,714	$41,765,950.08
