ARKK
as of 02/25/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.77%	1,655,662	$677,794,909.56
CRSP	CRISPR THERAPEUTICS AG	6.64%	7,354,880	$417,536,537.60
TEM	TEMPUS AI INC-CL A	5.61%	6,096,142	$353,271,428.90
ROKU	ROKU INC	4.56%	3,274,619	$287,118,593.92
BEAM	BEAM THERAPEUTICS INC	4.40%	8,584,152	$277,182,268.08
SHOP	SHOPIFY INC - CLASS A	4.34%	2,333,674	$272,876,500.82
AMD	ADVANCED MICRO DEVICES	4.06%	1,196,047	$255,762,690.48
HOOD	ROBINHOOD MARKETS INC - A	3.91%	3,356,085	$246,303,078.15
COIN	COINBASE GLOBAL INC -CLASS A	3.80%	1,476,278	$239,201,324.34
RBLX	ROBLOX CORP -CLASS A	3.68%	3,452,059	$231,598,638.31
TER	TERADYNE INC	3.01%	576,260	$189,641,403.40
PLTR	PALANTIR TECHNOLOGIES INC-A	2.96%	1,445,266	$186,208,071.44
TWST	TWIST BIOSCIENCE CORP	2.86%	3,710,447	$180,105,097.38
CRCL	CIRCLE INTERNET GROUP INC	2.67%	2,735,945	$167,904,944.65
BLSH	BULLISH	2.26%	4,620,510	$142,126,887.60
TXG	10X GENOMICS INC-CLASS A	2.16%	7,106,896	$135,741,713.60
ACHR	ARCHER AVIATION INC-A	2.15%	18,831,343	$135,397,356.17
CRWV	COREWEAVE INC-CL A	2.02%	1,278,617	$126,966,668.10
BMNR	BITMINE IMMERSION TECHNOLOGI	1.94%	6,278,504	$122,054,117.76
NTLA	INTELLIA THERAPEUTICS INC	1.92%	8,885,844	$120,669,761.52
DE	DEERE & CO	1.81%	176,528	$113,779,357.12
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.80%	293,426	$113,189,079.50
NVDA	NVIDIA CORP	1.71%	557,673	$107,547,238.05
AMZN	AMAZON.COM INC	1.69%	510,249	$106,417,531.44
ILMN	ILLUMINA INC	1.32%	674,369	$82,879,950.10
NTRA	NATERA INC	1.30%	389,520	$81,616,125.60
RXRX	RECURSION PHARMACEUTICALS-A	1.28%	22,848,929	$80,656,719.37
XYZ	BLOCK INC	1.24%	1,529,502	$78,004,602.00
BWXT	BWX TECHNOLOGIES INC	1.24%	382,675	$78,153,715.25
BIDU	BAIDU INC - SPON ADR	1.19%	560,011	$74,834,269.93
VCYT	VERACYTE INC	1.18%	2,074,912	$74,053,609.28
KTOS	KRATOS DEFENSE & SECURITY	1.17%	810,496	$73,495,777.28
META	META PLATFORMS INC-CLASS A	1.11%	109,226	$69,828,181.80
AVGO	BROADCOM INC	0.99%	190,530	$62,015,609.70
WGS	GENEDX HOLDINGS CORP	0.89%	691,479	$55,802,355.30
GOOG	ALPHABET INC-CL C	0.87%	176,690	$54,936,454.80
BABA	ALIBABA GROUP HOLDING-SP ADR	0.84%	346,859	$53,107,581.49
SOFI	SOFI TECHNOLOGIES INC	0.66%	2,224,775	$41,514,301.50
PACB	PACIFIC BIOSCIENCES OF CALIF	0.54%	20,622,580	$34,233,482.80
CERS	CERUS CORP	0.35%	9,354,544	$22,263,814.72
PD	PAGERDUTY INC	0.15%	1,511,474	$9,658,318.86
SLMT	BRERA HOLDINGS PLC-CL B	0.12%	6,969,091	$7,387,236.46
DKNG UW	DRAFTKINGS INC-CL A	0.00%	1,210	$27,067.70

--------------------------

ARKQ
as of 02/25/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.02%	502,603	$205,755,616.14
TER	TERADYNE INC	9.48%	591,440	$194,636,989.60
KTOS	KRATOS DEFENSE & SECURITY	7.16%	1,620,641	$146,959,725.88
DE	DEERE & CO	4.68%	148,993	$96,031,948.22
RKLB UQ	ROCKET LAB	4.64%	1,360,803	$95,215,385.91
AMD	ADVANCED MICRO DEVICES	4.55%	437,173	$93,485,074.32
AVAV	AEROVIRONMENT INC	3.86%	301,959	$79,188,747.75
PLTR	PALANTIR TECHNOLOGIES INC-A	3.55%	565,511	$72,860,437.24
GOOG	ALPHABET INC-CL C	3.46%	228,712	$71,111,135.04
ACHR	ARCHER AVIATION INC-A	3.32%	9,478,820	$68,152,715.80
LHX	L3HARRIS TECHNOLOGIES INC	3.21%	186,105	$65,931,418.35
TSM	TAIWAN SEMICONDUCTOR-SP ADR	3.04%	161,886	$62,447,524.50
TRMB	TRIMBLE INC	2.44%	750,638	$50,097,580.12
NVDA	NVIDIA CORP	2.26%	240,949	$46,467,014.65
AMZN	AMAZON.COM INC	2.22%	218,635	$45,598,515.60
CAT	CATERPILLAR INC	2.22%	59,298	$45,554,502.54
KMTUY	KOMATSU LTD -SPONS ADR	2.17%	914,185	$44,502,525.80
CCJ	CAMECO CORP	2.02%	342,965	$41,526,202.20
IRDM	IRIDIUM COMMUNICATIONS INC	2.02%	1,736,231	$41,513,283.21
BIDU	BAIDU INC - SPON ADR	1.83%	280,967	$37,545,620.21
BWXT	BWX TECHNOLOGIES INC	1.83%	184,059	$37,590,369.57
LUNR	INTUITIVE MACHINES INC	1.73%	1,882,141	$35,572,464.90
SYM UQ	SYMBOTIC INC	1.69%	617,625	$34,772,287.50
ESLT	ELBIT SYSTEMS LTD	1.59%	43,008	$32,751,452.16
ISRG	INTUITIVE SURGICAL INC	1.48%	61,325	$30,295,776.50
AUR	AURORA INNOVATION INC	1.31%	5,549,647	$26,915,787.95
JOBY	JOBY AVIATION INC	1.27%	2,673,564	$25,987,042.08
AVGO	BROADCOM INC	1.25%	79,067	$25,735,517.83
WRD	WERIDE INC-ADR	1.24%	3,422,505	$25,429,212.15
PONY	PONY AI INC	1.16%	1,796,717	$23,860,401.76
TDY	TELEDYNE TECHNOLOGIES INC	1.16%	34,917	$23,855,992.74
BYDDY	BYD CO LTD-UNSPONSORED ADR	1.05%	1,695,571	$21,635,485.96
OKLO	OKLO INC	0.98%	310,088	$20,174,325.28
SRTA	STRATA CRITICAL MEDICAL INC	0.98%	4,811,803	$20,209,572.60
SNPS	SYNOPSYS INC	0.97%	45,021	$19,841,655.12
DASH	DOORDASH INC - A	0.95%	119,070	$19,572,726.60
KDK	KODIAK AI INC	0.90%	2,345,031	$18,525,744.90

--------------------------

ARKW
as of 02/25/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.25%	389,389	$159,408,068.82
AMD	ADVANCED MICRO DEVICES	7.68%	558,209	$119,367,412.56
ROKU	ROKU INC	5.33%	944,591	$82,821,738.88
SHOP	SHOPIFY INC - CLASS A	4.79%	637,057	$74,491,075.01
HOOD	ROBINHOOD MARKETS INC - A	4.59%	973,456	$71,441,935.84
RBLX	ROBLOX CORP -CLASS A	3.90%	904,145	$60,659,088.05
GOOG	ALPHABET INC-CL C	3.70%	185,171	$57,573,367.32
TSM	TAIWAN SEMICONDUCTOR-SP ADR	3.60%	145,204	$56,012,443.00
COIN	COINBASE GLOBAL INC -CLASS A	3.59%	344,556	$55,828,408.68
CRWV	COREWEAVE INC-CL A	3.59%	562,799	$55,885,940.70
CRCL	CIRCLE INTERNET GROUP INC	2.94%	744,348	$45,680,636.76
PLTR	PALANTIR TECHNOLOGIES INC-A	2.84%	343,004	$44,192,635.36
META	META PLATFORMS INC-CLASS A	2.63%	63,967	$40,894,103.10
XYZ	BLOCK INC	2.37%	722,671	$36,856,221.00
AVGO	BROADCOM INC	2.11%	100,984	$32,869,282.16
AMZN	AMAZON.COM INC	2.05%	153,115	$31,933,664.40
BMNR	BITMINE IMMERSION TECHNOLOGI	2.05%	1,642,675	$31,933,602.00
BLSH	BULLISH	2.05%	1,035,891	$31,864,007.16
NVDA	NVIDIA CORP	1.75%	141,016	$27,194,935.60
NET	CLOUDFLARE INC - CLASS A	1.67%	158,791	$26,011,553.71
CRWD	CROWDSTRIKE HOLDINGS INC - A	1.64%	73,003	$25,569,300.75
BIDU	BAIDU INC - SPON ADR	1.54%	178,961	$23,914,558.43
DDOG	DATADOG INC - CLASS A	1.34%	199,741	$20,858,952.63
PSTG	PURE STORAGE INC - CLASS A	1.28%	293,273	$19,860,447.56
RBRK	RUBRIK INC-A	1.21%	369,739	$18,871,478.56
NFLX	NETFLIX INC	1.14%	227,795	$17,777,121.80
DASH	DOORDASH INC - A	1.11%	104,982	$17,256,941.16
TOST	TOAST INC-CLASS A	1.06%	642,695	$16,433,711.15
SPOT	SPOTIFY TECHNOLOGY SA	1.03%	34,250	$15,948,855.00
GENI	GENIUS SPORTS LTD	1.00%	2,657,581	$15,520,273.04
MELI	MERCADOLIBRE INC	0.99%	8,033	$15,443,924.48
BABA	ALIBABA GROUP HOLDING-SP ADR	0.98%	99,962	$15,305,181.82
GTLB	GITLAB INC-CL A	0.94%	585,467	$14,595,692.31
DKNG UW	DRAFTKINGS INC-CL A	0.80%	558,681	$12,497,693.97
