ARKK
as of 01/12/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	11.00%	1,782,867	$793,393,643.67
ROKU	ROKU INC	5.50%	3,564,400	$396,254,348.00
CRSP	CRISPR THERAPEUTICS AG	5.35%	7,163,039	$385,658,019.76
COIN	COINBASE GLOBAL INC -CLASS A	5.20%	1,557,251	$374,954,895.78
SHOP	SHOPIFY INC - CLASS A	4.96%	2,173,106	$357,432,474.88
TEM	TEMPUS AI INC	4.88%	5,307,072	$351,699,661.44
HOOD	ROBINHOOD MARKETS INC - A	4.32%	2,699,994	$311,228,308.38
PLTR	PALANTIR TECHNOLOGIES INC-A	3.65%	1,482,391	$263,109,578.59
BEAM	BEAM THERAPEUTICS INC	3.32%	8,695,525	$239,561,713.75
AMD	ADVANCED MICRO DEVICES	3.18%	1,128,117	$229,199,530.89
RBLX	ROBLOX CORP -CLASS A	3.12%	3,070,063	$224,943,516.01
TER	TERADYNE INC	3.12%	1,036,079	$225,098,523.54
CRCL	CIRCLE INTERNET GROUP INC	2.83%	2,463,376	$204,213,870.40
BMNR	BITMINE IMMERSION TECHNOLOGI	2.45%	5,865,759	$176,324,715.54
ACHR	ARCHER AVIATION INC-A	2.36%	19,315,543	$170,169,933.83
TXG	10X GENOMICS INC-CLASS A	2.16%	7,617,334	$155,850,653.64
TWST	TWIST BIOSCIENCE CORP	2.15%	4,392,386	$155,139,073.52
ILMN	ILLUMINA INC	1.85%	946,213	$133,482,267.91
AMZN	AMAZON.COM INC	1.80%	523,344	$129,464,838.72
BLSH	BULLISH	1.60%	3,011,207	$115,630,348.80
XYZ	BLOCK INC	1.51%	1,568,777	$109,108,440.35
NVDA	NVIDIA CORP	1.47%	571,983	$105,736,777.38
VCYT	VERACYTE INC	1.43%	2,447,453	$102,890,924.12
KTOS	KRATOS DEFENSE & SECURITY	1.41%	896,571	$101,940,122.70
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.38%	307,647	$99,563,798.61
NTRA	NATERA INC	1.35%	415,230	$97,292,541.30
RXRX	RECURSION PHARMACEUTICALS-A	1.31%	20,326,619	$94,722,044.54
NTLA	INTELLIA THERAPEUTICS INC	1.27%	8,810,896	$91,457,100.48
DE	DEERE & CO	1.25%	184,886	$90,239,158.88
DKNG UW	DRAFTKINGS INC-CL A	1.23%	2,524,024	$88,769,924.08
CRWV	COREWEAVE INC-CL A	1.22%	1,095,034	$87,756,024.76
BIDU	BAIDU INC - SPON ADR	1.14%	574,356	$82,443,060.24
BWXT	BWX TECHNOLOGIES INC	1.13%	404,826	$81,556,245.96
META	META PLATFORMS INC-CLASS A	1.07%	118,258	$77,229,569.48
ABNB	AIRBNB INC-CLASS A	1.06%	549,964	$76,593,486.28
TTD	TRADE DESK INC/THE -CLASS A	1.02%	1,970,748	$73,489,192.92
PD	PAGERDUTY INC	1.00%	5,831,864	$71,965,201.76
SOFI	SOFI TECHNOLOGIES INC	0.87%	2,281,970	$62,525,978.00
BABA	ALIBABA GROUP HOLDING-SP ADR	0.74%	355,769	$53,706,888.24
WGS	GENEDX HOLDINGS CORP	0.65%	348,509	$47,181,148.42
PACB	PACIFIC BIOSCIENCES OF CALIF	0.57%	21,152,860	$41,036,548.40
GOOG	ALPHABET INC-CL C	0.48%	104,286	$34,324,694.04
CERS	CERUS CORP	0.27%	9,595,069	$19,765,842.14
SLMT	BRERA HOLDINGS PLC-CL B	0.18%	6,222,479	$12,880,531.53

--------------------------

ARKQ
as of 01/12/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.52%	482,752	$214,829,467.52
KTOS	KRATOS DEFENSE & SECURITY	9.67%	1,736,001	$197,383,313.70
TER	TERADYNE INC	9.26%	869,772	$188,966,664.72
RKLB UQ	ROCKET LAB	5.97%	1,435,683	$121,817,702.55
AVAV	AEROVIRONMENT INC	4.87%	272,184	$99,344,438.16
PLTR	PALANTIR TECHNOLOGIES INC-A	4.72%	543,177	$96,408,485.73
ACHR	ARCHER AVIATION INC-A	3.93%	9,104,277	$80,208,680.37
AMD	ADVANCED MICRO DEVICES	3.61%	362,252	$73,598,738.84
DE	DEERE & CO	3.32%	138,932	$67,809,930.56
TRMB	TRIMBLE INC	2.85%	720,985	$58,118,600.85
LHX	L3HARRIS TECHNOLOGIES INC	2.70%	164,423	$55,208,310.71
AMZN	AMAZON.COM INC	2.55%	210,003	$51,950,542.14
TSM	TAIWAN SEMICONDUCTOR-SP ADR	2.47%	155,490	$50,321,228.70
GOOG	ALPHABET INC-CL C	2.33%	144,448	$47,543,614.72
NVDA	NVIDIA CORP	2.10%	231,433	$42,782,704.38
BIDU	BAIDU INC - SPON ADR	1.90%	269,865	$38,736,422.10
SYM UQ	SYMBOTIC INC	1.88%	542,680	$38,432,597.60
BWXT	BWX TECHNOLOGIES INC	1.74%	176,792	$35,616,516.32
