ARKK
as of 03/19/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.40%	1,681,204	$660,343,307.12
CRSP	CRISPR THERAPEUTICS AG	5.89%	7,842,642	$374,015,596.98
CRCL	CIRCLE INTERNET GROUP INC	5.79%	2,766,970	$367,564,294.80
TEM	TEMPUS AI INC-CL A	4.89%	6,369,196	$310,116,153.24
COIN	COINBASE GLOBAL INC -CLASS A	4.83%	1,516,423	$306,757,208.67
SHOP	SHOPIFY INC - CLASS A	4.74%	2,429,850	$300,693,937.50
HOOD	ROBINHOOD MARKETS INC - A	4.37%	3,700,589	$277,174,116.10
ROKU	ROKU INC	4.06%	2,691,256	$257,445,548.96
AMD	ADVANCED MICRO DEVICES	3.82%	1,214,488	$242,241,776.48
PLTR	PALANTIR TECHNOLOGIES INC-A	3.53%	1,467,541	$224,196,238.57
RBLX	ROBLOX CORP -CLASS A	3.44%	3,743,915	$218,157,927.05
BEAM	BEAM THERAPEUTICS INC	3.43%	8,588,899	$217,470,922.68
BLSH	BULLISH	2.83%	4,691,790	$179,601,721.20
TWST	TWIST BIOSCIENCE CORP	2.64%	3,767,687	$167,511,364.02
TER	TERADYNE INC	2.54%	536,665	$161,037,066.55
BMNR	BITMINE IMMERSION TECHNOLOGI	2.15%	6,375,353	$136,496,307.73
AMZN	AMAZON.COM INC	1.97%	595,043	$124,881,674.41
CRWV	COREWEAVE INC-CL A	1.96%	1,501,201	$124,329,466.82
NTLA	INTELLIA THERAPEUTICS INC	1.95%	9,360,597	$123,653,486.37
TXG	10X GENOMICS INC-CLASS A	1.83%	6,686,830	$116,016,500.50
ACHR	ARCHER AVIATION INC-A	1.81%	19,121,863	$114,922,396.63
NVDA	NVIDIA CORP	1.61%	566,259	$102,153,123.60
XYZ	BLOCK INC	1.42%	1,553,100	$89,831,304.00
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.40%	261,924	$88,941,532.68
DE	DEERE & CO	1.33%	148,379	$84,727,376.58
ILMN	ILLUMINA INC	1.33%	684,764	$84,191,733.80
KTOS	KRATOS DEFENSE & SECURITY	1.31%	894,182	$83,194,693.28
NTRA	NATERA INC	1.28%	411,698	$81,429,747.42
RXRX	RECURSION PHARMACEUTICALS-A	1.21%	23,201,441	$77,028,784.12
