ARKK
as of 05/19/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.58%	1,546,538	$634,065,114.62
AMD	ADVANCED MICRO DEVICES	5.10%	725,766	$305,540,228.34
CRCL	CIRCLE INTERNET GROUP INC	4.82%	2,590,969	$288,608,036.91
CRSP	CRISPR THERAPEUTICS AG	4.67%	5,768,429	$280,114,912.24
HOOD	ROBINHOOD MARKETS INC - A	4.61%	3,577,861	$276,031,976.15
ROKU	ROKU INC	4.58%	2,210,819	$274,473,178.85
TEM	TEMPUS AI INC-CL A	4.53%	6,222,918	$271,443,683.16
COIN	COINBASE GLOBAL INC -CLASS A	4.32%	1,366,295	$258,830,924.80
SHOP	SHOPIFY INC - CLASS A	4.12%	2,414,329	$247,203,146.31
PLTR	PALANTIR TECHNOLOGIES INC-A	3.08%	1,365,313	$184,508,398.82
RBLX	ROBLOX CORP -CLASS A	2.81%	3,580,660	$168,219,406.80
BEAM	BEAM THERAPEUTICS INC	2.74%	6,114,395	$163,926,929.95
AMZN	AMAZON.COM INC	2.71%	612,164	$162,137,757.04
NTLA	INTELLIA THERAPEUTICS INC	2.69%	12,698,289	$161,141,287.41
CRWV	COREWEAVE INC-CL A	2.56%	1,477,794	$153,350,683.38
TWST	TWIST BIOSCIENCE CORP	2.36%	2,838,446	$141,326,226.34
TXG	10X GENOMICS INC-CLASS A	2.27%	6,346,731	$136,137,379.95
BLSH	BULLISH	2.24%	3,770,840	$134,091,070.40
BMNR	BITMINE IMMERSION TECHNOLOGI	1.80%	5,744,041	$107,585,887.93
ACHR	ARCHER AVIATION INC-A	1.62%	16,407,071	$97,129,860.32
XYZ	BLOCK INC	1.56%	1,319,699	$93,210,340.37
GOOG	ALPHABET INC-CL C	1.54%	234,482	$92,177,219.02
ILMN	ILLUMINA INC	1.36%	574,546	$81,304,004.46
NVDA	NVIDIA CORP	1.34%	360,827	$80,219,058.64
TER	TERADYNE INC	1.24%	232,395	$74,610,414.75
NTRA	NATERA INC	1.21%	376,831	$72,555,040.74
AVGO	BROADCOM INC	1.19%	169,256	$71,207,691.76
DE	DEERE & CO	1.18%	125,202	$70,675,276.98
BIDU	BAIDU INC - SPON ADR	1.14%	495,967	$68,299,615.57
VCYT	VERACYTE INC	1.14%	1,646,034	$68,310,411.00
XE	X-ENERGY INC	1.05%	2,447,846	$62,664,857.60
RXRX	RECURSION PHARMACEUTICALS-A	0.98%	20,324,829	$58,738,755.81
BWXT	BWX TECHNOLOGIES INC	0.95%	281,083	$56,686,008.61
BABA	ALIBABA GROUP HOLDING-SP ADR	0.94%	422,348	$56,282,094.48
TSM	TAIWAN SEMICONDUCTOR-SP ADR	0.94%	142,929	$56,592,737.55
KTOS	KRATOS DEFENSE & SECURITY	0.91%	1,010,825	$54,806,931.50
WGS	GENEDX HOLDINGS CORP	0.69%	961,813	$41,059,796.97
CBRS	CEREBRAS SYSTEMS INC - A	0.62%	125,021	$37,087,479.65
META	META PLATFORMS INC-CLASS A	0.61%	59,628	$36,445,229.88
SOFI	SOFI TECHNOLOGIES INC	0.53%	2,035,396	$31,976,071.16
CERS	CERUS CORP	0.37%	9,017,583	$21,912,726.69
PACB	PACIFIC BIOSCIENCES OF CALIF	0.26%	13,778,046	$15,844,752.90

--------------------------

ARKQ
as of 05/19/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.37%	555,482	$227,742,065.18
AMD	ADVANCED MICRO DEVICES	7.37%	384,569	$161,899,703.31
TER	TERADYNE INC	6.98%	477,609	$153,336,369.45
RKLB UQ	ROCKET LAB	6.60%	1,106,143	$145,081,715.88
KTOS	KRATOS DEFENSE & SECURITY	4.90%	1,986,561	$107,711,337.42
GOOG	ALPHABET INC-CL C	4.67%	260,969	$102,589,523.59
DE	DEERE & CO	3.84%	149,633	$84,466,332.17
PLTR	PALANTIR TECHNOLOGIES INC-A	3.63%	589,604	$79,679,084.56
AMZN	AMAZON.COM INC	3.23%	268,244	$71,047,105.84
LHX	L3HARRIS TECHNOLOGIES INC	2.97%	209,511	$65,191,442.76
TSM	TAIWAN SEMICONDUCTOR-SP ADR	2.96%	164,346	$65,072,798.70
ACHR	ARCHER AVIATION INC-A	2.88%	10,689,204	$63,280,087.68
LUNR	INTUITIVE MACHINES INC	2.73%	1,783,531	$59,908,806.29
NVDA	NVIDIA CORP	2.48%	244,609	$54,381,472.88
AVAV	AEROVIRONMENT INC	2.38%	324,173	$52,360,422.96
CAT	CATERPILLAR INC	2.20%	56,008	$48,388,111.60
BIDU	BAIDU INC - SPON ADR	2.00%	318,304	$43,833,643.84
TRMB	TRIMBLE INC	1.91%	762,043	$41,927,605.86
AUR	AURORA INNOVATION INC	1.83%	5,413,941	$40,171,442.22
KMTUY	KOMATSU LTD -SPONS ADR	1.72%	928,075	$37,707,687.25
IRDM	IRIDIUM COMMUNICATIONS INC	1.71%	865,997	$37,584,269.80
BWXT	BWX TECHNOLOGIES INC	1.63%	177,943	$35,885,764.81
JOBY	JOBY AVIATION INC	1.63%	3,464,382	$35,856,353.70
CCJ	CAMECO CORP	1.62%	339,457	$35,690,508.98
AVGO	BROADCOM INC	1.54%	80,267	$33,769,129.57
SYM UQ	SYMBOTIC INC	1.47%	686,196	$32,285,521.80
ESLT	ELBIT SYSTEMS LTD	1.42%	41,023	$31,203,324.49
ISRG	INTUITIVE SURGICAL INC	1.25%	62,255	$27,387,219.60
KDK	KODIAK AI INC	1.19%	3,111,326	$26,041,798.62
WRD	WERIDE INC-ADR	1.11%	3,474,515	$24,356,350.15
SNPS	SYNOPSYS INC	1.04%	45,701	$22,778,749.43
XE	X-ENERGY INC	1.02%	871,432	$22,308,659.20
TDY	TELEDYNE TECHNOLOGIES INC	1.00%	35,447	$21,892,421.67
DASH	DOORDASH INC - A	0.99%	133,577	$21,728,970.59
OKLO	OKLO INC	0.99%	372,257	$21,799,369.92
BYDDY	BYD CO LTD-UNSPONSORED ADR	0.94%	1,721,336	$20,673,245.36
SRTA	STRATA CRITICAL MEDICAL INC	0.92%	3,758,445	$20,182,849.65
PONY	PONY AI INC	0.68%	1,824,022	$15,011,701.06

--------------------------

ARKW
as of 05/19/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	8.87%	370,429	$151,872,185.71
AMD	ADVANCED MICRO DEVICES	8.41%	341,887	$143,931,008.13
HOOD	ROBINHOOD MARKETS INC - A	4.71%	1,044,954	$80,618,201.10
CRCL	CIRCLE INTERNET GROUP INC	4.67%	717,190	$79,887,794.10
