ARKK
as of 02/20/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.76%	1,632,012	$671,915,660.52
CRSP	CRISPR THERAPEUTICS AG	6.33%	7,234,232	$395,278,436.48
TEM	TEMPUS AI INC	5.77%	6,009,067	$360,303,657.32
ROKU	ROKU INC	4.63%	3,227,844	$289,247,100.84
SHOP	SHOPIFY INC - CLASS A	4.56%	2,300,349	$284,783,206.20
HOOD	ROBINHOOD MARKETS INC - A	4.01%	3,308,160	$250,262,304.00
COIN	COINBASE GLOBAL INC -CLASS A	3.87%	1,455,203	$241,476,385.82
AMD	ADVANCED MICRO DEVICES	3.84%	1,178,972	$239,767,535.64
BEAM	BEAM THERAPEUTICS INC	3.78%	8,461,527	$235,907,372.76
RBLX	ROBLOX CORP -CLASS A	3.51%	3,402,759	$219,273,789.96
PLTR	PALANTIR TECHNOLOGIES INC-A	3.08%	1,424,641	$192,169,824.49
TWST	TWIST BIOSCIENCE CORP	3.07%	3,657,447	$191,979,393.03
TER	TERADYNE INC	2.90%	573,718	$181,237,516.20
CRCL	CIRCLE INTERNET GROUP INC	2.67%	2,696,870	$166,990,190.40
BLSH	BULLISH	2.36%	4,554,510	$147,429,488.70
TXG	10X GENOMICS INC-CLASS A	2.15%	7,005,371	$134,433,069.49
ACHR	ARCHER AVIATION INC-A	2.15%	18,562,343	$134,205,739.89
BMNR	BITMINE IMMERSION TECHNOLOGI	1.98%	6,188,829	$123,529,026.84
CRWV	COREWEAVE INC-CL A	1.90%	1,224,377	$118,935,981.78
DE	DEERE & CO	1.88%	177,676	$117,621,512.00
NTLA	INTELLIA THERAPEUTICS INC	1.83%	8,758,919	$114,216,303.76
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.71%	295,677	$106,559,034.03
AMZN	AMAZON.COM INC	1.65%	502,974	$103,039,253.64
NVDA	NVIDIA CORP	1.65%	549,723	$103,292,951.70
KTOS	KRATOS DEFENSE & SECURITY	1.35%	798,921	$84,421,982.07
NTRA	NATERA INC	1.33%	383,970	$83,075,749.20
RXRX	RECURSION PHARMACEUTICALS-A	1.31%	21,973,576	$81,741,702.72
BWXT	BWX TECHNOLOGIES INC	1.30%	389,076	$81,344,119.32
XYZ	BLOCK INC	1.28%	1,507,652	$79,739,714.28
ILMN	ILLUMINA INC	1.28%	664,744	$79,769,280.00
BIDU	BAIDU INC - SPON ADR	1.21%	552,011	$75,686,228.21
