ARKK
as of 03/02/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.43%	1,697,286	$683,174,587.86
CRSP	CRISPR THERAPEUTICS AG	6.92%	7,539,768	$453,441,647.52
TEM	TEMPUS AI INC-CL A	5.23%	6,430,124	$342,404,103.00
ROKU	ROKU INC	4.97%	3,310,554	$325,791,619.14
SHOP	SHOPIFY INC - CLASS A	4.41%	2,392,326	$288,825,517.98
COIN	COINBASE GLOBAL INC -CLASS A	4.06%	1,513,370	$266,126,114.50
HOOD	ROBINHOOD MARKETS INC - A	3.98%	3,440,433	$260,956,843.05
BEAM	BEAM THERAPEUTICS INC	3.77%	8,671,060	$246,778,367.60
AMD	ADVANCED MICRO DEVICES	3.75%	1,226,099	$245,477,280.79
RBLX	ROBLOX CORP -CLASS A	3.71%	3,538,827	$242,975,861.82
CRCL	CIRCLE INTERNET GROUP INC	3.57%	2,804,717	$234,025,586.48
PLTR	PALANTIR TECHNOLOGIES INC-A	3.10%	1,481,566	$203,256,039.54
TER	TERADYNE INC	2.81%	574,430	$183,834,832.90
TWST	TWIST BIOSCIENCE CORP	2.72%	3,803,727	$178,470,870.84
TXG	10X GENOMICS INC-CLASS A	2.56%	7,285,580	$167,932,619.00
BLSH	BULLISH	2.27%	4,736,670	$148,684,071.30
ACHR	ARCHER AVIATION INC-A	2.10%	19,304,783	$137,450,054.96
NTLA	INTELLIA THERAPEUTICS INC	1.94%	9,236,511	$127,279,121.58
BMNR	BITMINE IMMERSION TECHNOLOGI	1.86%	6,436,332	$122,161,581.36
CRWV	COREWEAVE INC-CL A	1.79%	1,470,569	$116,998,469.64
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.72%	300,774	$112,663,924.92
AMZN	AMAZON.COM INC	1.68%	523,053	$109,841,130.00
DE	DEERE & CO	1.67%	173,680	$109,368,032.80
NVDA	NVIDIA CORP	1.55%	571,665	$101,293,321.35
XYZ	BLOCK INC	1.52%	1,567,958	$99,878,924.60
ILMN	ILLUMINA INC	1.42%	691,309	$92,953,408.14
NTRA	NATERA INC	1.32%	415,625	$86,466,625.00
RXRX	RECURSION PHARMACEUTICALS-A	1.31%	23,423,393	$85,963,852.31
BIDU	BAIDU INC - SPON ADR	1.19%	626,399	$77,949,091.56
KTOS	KRATOS DEFENSE & SECURITY	1.19%	902,733	$77,797,529.94
BWXT	BWX TECHNOLOGIES INC	1.15%	366,980	$75,590,540.40
VCYT	VERACYTE INC	1.15%	2,064,131	$75,526,553.29
META	META PLATFORMS INC-CLASS A	1.11%	111,954	$72,566,343.72
AVGO	BROADCOM INC	0.95%	195,282	$62,402,363.10
GOOG	ALPHABET INC-CL C	0.86%	181,090	$56,396,858.70
WGS	GENEDX HOLDINGS CORP	0.86%	708,859	$56,503,150.89
BABA	ALIBABA GROUP HOLDING-SP ADR	0.78%	355,571	$51,241,336.81
SOFI	SOFI TECHNOLOGIES INC	0.62%	2,280,699	$40,505,214.24
PACB	PACIFIC BIOSCIENCES OF CALIF	0.54%	21,141,076	$35,517,007.68
CERS	CERUS CORP	0.37%	9,589,724	$24,549,693.44
SLMT	BRERA HOLDINGS PLC-CL B	0.11%	6,989,788	$7,339,277.40
PD	PAGERDUTY INC	0.02%	169,078	$1,193,690.68

--------------------------

ARKQ
as of 03/02/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.04%	502,603	$202,302,733.53
TER	TERADYNE INC	9.09%	572,408	$183,187,732.24
KTOS	KRATOS DEFENSE & SECURITY	7.50%	1,753,233	$151,093,619.94
DE	DEERE & CO	4.61%	147,389	$92,812,327.19
RKLB UQ	ROCKET LAB	4.56%	1,330,368	$91,928,428.80
AMD	ADVANCED MICRO DEVICES	4.35%	437,173	$87,526,406.33
PLTR	PALANTIR TECHNOLOGIES INC-A	3.85%	565,511	$77,582,454.09
AVAV	AEROVIRONMENT INC	3.78%	301,959	$76,169,157.75
GOOG	ALPHABET INC-CL C	3.54%	228,712	$71,227,778.16
LHX	L3HARRIS TECHNOLOGIES INC	3.37%	186,105	$67,842,716.70
ACHR	ARCHER AVIATION INC-A	3.35%	9,478,820	$67,489,198.40
TSM	TAIWAN SEMICONDUCTOR-SP ADR	3.01%	161,886	$60,639,257.88
TRMB	TRIMBLE INC	2.49%	750,638	$50,195,163.06
AMZN	AMAZON.COM INC	2.28%	218,635	$45,913,350.00
CAT	CATERPILLAR INC	2.19%	59,298	$44,048,333.34
KMTUY	KOMATSU LTD -SPONS ADR	2.18%	914,185	$43,944,872.95
NVDA	NVIDIA CORP	2.12%	240,949	$42,693,753.31
CCJ	CAMECO CORP	2.02%	342,965	$40,607,056.00
BIDU	BAIDU INC - SPON ADR	1.94%	313,539	$39,016,793.16
BWXT	BWX TECHNOLOGIES INC	1.88%	184,059	$37,912,472.82
IRDM	IRIDIUM COMMUNICATIONS INC	1.85%	1,559,738	$37,355,725.10
SYM UQ	SYMBOTIC INC	1.84%	675,926	$37,027,226.28
ESLT	ELBIT SYSTEMS LTD	1.54%	40,413	$31,079,213.52
LUNR	INTUITIVE MACHINES INC	1.54%	1,882,141	$31,017,683.68
ISRG	INTUITIVE SURGICAL INC	1.53%	61,325	$30,877,750.75
JOBY	JOBY AVIATION INC	1.34%	2,673,564	$26,896,053.84
AUR	AURORA INNOVATION INC	1.33%	5,718,837	$26,764,157.16
PONY	PONY AI INC	1.28%	1,796,717	$25,764,921.78
AVGO	BROADCOM INC	1.25%	79,067	$25,265,859.85
WRD	WERIDE INC-ADR	1.19%	3,422,505	$23,923,309.95
TDY	TELEDYNE TECHNOLOGIES INC	1.18%	34,917	$23,781,968.70
DASH	DOORDASH INC - A	1.04%	119,070	$21,012,282.90
SRTA	STRATA CRITICAL MEDICAL INC	1.02%	4,811,803	$20,594,516.84
BYDDY	BYD CO LTD-UNSPONSORED ADR	1.01%	1,695,571	$20,363,807.71
KDK	KODIAK AI INC	0.98%	2,345,031	$19,698,260.40
OKLO	OKLO INC	0.97%	310,088	$19,520,039.60
SNPS	SYNOPSYS INC	0.93%	45,021	$18,638,694.00

--------------------------

ARKW
as of 03/02/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	9.80%	387,862	$156,118,333.62
AMD	ADVANCED MICRO DEVICES	6.99%	556,020	$111,320,764.20
ROKU	ROKU INC	5.81%	940,887	$92,592,689.67
SHOP	SHOPIFY INC - CLASS A	4.81%	634,559	$76,610,308.07
HOOD	ROBINHOOD MARKETS INC - A	4.62%	969,639	$73,547,118.15
CRCL	CIRCLE INTERNET GROUP INC	3.88%	741,429	$61,864,835.76
RBLX	ROBLOX CORP -CLASS A	3.88%	900,600	$61,835,196.00
COIN	COINBASE GLOBAL INC -CLASS A	3.79%	343,205	$60,352,599.25
GOOG	ALPHABET INC-CL C	3.61%	184,445	$57,441,706.35
TSM	TAIWAN SEMICONDUCTOR-SP ADR	3.40%	144,635	$54,177,378.30
CRWV	COREWEAVE INC-CL A	3.00%	599,740	$47,715,314.40
PLTR	PALANTIR TECHNOLOGIES INC-A	2.94%	341,659	$46,872,198.21
XYZ	BLOCK INC	2.88%	719,837	$45,853,616.90
META	META PLATFORMS INC-CLASS A	2.59%	63,717	$41,300,085.06
AMZN	AMAZON.COM INC	2.06%	156,369	$32,837,490.00
BLSH	BULLISH	2.03%	1,031,829	$32,389,112.31
AVGO	BROADCOM INC	2.02%	100,588	$32,142,895.40
BMNR	BITMINE IMMERSION TECHNOLOGI	1.95%	1,636,234	$31,055,721.32
NET	CLOUDFLARE INC - CLASS A	1.71%	158,169	$27,235,120.11
CRWD	CROWDSTRIKE HOLDINGS INC - A	1.70%	72,717	$27,049,269.66
NVDA	NVIDIA CORP	1.56%	140,463	$24,888,638.97
BIDU	BAIDU INC - SPON ADR	1.49%	191,158	$23,787,701.52
DDOG	DATADOG INC - CLASS A	1.40%	198,958	$22,275,337.68
NFLX	NETFLIX INC	1.37%	226,902	$21,837,048.48
PSTG	PURE STORAGE INC - CLASS A	1.28%	317,406	$20,383,813.32
RBRK	RUBRIK INC-A	1.20%	368,290	$19,136,348.40
DASH	DOORDASH INC - A	1.16%	104,571	$18,453,644.37
SPOT	SPOTIFY TECHNOLOGY SA	1.10%	34,116	$17,567,693.04
TOST	TOAST INC-CLASS A	1.10%	640,175	$17,483,179.25
GENI	GENIUS SPORTS LTD	1.03%	2,647,160	$16,438,863.60
MELI	MERCADOLIBRE INC	1.03%	9,372	$16,472,039.76
GTLB	GITLAB INC-CL A	0.96%	583,172	$15,337,423.60
BABA	ALIBABA GROUP HOLDING-SP ADR	0.90%	99,570	$14,349,032.70
DKNG UW	DRAFTKINGS INC-CL A	0.78%	521,271	$12,427,100.64
NXDR	NEXTDOOR HOLDINGS INC	0.71%	6,448,291	$11,284,509.25
ABNB	AIRBNB INC-CLASS A	0.61%	71,402	$9,647,124.22
ETHQ/U	3IQ ETHER STAKING ETF	0.40%	859,537	$6,429,336.76
SOLQ/U	3IQ SOLANA STAKING ETF	0.18%	443,112	$2,893,521.36
SLMT	BRERA HOLDINGS PLC-CL B	0.12%	1,848,217	$1,940,627.85
PD	PAGERDUTY INC	0.02%	37,748	$266,500.88
CRM	SALESFORCE INC	0.00%	297	$57,852.63

--------------------------

ARKG
as of 03/02/2026

Ticker	Name	Weight	Shares	Market Value
CRSP	CRISPR THERAPEUTICS AG	9.96%	1,981,331	$119,157,246.34
TEM	TEMPUS AI INC-CL A	8.26%	1,855,783	$98,820,444.75
TWST	TWIST BIOSCIENCE CORP	7.88%	2,009,389	$94,280,531.88
TXG	10X GENOMICS INC-CLASS A	6.07%	3,146,950	$72,537,197.50
PSNL	PERSONALIS INC	5.93%	7,831,068	$70,949,476.08
BEAM	BEAM THERAPEUTICS INC	5.12%	2,150,937	$61,215,667.02
ILMN	ILLUMINA INC	4.28%	380,429	$51,152,483.34
NTRA	NATERA INC	4.11%	236,074	$49,112,834.96
GH	GUARDANT HEALTH INC	3.94%	502,343	$47,170,007.70
RXRX	RECURSION PHARMACEUTICALS-A	3.73%	12,154,716	$44,607,807.72
CDNA	CAREDX INC	3.40%	2,165,641	$40,627,425.16
NTLA	INTELLIA THERAPEUTICS INC	3.35%	2,905,209	$40,033,780.02
VCYT	VERACYTE INC	3.21%	1,050,209	$38,427,147.31
ADPT	ADAPTIVE BIOTECHNOLOGIES	2.76%	2,056,819	$32,950,240.38
ABSI	ABSCI CORP	2.64%	11,502,842	$31,517,787.08
IONS	IONIS PHARMACEUTICALS INC	2.34%	345,451	$28,033,348.65
SDGR	SCHRODINGER INC	2.04%	2,027,393	$24,450,359.58
NRIX	NURIX THERAPEUTICS INC	2.03%	1,523,638	$24,332,498.86
PRME	PRIME MEDICINE INC	1.84%	4,771,008	$22,042,056.96
WGS	GENEDX HOLDINGS CORP	1.73%	259,872	$20,714,397.12
ARCT UQ	ARCTURUS THERAPEUTICS HOLDIN	1.72%	2,501,402	$20,586,538.46
BFLY	BUTTERFLY NETWORK INC	1.67%	5,274,154	$19,989,043.66
CMPS	COMPASS PATHWAYS PLC	1.61%	2,794,973	$19,285,313.70
PACB	PACIFIC BIOSCIENCES OF CALIF	1.50%	10,661,313	$17,911,005.84
CERS	CERUS CORP	1.37%	6,403,459	$16,392,855.04
AMGN	AMGEN INC	1.30%	40,053	$15,546,972.48
INCY	INCYTE CORP	1.10%	130,160	$13,181,303.20
MASS	908 DEVICES INC	1.09%	1,891,166	$13,049,045.40
ATAI UQ	ATAIBECKLEY INC	1.09%	3,604,506	$13,084,356.78
VRTX	VERTEX PHARMACEUTICALS INC	0.82%	19,821	$9,847,667.43
CAI	CARIS LIFE SCIENCES INC	0.66%	389,838	$7,851,337.32
QSI	QUANTUM-SI INC	0.54%	6,710,541	$6,417,961.41
LAB	STANDARD BIOTOOLS INC	0.28%	2,931,831	$3,312,969.03
VEEV	VEEVA SYSTEMS INC-CLASS A	0.00%	262	$47,686.62

--------------------------

ARKF
as of 01/02/2026

Ticker	Name	Weight	Shares	Market Value
SHOP	SHOPIFY INC - CLASS A	9.65%	662,061	$106,571,959.17
COIN	COINBASE GLOBAL INC -CLASS A	5.67%	276,957	$62,631,055.98
HOOD	ROBINHOOD MARKETS INC - A	5.05%	492,638	$55,717,357.80
PLTR	PALANTIR TECHNOLOGIES INC-A	4.53%	281,162	$49,976,545.50
TOST	TOAST INC-CLASS A	4.34%	1,351,034	$47,975,217.34
XYZ	BLOCK INC	3.85%	652,416	$42,465,757.44
SOFI	SOFI TECHNOLOGIES INC	3.53%	1,488,338	$38,964,688.84
ROKU	ROKU INC	3.44%	350,640	$38,040,933.60
CRCL	CIRCLE INTERNET GROUP INC	3.36%	467,606	$37,081,155.80
RBLX	ROBLOX CORP -CLASS A	2.86%	389,598	$31,569,125.94
MELI	MERCADOLIBRE INC	2.85%	15,628	$31,478,855.28
ADYEN	ADYEN NV	2.58%	17,603	$28,444,654.02
META	META PLATFORMS INC-CLASS A	2.46%	41,109	$27,135,639.81
AMD	ADVANCED MICRO DEVICES	2.36%	121,685	$26,060,059.60
DKNG UW	DRAFTKINGS INC-CL A	2.36%	756,511	$26,069,369.06
AMZN	AMAZON.COM INC	2.31%	110,561	$25,519,690.02
BMNR	BITMINE IMMERSION TECHNOLOGI	2.31%	938,829	$25,489,207.35
PINS	PINTEREST INC- CLASS A	2.06%	876,967	$22,704,675.63
NU UN	NU HOLDINGS LTD/CAYMAN ISL-A	2.01%	1,327,232	$22,217,863.68
KLAR	KLARNA GROUP PLC	1.93%	736,657	$21,296,753.87
BLSH	BULLISH	1.75%	508,905	$19,272,232.35
SE	SEA LTD-ADR	1.71%	148,096	$18,892,606.72
