ARKK
as of 05/29/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.55%	1,711,759	$756,768,653.90
AMD	ADVANCED MICRO DEVICES	5.60%	775,061	$401,551,353.49
CRSP	CRISPR THERAPEUTICS AG	5.02%	6,384,542	$359,960,477.96
TEM	TEMPUS AI INC-CL A	4.92%	6,887,424	$353,255,976.96
HOOD	ROBINHOOD MARKETS INC - A	4.68%	3,959,875	$335,955,795.00
CRCL	CIRCLE INTERNET GROUP INC	4.33%	2,867,647	$310,394,111.28
SHOP	SHOPIFY INC - CLASS A	4.28%	2,672,197	$307,382,820.91
ROKU	ROKU INC	4.26%	2,329,337	$305,352,787.33
COIN	COINBASE GLOBAL INC -CLASS A	3.84%	1,512,158	$275,590,795.50
TWST	TWIST BIOSCIENCE CORP	3.13%	3,255,254	$224,710,183.62
BEAM	BEAM THERAPEUTICS INC	3.09%	6,767,444	$221,972,163.20
PLTR	PALANTIR TECHNOLOGIES INC-A	3.02%	1,511,005	$216,587,456.70
TXG	10X GENOMICS INC-CLASS A	2.74%	7,024,575	$196,617,854.25
AMZN	AMAZON.COM INC	2.68%	702,218	$192,407,732.00
RBLX	ROBLOX CORP -CLASS A	2.59%	3,963,016	$185,588,039.28
CRWV	COREWEAVE INC-CL A	2.44%	1,635,627	$174,783,101.22
NTLA	INTELLIA THERAPEUTICS INC	2.27%	11,925,813	$163,145,121.84
BLSH	BULLISH	2.20%	4,414,398	$158,123,736.36
ACHR	ARCHER AVIATION INC-A	1.72%	18,159,479	$123,666,051.99
BMNR	BITMINE IMMERSION TECHNOLOGI	1.71%	6,357,418	$122,380,296.50
XYZ	BLOCK INC	1.51%	1,460,603	$108,595,833.05
ILMN	ILLUMINA INC	1.41%	635,764	$100,895,746.80
GOOG	ALPHABET INC-CL C	1.40%	259,448	$100,178,061.76
NTRA	NATERA INC	1.24%	417,016	$89,216,403.04
VCYT	VERACYTE INC	1.22%	1,821,822	$87,429,237.78
NVDA	NVIDIA CORP	1.19%	399,302	$85,550,453.50
TER	TERADYNE INC	1.18%	220,897	$84,526,237.05
AVGO	BROADCOM INC	1.11%	187,211	$79,860,468.38
