ARKK
as of 05/06/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	9.81%	1,621,808	$631,483,380.96
TEM	TEMPUS AI INC-CL A	5.15%	6,136,929	$331,823,751.03
CRSP	CRISPR THERAPEUTICS AG	4.92%	6,049,385	$316,866,786.30
AMD	ADVANCED MICRO DEVICES	4.83%	875,488	$311,025,866.88
CRCL	CIRCLE INTERNET GROUP INC	4.77%	2,688,001	$306,942,834.19
ROKU	ROKU INC	4.56%	2,361,595	$293,806,033.95
HOOD	ROBINHOOD MARKETS INC - A	4.49%	3,752,113	$289,025,264.39
COIN	COINBASE GLOBAL INC -CLASS A	4.40%	1,432,829	$283,341,934.75
SHOP	SHOPIFY INC - CLASS A	4.23%	2,531,953	$272,514,101.39
PLTR	PALANTIR TECHNOLOGIES INC-A	3.02%	1,431,769	$194,591,724.79
CRWV	COREWEAVE INC-CL A	2.90%	1,460,916	$186,836,547.24
BEAM	BEAM THERAPEUTICS INC	2.88%	6,412,277	$185,314,805.30
TWST	TWIST BIOSCIENCE CORP	2.82%	3,196,241	$181,226,864.70
BLSH	BULLISH	2.76%	3,913,758	$177,449,787.72
AMZN	AMAZON.COM INC	2.73%	641,960	$175,608,158.00
RBLX	ROBLOX CORP -CLASS A	2.57%	3,755,068	$165,373,194.72
TXG	10X GENOMICS INC-CLASS A	2.28%	6,655,923	$146,496,865.23
BMNR	BITMINE IMMERSION TECHNOLOGI	2.16%	6,023,827	$139,150,403.70
NTLA	INTELLIA THERAPEUTICS INC	2.08%	10,064,643	$133,960,398.33
TER	TERADYNE INC	1.89%	340,229	$121,495,775.90
ACHR	ARCHER AVIATION INC-A	1.56%	17,206,415	$100,485,463.60
XYZ	BLOCK INC	1.53%	1,383,971	$98,607,933.75
GOOG	ALPHABET INC-CL C	1.47%	245,870	$94,480,464.90
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.43%	232,695	$91,777,234.95
ILMN	ILLUMINA INC	1.30%	602,470	$83,785,502.90
AVGO	BROADCOM INC	1.18%	177,446	$75,833,322.56
DE	DEERE & CO	1.17%	131,286	$75,593,165.94
NTRA	NATERA INC	1.16%	362,309	$74,914,631.93
NVDA	NVIDIA CORP	1.15%	378,377	$74,351,080.50
XE	X-ENERGY INC	1.13%	2,567,030	$73,057,673.80
RXRX	RECURSION PHARMACEUTICALS-A	1.12%	21,315,039	$71,831,681.43
BIDU	BAIDU INC - SPON ADR	1.02%	520,069	$65,653,510.56
KTOS	KRATOS DEFENSE & SECURITY	0.98%	1,060,043	$62,871,150.33
BWXT	BWX TECHNOLOGIES INC	0.94%	294,733	$60,759,207.95
BABA	ALIBABA GROUP HOLDING-SP ADR	0.91%	442,862	$58,572,928.12
VCYT	VERACYTE INC	0.88%	1,726,218	$56,913,407.46
META	META PLATFORMS INC-CLASS A	0.59%	62,514	$37,818,469.44
WGS	GENEDX HOLDINGS CORP	0.54%	1,008,613	$34,807,234.63
SOFI	SOFI TECHNOLOGIES INC	0.53%	2,134,534	$34,195,234.68
CERS	CERUS CORP	0.38%	9,456,879	$24,493,316.61
PACB	PACIFIC BIOSCIENCES OF CALIF	0.35%	14,449,236	$22,829,792.88
SLMT	BRERA HOLDINGS PLC-CL B	0.05%	4,126,248	$2,998,131.80

--------------------------

ARKQ
as of 05/06/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.16%	543,841	$211,755,370.17
TER	TERADYNE INC	8.16%	476,373	$170,112,798.30
AMD	ADVANCED MICRO DEVICES	6.42%	376,512	$133,759,653.12
KTOS	KRATOS DEFENSE & SECURITY	4.83%	1,697,922	$100,703,753.82
GOOG	ALPHABET INC-CL C	4.71%	255,502	$98,181,753.54
RKLB UQ	ROCKET LAB	4.62%	1,222,069	$96,250,154.44
DE	DEERE & CO	4.05%	146,497	$84,351,507.63
PLTR	PALANTIR TECHNOLOGIES INC-A	3.76%	577,249	$78,453,911.59
AMZN	AMAZON.COM INC	3.45%	262,623	$71,840,521.65
TSM	TAIWAN SEMICONDUCTOR-SP ADR	3.04%	160,902	$63,461,357.82
LHX	L3HARRIS TECHNOLOGIES INC	2.98%	205,122	$62,080,173.30
