ARKK
as of 06/15/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.43%	3,287,305	$1,336,059,371.15
AMD	ADVANCED MICRO DEVICES	5.06%	1,267,368	$648,347,447.76
HOOD	ROBINHOOD MARKETS INC - A	4.95%	6,809,422	$634,570,036.18
TEM	TEMPUS AI INC-CL A	4.94%	13,225,490	$632,442,931.80
CRSP	CRISPR THERAPEUTICS AG	4.77%	12,261,035	$610,599,543.00
ROKU	ROKU INC	4.72%	4,204,010	$603,948,076.60
SHOP	SHOPIFY INC - CLASS A	4.34%	5,131,745	$555,460,078.80
COIN	COINBASE GLOBAL INC -CLASS A	3.70%	2,961,741	$473,226,976.98
CRCL	CIRCLE INTERNET GROUP INC	3.48%	5,725,092	$445,641,161.28
TWST	TWIST BIOSCIENCE CORP	3.19%	5,368,626	$408,928,242.42
BEAM	BEAM THERAPEUTICS INC	3.00%	13,234,830	$384,207,114.90
PLTR	PALANTIR TECHNOLOGIES INC-A	2.90%	2,900,617	$371,249,969.83
TXG	10X GENOMICS INC-CLASS A	2.82%	12,543,475	$361,753,819.00
RBLX	ROBLOX CORP -CLASS A	2.57%	7,609,932	$329,586,154.92
AMZN	AMAZON.COM INC	2.51%	1,348,094	$321,587,823.70
CRWV	COREWEAVE INC-CL A	2.47%	3,141,040	$315,831,572.00
GOOG	ALPHABET INC-CL C	1.91%	684,534	$245,172,697.44
BLSH	BULLISH	1.80%	8,477,219	$230,665,128.99
NVDA	NVIDIA CORP	1.73%	1,078,786	$221,356,099.34
BMNR	BITMINE IMMERSION TECHNOLOGI	1.54%	12,207,815	$196,667,899.65
XYZ	BLOCK INC	1.52%	2,804,547	$194,972,107.44
ILMN	ILLUMINA INC	1.44%	1,147,672	$184,740,761.84
NTRA	NATERA INC	1.26%	759,927	$161,157,718.89
BABA	ALIBABA GROUP HOLDING-SP ADR	1.25%	1,422,573	$160,494,685.86
DE	DEERE & CO	1.20%	265,758	$153,469,929.84
ACHR	ARCHER AVIATION INC-A	1.17%	29,450,475	$149,608,413.00
AVGO	BROADCOM INC	1.15%	385,584	$147,320,078.88
CBRS	CEREBRAS SYSTEMS INC - A	1.10%	658,115	$140,836,610.00
NTLA	INTELLIA THERAPEUTICS INC	1.10%	11,593,770	$140,400,554.70
VCYT	VERACYTE INC	1.04%	2,814,815	$133,225,193.95
KTOS	KRATOS DEFENSE & SECURITY	1.01%	2,247,917	$129,817,206.75
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.00%	303,307	$128,580,936.51
TER	TERADYNE INC	1.00%	317,076	$127,845,043.20
RXRX	RECURSION PHARMACEUTICALS-A	0.99%	40,429,162	$127,351,860.30
META	META PLATFORMS INC-CLASS A	0.94%	212,424	$120,328,636.92
WGS	GENEDX HOLDINGS CORP	0.89%	1,907,007	$114,267,859.44
BWXT	BWX TECHNOLOGIES INC	0.84%	555,908	$107,540,402.60
XE	X-ENERGY INC	0.70%	4,850,320	$90,167,448.80
SOFI	SOFI TECHNOLOGIES INC	0.56%	4,325,738	$71,720,736.04
GOOGL	ALPHABET INC-CL A	0.52%	185,332	$66,660,213.76
FIG	FIGMA INC-CL A	0.50%	3,485,652	$64,623,988.08
CERS	CERUS CORP	0.36%	18,036,570	$46,173,619.20
PACB	PACIFIC BIOSCIENCES OF CALIF	0.29%	28,245,676	$37,001,835.56

--------------------------

ARKQ
as of 06/15/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.23%	876,441	$356,211,915.63
AMD	ADVANCED MICRO DEVICES	7.96%	541,542	$277,036,640.94
TER	TERADYNE INC	6.33%	547,097	$220,589,510.40
KTOS	KRATOS DEFENSE & SECURITY	5.44%	3,281,761	$189,521,697.75
RKLB UQ	ROCKET LAB	5.02%	1,706,390	$174,717,272.10
GOOG	ALPHABET INC-CL C	4.50%	437,517	$156,701,088.72
DE	DEERE & CO	3.92%	236,097	$136,341,295.56
PLTR	PALANTIR TECHNOLOGIES INC-A	3.42%	930,249	$119,062,569.51
TSM	TAIWAN SEMICONDUCTOR-SP ADR	3.16%	259,302	$109,925,896.86
LHX	L3HARRIS TECHNOLOGIES INC	2.92%	330,522	$101,731,366.38
AMZN	AMAZON.COM INC	2.90%	423,223	$100,959,846.65
NVDA	NVIDIA CORP	2.76%	469,177	$96,270,428.63
AVAV	AEROVIRONMENT INC	2.50%	511,383	$87,231,712.14
CAT	CATERPILLAR INC	2.31%	88,239	$80,347,786.23
LUNR	INTUITIVE MACHINES INC	2.15%	2,813,958	$74,907,561.96
ACHR	ARCHER AVIATION INC-A	2.10%	14,427,333	$73,290,851.64
TRMB	TRIMBLE INC	1.74%	1,202,276	$60,618,755.92
KMTUY	KOMATSU LTD -SPONS ADR	1.73%	1,464,229	$60,414,088.54
ESLT	ELBIT SYSTEMS LTD	1.58%	64,569	$55,145,800.14
BWXT	BWX TECHNOLOGIES INC	1.56%	280,619	$54,285,745.55
CCJ	CAMECO CORP	1.55%	535,545	$54,068,623.20
AUR	AURORA INNOVATION INC	1.50%	8,542,278	$52,364,164.14
AVGO	BROADCOM INC	1.47%	134,016	$51,203,493.12
BIDU	BAIDU INC - SPON ADR	1.44%	432,699	$50,093,563.23
JOBY	JOBY AVIATION INC	1.44%	5,466,178	$50,015,528.70
SYM UQ	SYMBOTIC INC	1.29%	1,082,618	$45,069,387.34
ISRG	INTUITIVE SURGICAL INC	1.16%	98,153	$40,346,772.18
IRDM	IRIDIUM COMMUNICATIONS INC	1.12%	830,222	$39,161,571.74
DASH	DOORDASH INC - A	1.01%	234,613	$35,328,025.54
TDY	TELEDYNE TECHNOLOGIES INC	1.01%	55,905	$34,997,648.10
OKLO	OKLO INC	0.97%	587,259	$33,761,519.91
WRD	WERIDE INC-ADR	0.97%	5,482,101	$33,824,563.17
KDK	KODIAK AI INC	0.96%	5,436,201	$33,378,274.14
SNPS	SYNOPSYS INC	0.94%	71,949	$32,656,931.61
BYDDY	BYD CO LTD-UNSPONSORED ADR	0.86%	2,715,865	$29,955,990.95
XE	X-ENERGY INC	0.82%	1,530,440	$28,450,879.60
SRTA	STRATA CRITICAL MEDICAL INC	0.80%	5,146,732	$27,946,754.76
PONY	PONY AI INC	0.76%	3,252,179	$26,505,258.85
GOOGL	ALPHABET INC-CL A	0.26%	25,624	$9,216,440.32

--------------------------

ARKW
as of 06/15/2026

Ticker	Name	Weight	Shares	Market Value
AMD	ADVANCED MICRO DEVICES	8.40%	291,201	$148,969,695.57
TSLA	TESLA INC	7.97%	347,618	$141,282,383.74
HOOD	ROBINHOOD MARKETS INC - A	5.44%	1,036,210	$96,564,409.90
ROKU	ROKU INC	4.83%	596,326	$85,668,193.16
SHOP	SHOPIFY INC - CLASS A	4.28%	701,837	$75,966,836.88
GOOG	ALPHABET INC-CL C	3.83%	189,713	$67,947,608.08
AMZN	AMAZON.COM INC	3.65%	271,710	$64,816,420.50
CRWV	COREWEAVE INC-CL A	3.48%	614,285	$61,766,356.75
CRCL	CIRCLE INTERNET GROUP INC	3.29%	750,190	$58,394,789.60
COIN	COINBASE GLOBAL INC -CLASS A	3.07%	341,046	$54,492,329.88
XYZ	BLOCK INC	2.70%	688,946	$47,895,525.92
CRWD	CROWDSTRIKE HOLDINGS INC - A	2.52%	65,490	$44,716,572.00
PLTR	PALANTIR TECHNOLOGIES INC-A	2.51%	348,251	$44,572,645.49
DDOG	DATADOG INC - CLASS A	2.47%	190,755	$43,854,574.50
RBLX	ROBLOX CORP -CLASS A	2.45%	1,004,252	$43,494,154.12
TSM	TAIWAN SEMICONDUCTOR-SP ADR	2.22%	92,702	$39,299,158.86
AVGO	BROADCOM INC	2.15%	99,827	$38,140,901.89
NET	CLOUDFLARE INC - CLASS A	1.99%	154,345	$35,264,745.60
META	META PLATFORMS INC-CLASS A	1.94%	60,682	$34,373,622.31
NVDA	NVIDIA CORP	1.57%	136,081	$27,922,460.39
BLSH	BULLISH	1.50%	980,162	$26,670,208.02
BMNR	BITMINE IMMERSION TECHNOLOGI	1.46%	1,610,470	$25,944,671.70
P	EVERPURE INC-A	1.43%	350,159	$25,319,997.29
RBRK	RUBRIK INC-A	1.36%	352,556	$24,040,793.64
GENI	GENIUS SPORTS LTD	1.28%	3,317,919	$22,727,745.15
CBRS	CEREBRAS SYSTEMS INC - A	1.17%	96,933	$20,743,662.00
DKNG UW	DRAFTKINGS INC-CL A	1.14%	699,846	$20,295,534.00
FIG	FIGMA INC-CL A	1.12%	1,067,928	$19,799,385.12
NFLX	NETFLIX INC	1.10%	243,358	$19,551,381.72
SPOT	SPOTIFY TECHNOLOGY SA	1.09%	40,149	$19,351,818.00
TOST	TOAST INC-CLASS A	1.06%	760,285	$18,870,273.70
GTLB	GITLAB INC-CL A	1.05%	669,005	$18,591,648.95
BABA	ALIBABA GROUP HOLDING-SP ADR	0.88%	138,007	$15,569,949.74
DASH	DOORDASH INC - A	0.85%	99,861	$15,037,069.38
MELI	MERCADOLIBRE INC	0.83%	9,228	$14,668,828.80
ABNB	AIRBNB INC-CLASS A	0.51%	67,907	$8,982,737.96
ETHQ/U	3IQ ETHER STAKING ETF	0.31%	849,553	$5,513,598.97
GOOGL	ALPHABET INC-CL A	0.26%	13,029	$4,686,270.72
SOLQ/U	3IQ SOLANA STAKING ETF	0.14%	453,902	$2,455,609.82
BIDU	BAIDU INC - SPON ADR	0.02%	3,731	$431,937.87

--------------------------

ARKG
as of 06/15/2026

Ticker	Name	Weight	Shares	Market Value
TWST	TWIST BIOSCIENCE CORP	10.08%	1,577,340	$120,145,987.80
TEM	TEMPUS AI INC-CL A	7.63%	1,900,932	$90,902,568.24
CRSP	CRISPR THERAPEUTICS AG	7.54%	1,804,529	$89,865,544.20
TXG	10X GENOMICS INC-CLASS A	6.63%	2,738,276	$78,971,879.84
ABSI	ABSCI CORP	5.86%	10,277,389	$69,886,245.20
PSNL	PERSONALIS INC	5.57%	6,921,820	$66,380,253.80
GH	GUARDANT HEALTH INC	4.73%	428,313	$56,374,557.06
BEAM	BEAM THERAPEUTICS INC	4.62%	1,897,573	$55,086,544.19
ILMN	ILLUMINA INC	4.58%	339,160	$54,594,585.20
NTRA	NATERA INC	4.04%	226,886	$48,115,714.02
VCYT	VERACYTE INC	3.29%	828,412	$39,208,739.96
CDNA	CAREDX INC	3.12%	1,621,137	$37,237,516.89
CMPS	COMPASS PATHWAYS PLC	2.90%	2,863,059	$34,585,752.72
NTLA	INTELLIA THERAPEUTICS INC	2.88%	2,832,928	$34,306,758.08
RXRX	RECURSION PHARMACEUTICALS-A	2.86%	10,834,578	$34,128,920.70
ADPT	ADAPTIVE BIOTECHNOLOGIES	2.60%	1,759,259	$30,962,958.40
SDGR	SCHRODINGER INC	2.19%	1,807,196	$26,113,982.20
NRIX	NURIX THERAPEUTICS INC	2.12%	1,488,242	$25,225,701.90
WGS	GENEDX HOLDINGS CORP	1.99%	395,536	$23,700,517.12
BFLY	BUTTERFLY NETWORK INC	1.96%	4,221,086	$23,384,816.44
IONS	IONIS PHARMACEUTICALS INC	1.53%	248,906	$18,238,587.15
ARCT UQ	ARCTURUS THERAPEUTICS HOLDIN	1.42%	2,425,295	$16,904,306.15
CERS	CERUS CORP	1.37%	6,390,776	$16,360,386.56
ATAI UQ	ATAIBECKLEY INC	1.24%	3,783,817	$14,832,562.64
MASS	908 DEVICES INC	1.17%	1,685,759	$13,941,226.93
LLY	ELI LILLY & CO	1.03%	10,876	$12,322,508.00
PACB	PACIFIC BIOSCIENCES OF CALIF	1.03%	9,405,267	$12,320,899.77
PRME	PRIME MEDICINE INC	0.99%	4,252,836	$11,801,619.90
ALMR	ALAMAR BIOSCIENCES INC	0.95%	515,112	$11,332,464.00
BNTX	BIONTECH SE-ADR	0.83%	109,640	$9,926,805.60
QSI	QUANTUM-SI INC	0.48%	5,981,742	$5,662,915.15
GENB	GENERATE BIOMEDICINES INC	0.45%	434,827	$5,383,158.26

--------------------------

ARKF
as of 01/02/2026

Ticker	Name	Weight	Shares	Market Value
SHOP	SHOPIFY INC - CLASS A	9.65%	662,061	$106,571,959.17
COIN	COINBASE GLOBAL INC -CLASS A	5.67%	276,957	$62,631,055.98
HOOD	ROBINHOOD MARKETS INC - A	5.05%	492,638	$55,717,357.80
PLTR	PALANTIR TECHNOLOGIES INC-A	4.53%	281,162	$49,976,545.50
TOST	TOAST INC-CLASS A	4.34%	1,351,034	$47,975,217.34
XYZ	BLOCK INC	3.85%	652,416	$42,465,757.44
SOFI	SOFI TECHNOLOGIES INC	3.53%	1,488,338	$38,964,688.84
ROKU	ROKU INC	3.44%	350,640	$38,040,933.60
CRCL	CIRCLE INTERNET GROUP INC	3.36%	467,606	$37,081,155.80
RBLX	ROBLOX CORP -CLASS A	2.86%	389,598	$31,569,125.94
