ARKK
as of 12/18/2025

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	12.16%	1,923,264	$898,664,336.64
ROKU	ROKU INC	5.77%	3,959,310	$426,378,093.90
CRSP	CRISPR THERAPEUTICS AG	5.51%	7,434,522	$406,965,734.28
COIN	COINBASE GLOBAL INC -CLASS A	5.40%	1,633,454	$398,873,132.26
SHOP	SHOPIFY INC - CLASS A	5.15%	2,353,664	$380,658,078.72
TEM	TEMPUS AI INC	4.65%	5,316,825	$343,546,647.38
HOOD	ROBINHOOD MARKETS INC - A	4.47%	2,853,402	$330,423,951.60
PLTR	PALANTIR TECHNOLOGIES INC-A	3.76%	1,566,541	$277,732,053.89
RBLX	ROBLOX CORP -CLASS A	3.65%	3,142,502	$269,972,346.82
AMD	ADVANCED MICRO DEVICES	3.20%	1,192,173	$236,181,393.03
BEAM	BEAM THERAPEUTICS INC	3.12%	8,994,719	$230,264,806.40
CRCL	CIRCLE INTERNET GROUP INC	2.79%	2,603,320	$206,182,944.00
TER	TERADYNE INC	2.75%	1,094,933	$202,792,540.93
BMNR	BITMINE IMMERSION TECHNOLOGI	2.46%	6,198,993	$181,754,474.76
ACHR	ARCHER AVIATION INC-A	2.09%	20,413,063	$154,731,017.54
TWST	TWIST BIOSCIENCE CORP	1.97%	4,529,125	$145,520,786.25
BLSH	BULLISH	1.82%	3,182,261	$134,132,301.15
ILMN	ILLUMINA INC	1.78%	1,014,814	$131,479,301.84
TXG	10X GENOMICS INC-CLASS A	1.72%	8,050,120	$126,789,390.00
AMZN	AMAZON.COM INC	1.66%	553,026	$122,368,063.02
VCYT	VERACYTE INC	1.48%	2,586,479	$109,175,278.59
XYZ	BLOCK INC	1.43%	1,657,823	$105,719,372.71
NVDA	NVIDIA CORP	1.40%	604,419	$103,319,383.86
NTRA	NATERA INC	1.34%	438,792	$98,943,208.08
RXRX	RECURSION PHARMACEUTICALS-A	1.32%	20,842,911	$97,544,823.48
DE	DEERE & CO	1.27%	195,357	$93,966,717.00
DKNG UW	DRAFTKINGS INC-CL A	1.23%	2,667,436	$90,826,195.80
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.22%	325,089	$90,036,649.44
META	META PLATFORMS INC-CLASS A	1.20%	136,617	$88,732,741.50
NTLA	INTELLIA THERAPEUTICS INC	1.09%	9,146,988	$80,402,024.52
PD	PAGERDUTY INC	1.07%	6,163,160	$78,950,079.60
