ARKK
as of 03/16/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.54%	1,664,176	$651,025,651.20
CRSP	CRISPR THERAPEUTICS AG	6.13%	7,763,208	$378,456,390.00
CRCL	CIRCLE INTERNET GROUP INC	5.12%	2,738,944	$316,019,358.72
TEM	TEMPUS AI INC-CL A	5.10%	6,304,684	$315,108,106.32
SHOP	SHOPIFY INC - CLASS A	4.79%	2,405,244	$295,748,802.24
COIN	COINBASE GLOBAL INC -CLASS A	4.75%	1,501,069	$293,504,021.57
HOOD	ROBINHOOD MARKETS INC - A	4.35%	3,663,113	$268,835,863.07
ROKU	ROKU INC	3.95%	2,664,004	$244,155,966.60
AMD	ADVANCED MICRO DEVICES	3.76%	1,202,194	$232,492,297.66
PLTR	PALANTIR TECHNOLOGIES INC-A	3.55%	1,452,691	$219,283,706.45
BEAM	BEAM THERAPEUTICS INC	3.46%	8,501,905	$213,907,929.80
RBLX	ROBLOX CORP -CLASS A	3.38%	3,706,007	$209,092,914.94
BLSH	BULLISH	2.75%	4,644,270	$170,073,167.40
TWST	TWIST BIOSCIENCE CORP	2.61%	3,729,527	$161,413,928.56
TER	TERADYNE INC	2.46%	531,229	$152,154,610.18
BMNR	BITMINE IMMERSION TECHNOLOGI	2.10%	6,310,787	$129,623,564.98
TXG	10X GENOMICS INC-CLASS A	2.01%	6,619,114	$124,373,152.06
AMZN	AMAZON.COM INC	1.98%	589,031	$122,324,067.77
CRWV	COREWEAVE INC-CL A	1.95%	1,486,009	$120,530,189.99
NTLA	INTELLIA THERAPEUTICS INC	1.91%	9,265,791	$118,231,493.16
ACHR	ARCHER AVIATION INC-A	1.85%	18,928,183	$114,136,943.49
NVDA	NVIDIA CORP	1.64%	560,535	$101,036,433.75
XYZ	BLOCK INC	1.49%	1,537,368	$91,919,232.72
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.42%	259,278	$87,716,340.18
DE	DEERE & CO	1.37%	146,885	$84,826,087.50
ILMN	ILLUMINA INC	1.31%	677,834	$80,621,575.96
RXRX	RECURSION PHARMACEUTICALS-A	1.27%	22,966,433	$78,545,200.86
KTOS	KRATOS DEFENSE & SECURITY	1.25%	885,128	$77,475,253.84
NTRA	NATERA INC	1.24%	407,540	$76,556,389.00
BIDU	BAIDU INC - SPON ADR	1.13%	560,375	$69,525,726.25
BWXT	BWX TECHNOLOGIES INC	1.13%	359,840	$69,855,739.20
META	META PLATFORMS INC-CLASS A	1.09%	109,784	$67,317,902.04
BABA	ALIBABA GROUP HOLDING-SP ADR	1.02%	463,902	$62,724,189.42
VCYT	VERACYTE INC	1.02%	1,953,947	$62,780,317.11
WGS	GENEDX HOLDINGS CORP	1.01%	805,209	$62,629,156.02
AVGO	BROADCOM INC	1.00%	191,502	$61,694,284.32
GOOG	ALPHABET INC-CL C	0.87%	177,590	$53,536,281.40
SOFI	SOFI TECHNOLOGIES INC	0.64%	2,236,214	$39,715,160.64
PACB	PACIFIC BIOSCIENCES OF CALIF	0.45%	20,728,636	$27,569,085.88
CERS	CERUS CORP	0.27%	9,907,439	$16,743,571.91
SLMT	BRERA HOLDINGS PLC-CL B	0.11%	6,994,478	$6,569,213.74

--------------------------

ARKQ
as of 03/16/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.19%	498,022	$194,826,206.40
TER	TERADYNE INC	8.40%	560,566	$160,557,313.72
KTOS	KRATOS DEFENSE & SECURITY	7.75%	1,692,730	$148,164,656.90
RKLB UQ	ROCKET LAB	4.72%	1,318,239	$90,180,729.99
PLTR	PALANTIR TECHNOLOGIES INC-A	4.43%	560,357	$84,585,889.15
DE	DEERE & CO	4.41%	146,048	$84,342,720.00
AMD	ADVANCED MICRO DEVICES	4.38%	433,189	$83,774,420.71
GOOG	ALPHABET INC-CL C	3.58%	226,627	$68,318,975.42
LHX	L3HARRIS TECHNOLOGIES INC	3.46%	184,410	$66,195,813.60
AVAV	AEROVIRONMENT INC	3.43%	316,413	$65,519,639.91
ACHR	ARCHER AVIATION INC-A	3.29%	10,433,180	$62,912,075.40
TSM	TAIWAN SEMICONDUCTOR-SP ADR	2.84%	160,410	$54,268,307.10
TRMB	TRIMBLE INC	2.59%	743,795	$49,436,334.68
AMZN	AMAZON.COM INC	2.56%	235,738	$48,955,710.46
NVDA	NVIDIA CORP	2.25%	238,753	$43,035,228.25
CAT	CATERPILLAR INC	2.13%	58,758	$40,777,464.42
KMTUY	KOMATSU LTD -SPONS ADR	2.09%	905,851	$39,902,736.55
BIDU	BAIDU INC - SPON ADR	2.02%	310,680	$38,546,067.60
CCJ	CAMECO CORP	1.92%	339,839	$36,675,424.88
BWXT	BWX TECHNOLOGIES INC	1.85%	182,382	$35,405,817.66
ESLT	ELBIT SYSTEMS LTD	1.83%	40,047	$34,885,141.94
SYM UQ	SYMBOTIC INC	1.73%	669,764	$33,106,434.52
LUNR	INTUITIVE MACHINES INC	1.72%	1,864,981	$32,823,665.60
JOBY	JOBY AVIATION INC	1.72%	3,381,406	$32,799,638.20
ISRG	INTUITIVE SURGICAL INC	1.50%	60,767	$28,691,746.72
AVGO	BROADCOM INC	1.32%	78,347	$25,240,269.52
AUR	AURORA INNOVATION INC	1.21%	5,666,691	$23,120,099.28
WRD	WERIDE INC-ADR	1.18%	3,391,299	$22,552,138.35
TDY	TELEDYNE TECHNOLOGIES INC	1.16%	34,599	$22,105,647.09
SRTA	STRATA CRITICAL MEDICAL INC	1.14%	4,767,928	$21,741,751.68
IRDM	IRIDIUM COMMUNICATIONS INC	1.09%	845,261	$20,886,399.31
BYDDY	BYD CO LTD-UNSPONSORED ADR	1.08%	1,680,112	$20,631,775.36
PONY	PONY AI INC	1.07%	1,780,334	$20,367,020.96
KDK	KODIAK AI INC	1.03%	2,323,650	$19,658,079.00
DASH	DOORDASH INC - A	1.00%	117,987	$19,038,382.32
SNPS	SYNOPSYS INC	0.96%	44,613	$18,408,662.19
OKLO	OKLO INC	0.94%	307,262	$17,934,882.94

--------------------------

ARKW
as of 03/16/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	9.69%	394,804	$154,447,324.80
AMD	ADVANCED MICRO DEVICES	6.70%	551,642	$106,682,046.38
CRCL	CIRCLE INTERNET GROUP INC	5.33%	735,591	$84,872,489.58
SHOP	SHOPIFY INC - CLASS A	4.97%	644,417	$79,237,514.32
HOOD	ROBINHOOD MARKETS INC - A	4.67%	1,013,800	$74,402,782.00
COIN	COINBASE GLOBAL INC -CLASS A	4.22%	343,774	$67,218,130.22
ROKU	ROKU INC	4.17%	724,495	$66,399,966.75
GOOG	ALPHABET INC-CL C	3.46%	182,993	$55,165,069.78
RBLX	ROBLOX CORP -CLASS A	3.37%	952,553	$53,743,040.26
PLTR	PALANTIR TECHNOLOGIES INC-A	3.21%	338,969	$51,167,370.55
CRWV	COREWEAVE INC-CL A	3.20%	627,675	$50,910,719.25
XYZ	BLOCK INC	2.68%	714,169	$42,700,164.51
TSM	TAIWAN SEMICONDUCTOR-SP ADR	2.67%	125,785	$42,554,323.35
META	META PLATFORMS INC-CLASS A	2.43%	63,217	$38,763,716.15
BLSH	BULLISH	2.35%	1,023,705	$37,488,077.10
AMZN	AMAZON.COM INC	2.27%	174,158	$36,167,391.86
BMNR	BITMINE IMMERSION TECHNOLOGI	2.09%	1,623,352	$33,343,650.08
NET	CLOUDFLARE INC - CLASS A	2.09%	156,925	$33,338,716.25
AVGO	BROADCOM INC	2.02%	99,796	$32,150,279.36
CRWD	CROWDSTRIKE HOLDINGS INC - A	2.00%	72,145	$31,872,218.10
NVDA	NVIDIA CORP	1.58%	139,357	$25,119,099.25
DDOG	DATADOG INC - CLASS A	1.54%	197,392	$24,579,251.84
PSTG	EVERPURE INC-A	1.36%	352,959	$21,706,978.50
NFLX	NETFLIX INC	1.35%	225,116	$21,455,805.96
RBRK	RUBRIK INC-A	1.23%	365,392	$19,522,894.56
BABA	ALIBABA GROUP HOLDING-SP ADR	1.18%	139,111	$18,809,198.31
DKNG UW	DRAFTKINGS INC-CL A	1.15%	705,444	$18,249,836.28
GENI	GENIUS SPORTS LTD	1.12%	3,344,461	$17,825,977.13
BIDU	BAIDU INC - SPON ADR	1.11%	143,119	$17,756,774.33
SPOT	SPOTIFY TECHNOLOGY SA	1.10%	33,848	$17,467,598.88
TOST	TOAST INC-CLASS A	1.10%	635,135	$17,529,726.00
DASH	DOORDASH INC - A	1.05%	103,749	$16,740,938.64
GTLB	GITLAB INC-CL A	0.99%	697,221	$15,819,944.49
MELI	MERCADOLIBRE INC	0.97%	9,300	$15,531,000.00
ABNB	AIRBNB INC-CLASS A	0.56%	70,840	$8,947,092.00
ETHQ/U	3IQ ETHER STAKING ETF	0.44%	852,769	$6,958,595.04
SOLQ/U	3IQ SOLANA STAKING ETF	0.20%	455,626	$3,253,169.64
SLMT	BRERA HOLDINGS PLC-CL B	0.10%	1,769,377	$1,661,798.88
NXDR	NEXTDOOR HOLDINGS INC	0.00%	100	$157.00

--------------------------

ARKG
as of 03/16/2026

