ARKK
as of 01/20/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.13%	1,705,800	$746,287,500.00
CRSP	CRISPR THERAPEUTICS AG	5.23%	7,194,959	$385,002,256.09
COIN	COINBASE GLOBAL INC -CLASS A	5.12%	1,564,187	$377,203,695.05
TEM	TEMPUS AI INC	5.09%	5,330,720	$374,909,537.60
ROKU	ROKU INC	5.04%	3,580,280	$371,131,824.80
SHOP	SHOPIFY INC - CLASS A	4.62%	2,182,786	$340,099,886.66
HOOD	ROBINHOOD MARKETS INC - A	4.00%	2,712,026	$294,905,707.24
BEAM	BEAM THERAPEUTICS INC	3.70%	8,734,277	$272,684,127.94
RBLX	ROBLOX CORP -CLASS A	3.65%	3,083,743	$269,149,089.04
AMD	ADVANCED MICRO DEVICES	3.57%	1,133,141	$262,696,078.03
PLTR	PALANTIR TECHNOLOGIES INC-A	3.46%	1,488,991	$254,557,901.36
TER	TERADYNE INC	3.14%	1,013,968	$231,331,729.36
CRCL	CIRCLE INTERNET GROUP INC	2.64%	2,474,352	$194,508,810.72
BMNR	BITMINE IMMERSION TECHNOLOGI	2.49%	5,891,895	$183,591,448.20
TWST	TWIST BIOSCIENCE CORP	2.48%	4,411,962	$182,699,346.42
ACHR	ARCHER AVIATION INC-A	2.33%	19,401,623	$171,898,379.78
TXG	10X GENOMICS INC-CLASS A	2.14%	7,693,619	$157,873,061.88
AMZN	AMAZON.COM INC	1.71%	525,672	$125,698,688.64
ILMN	ILLUMINA INC	1.65%	859,168	$121,701,147.20
BLSH	BULLISH	1.60%	3,024,623	$117,990,543.23
KTOS	KRATOS DEFENSE & SECURITY	1.60%	900,563	$117,721,595.36
NTLA	INTELLIA THERAPEUTICS INC	1.53%	9,015,672	$112,695,900.00
CRWV	COREWEAVE INC-CL A	1.51%	1,099,914	$111,344,294.22
NVDA	NVIDIA CORP	1.45%	574,527	$106,994,163.21
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.44%	309,015	$105,806,736.00
XYZ	BLOCK INC	1.41%	1,575,761	$103,921,437.95
VCYT	VERACYTE INC	1.39%	2,458,357	$102,193,900.49
DE	DEERE & CO	1.30%	185,710	$95,529,224.00
RXRX	RECURSION PHARMACEUTICALS-A	1.29%	20,417,211	$95,348,375.37
NTRA	NATERA INC	1.26%	401,286	$92,797,387.50
BWXT	BWX TECHNOLOGIES INC	1.20%	406,626	$88,599,739.14
BIDU	BAIDU INC - SPON ADR	1.17%	576,908	$86,265,053.24
DKNG UW	DRAFTKINGS INC-CL A	1.12%	2,535,272	$82,700,572.64
META	META PLATFORMS INC-CLASS A	1.00%	118,778	$73,672,054.50
ABNB	AIRBNB INC-CLASS A	0.98%	552,412	$72,178,151.92
TTD	TRADE DESK INC/THE -CLASS A	0.95%	1,979,524	$70,233,511.52
PD	PAGERDUTY INC	0.89%	5,857,848	$65,725,054.56
SOFI	SOFI TECHNOLOGIES INC	0.81%	2,292,138	$59,893,565.94
BABA	ALIBABA GROUP HOLDING-SP ADR	0.80%	357,353	$59,106,186.20
WGS	GENEDX HOLDINGS CORP	0.68%	462,712	$50,009,912.96
