ARKK
as of 12/03/2025

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	12.26%	2,097,096	$900,157,487.04
COIN	COINBASE GLOBAL INC -CLASS A	5.58%	1,555,854	$409,594,124.04
ROKU	ROKU INC	5.35%	3,992,484	$392,301,477.84
TEM	TEMPUS AI INC	5.30%	5,263,587	$389,347,530.39
CRSP	CRISPR THERAPEUTICS AG	5.17%	7,360,061	$379,631,946.38
SHOP	SHOPIFY INC - CLASS A	5.07%	2,373,448	$372,227,849.84
HOOD	ROBINHOOD MARKETS INC - A	4.55%	2,650,391	$333,816,746.45
RBLX	ROBLOX CORP -CLASS A	3.86%	3,026,165	$283,551,660.50
PLTR	PALANTIR TECHNOLOGIES INC-A	3.61%	1,550,866	$264,717,317.54
AMD	ADVANCED MICRO DEVICES	3.46%	1,180,241	$254,035,072.84
BEAM	BEAM THERAPEUTICS INC	2.84%	8,904,640	$208,101,436.80
TER	TERADYNE INC	2.81%	1,083,970	$205,889,261.80
CRCL	CIRCLE INTERNET GROUP INC	2.62%	2,478,575	$191,940,848.00
BMNR	BITMINE IMMERSION TECHNOLOGI	2.40%	5,511,113	$175,859,615.83
ACHR	ARCHER AVIATION INC-A	2.11%	20,208,623	$154,595,965.95
TXG	10X GENOMICS INC-CLASS A	1.95%	7,969,503	$142,972,883.82
TWST	TWIST BIOSCIENCE CORP	1.81%	4,483,772	$133,168,028.40
AMZN	AMAZON.COM INC	1.75%	547,497	$128,344,246.74
ILMN	ILLUMINA INC	1.75%	1,004,668	$128,145,403.40
BLSH	BULLISH	1.67%	2,847,181	$122,599,613.86
VCYT	VERACYTE INC	1.61%	2,560,582	$118,196,465.12
NVDA	NVIDIA CORP	1.48%	598,377	$108,581,490.42
NTRA	NATERA INC	1.40%	434,403	$102,797,125.92
META	META PLATFORMS INC-CLASS A	1.35%	153,037	$99,030,242.70
DKNG UW	DRAFTKINGS INC-CL A	1.31%	2,854,139	$95,927,611.79
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.28%	321,840	$94,006,245.60
DE	DEERE & CO	1.24%	193,419	$90,742,523.85
XYZ	BLOCK INC	1.23%	1,496,717	$89,967,658.87
RXRX	RECURSION PHARMACEUTICALS-A	1.11%	18,940,311	$81,822,143.52
CRWV	COREWEAVE INC-CL A	1.08%	1,041,130	$79,157,113.90
BWXT	BWX TECHNOLOGIES INC	1.02%	423,501	$74,620,876.20
NTLA	INTELLIA THERAPEUTICS INC	1.02%	9,265,145	$75,047,674.50
PD	PAGERDUTY INC	0.98%	6,101,448	$71,569,985.04
SOFI	SOFI TECHNOLOGIES INC	0.96%	2,387,463	$70,454,033.13
TTD	TRADE DESK INC/THE -CLASS A	0.96%	1,770,453	$70,729,597.35
ABNB	AIRBNB INC-CLASS A	0.93%	575,362	$68,180,397.00
KTOS	KRATOS DEFENSE & SECURITY	0.91%	937,988	$66,559,628.48
BABA	ALIBABA GROUP HOLDING-SP ADR	0.82%	372,203	$59,973,069.39
WGS	GENEDX HOLDINGS CORP	0.72%	330,004	$52,998,642.40
BIDU	BAIDU INC - SPON ADR	0.71%	435,170	$51,780,878.30
PACB	PACIFIC BIOSCIENCES OF CALIF	0.66%	20,778,660	$48,206,491.20
GOOG	ALPHABET INC-CL C	0.47%	109,100	$34,477,782.00
CERS	CERUS CORP	0.26%	10,038,704	$18,772,376.48
IRDM	IRIDIUM COMMUNICATIONS INC	0.16%	694,223	$11,593,524.10
SLMT	BRERA HOLDINGS PLC-CL B	0.14%	4,668,398	$10,317,159.58

--------------------------

ARKQ
as of 12/03/2025

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	12.48%	450,718	$193,466,194.32
TER	TERADYNE INC	10.44%	852,290	$161,883,962.60
KTOS	KRATOS DEFENSE & SECURITY	7.14%	1,560,225	$110,713,566.00
PLTR	PALANTIR TECHNOLOGIES INC-A	5.51%	500,788	$85,479,503.72
AMD	ADVANCED MICRO DEVICES	4.52%	325,580	$70,077,839.20
AVAV	AEROVIRONMENT INC	4.18%	244,632	$64,815,248.40
ACHR	ARCHER AVIATION INC-A	4.04%	8,182,325	$62,594,786.25
RKLB UQ	ROCKET LAB	3.83%	1,417,502	$59,393,333.80
DE	DEERE & CO	3.52%	116,452	$54,633,455.80
TRMB	TRIMBLE INC	3.44%	647,993	$53,284,464.39
AMZN	AMAZON.COM INC	2.85%	188,755	$44,247,947.10
GOOG	ALPHABET INC-CL C	2.65%	129,824	$41,026,980.48
TSM	TAIWAN SEMICONDUCTOR-SP ADR	2.63%	139,746	$40,818,409.14
NVDA	NVIDIA CORP	2.43%	208,009	$37,745,313.14
LHX	L3HARRIS TECHNOLOGIES INC	2.41%	136,358	$37,358,001.26
IRDM	IRIDIUM COMMUNICATIONS INC	1.96%	1,815,746	$30,322,958.20
BIDU	BAIDU INC - SPON ADR	1.86%	242,537	$28,859,477.63
SYM UQ	SYMBOTIC INC	1.86%	430,985	$28,854,445.75
BWXT	BWX TECHNOLOGIES INC	1.81%	158,904	$27,998,884.80
CCJ	CAMECO CORP	1.68%	296,075	$26,122,697.25
KMTUY	KOMATSU LTD -SPONS ADR	1.66%	789,175	$25,806,022.50
JOBY	JOBY AVIATION INC	1.62%	1,821,057	$25,185,218.31
ISRG	INTUITIVE SURGICAL INC	1.34%	36,535	$20,741,650.20
PONY	PONY AI INC	1.31%	1,434,219	$20,351,567.61
CAT	CATERPILLAR INC	1.20%	32,040	$18,662,338.80
DASH	DOORDASH INC - A	1.14%	81,802	$17,749,397.96
QCOM	QUALCOMM INC	1.13%	102,326	$17,467,048.20
SNPS	SYNOPSYS INC	1.13%	38,901	$17,480,164.35
ESLT	ELBIT SYSTEMS LTD	1.12%	37,158	$17,302,994.28
SRTA	STRATA CRITICAL MEDICAL INC	1.12%	4,153,678	$17,362,374.04
AUR	AURORA INNOVATION INC	1.08%	4,214,847	$16,817,239.53
BYDDY	BYD CO LTD-UNSPONSORED ADR	1.02%	1,246,170	$15,888,667.50
LUNR	INTUITIVE MACHINES INC	0.99%	1,624,741	$15,305,060.22
TDY	TELEDYNE TECHNOLOGIES INC	0.96%	30,147	$14,944,470.84
OKLO	OKLO INC	0.64%	107,468	$9,869,861.12
KDK	KODIAK AI INC	0.52%	1,461,183	$8,138,789.31
WRD	WERIDE INC-ADR	0.37%	667,146	$5,784,155.82

--------------------------

ARKW
as of 12/03/2025

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.40%	529,833	$227,425,516.92
AMD	ADVANCED MICRO DEVICES	5.77%	585,928	$126,115,142.72
ROKU	ROKU INC	5.50%	1,223,939	$120,264,246.14
SHOP	SHOPIFY INC - CLASS A	4.99%	695,523	$109,078,872.09
COIN	COINBASE GLOBAL INC -CLASS A	4.91%	408,234	$107,471,682.84
HOOD	ROBINHOOD MARKETS INC - A	4.79%	831,313	$104,703,872.35
PLTR	PALANTIR TECHNOLOGIES INC-A	3.76%	482,164	$82,300,573.16
RBLX	ROBLOX CORP -CLASS A	3.31%	773,424	$72,469,828.80
GOOG	ALPHABET INC-CL C	2.98%	206,331	$65,204,722.62
CRCL	CIRCLE INTERNET GROUP INC	2.82%	795,804	$61,627,061.76
META	META PLATFORMS INC-CLASS A	2.68%	90,505	$58,565,785.50
TSM	TAIWAN SEMICONDUCTOR-SP ADR	2.55%	191,040	$55,800,873.60
BMNR	BITMINE IMMERSION TECHNOLOGI	2.37%	1,627,672	$51,939,013.52
XYZ	BLOCK INC	2.13%	773,881	$46,517,986.91
CRWD	CROWDSTRIKE HOLDINGS INC - A	2.06%	87,198	$45,042,126.90
AMZN	AMAZON.COM INC	1.85%	172,915	$40,534,734.30
CRWV	COREWEAVE INC-CL A	1.84%	530,320	$40,320,229.60
NET	CLOUDFLARE INC - CLASS A	1.75%	190,683	$38,376,860.58
U	UNITY SOFTWARE INC	1.67%	823,689	$36,588,265.38
DKNG UW	DRAFTKINGS INC-CL A	1.58%	1,026,324	$34,494,749.64
BLSH	BULLISH	1.54%	780,797	$33,621,118.82
GTLB	GITLAB INC-CL A	1.46%	734,835	$31,869,793.95
DDOG	DATADOG INC - CLASS A	1.34%	187,734	$29,376,616.32
NVDA	NVIDIA CORP	1.32%	159,232	$28,894,238.72
PSTG	PURE STORAGE INC - CLASS A	1.23%	284,046	$26,904,837.12
DASH	DOORDASH INC - A	1.18%	118,545	$25,721,894.10
PINS	PINTEREST INC- CLASS A	1.17%	952,278	$25,606,755.42
RBRK	RUBRIK INC-A	1.15%	363,105	$25,199,487.00
GENI	GENIUS SPORTS LTD	1.12%	2,413,367	$24,399,140.37
BIDU	BAIDU INC - SPON ADR	1.10%	202,094	$24,047,165.06
ABNB	AIRBNB INC-CLASS A	1.09%	200,784	$23,792,904.00
MELI	MERCADOLIBRE INC	1.04%	10,782	$22,813,741.62
SPOT	SPOTIFY TECHNOLOGY SA	1.02%	38,672	$22,305,622.88
TTD	TRADE DESK INC/THE -CLASS A	0.98%	534,582	$21,356,550.90
TOST	TOAST INC-CLASS A	0.97%	626,202	$21,184,413.66
QCOM	QUALCOMM INC	0.96%	122,930	$20,984,151.00
NFLX	NETFLIX INC	0.84%	168,660	$18,442,971.00
BABA	ALIBABA GROUP HOLDING-SP ADR	0.83%	112,871	$18,186,904.23
PD	PAGERDUTY INC	0.75%	1,399,077	$16,411,173.21
NXDR	NEXTDOOR HOLDINGS INC	0.62%	7,916,063	$13,615,628.36
ETHQ/U	3IQ ETHER STAKING ETF	0.52%	974,568	$11,392,699.92
CRM	SALESFORCE INC	0.49%	45,242	$10,618,749.82
SOLQ/U	3IQ SOLANA STAKING ETF	0.25%	502,408	$5,571,704.72
IBTA	IBOTTA INC-CL A	0.19%	178,520	$4,234,494.40
SLMT	BRERA HOLDINGS PLC-CL B	0.14%	1,400,327	$3,094,722.67

--------------------------

ARKG
as of 12/03/2025

Ticker	Name	Weight	Shares	Market Value
TEM	TEMPUS AI INC	9.81%	1,624,042	$120,130,386.74
CRSP	CRISPR THERAPEUTICS AG	8.21%	1,948,918	$100,525,190.44
PSNL	PERSONALIS INC	6.42%	7,782,037	$78,598,573.70
GH	GUARDANT HEALTH INC	5.84%	688,310	$71,494,759.70
TWST	TWIST BIOSCIENCE CORP	5.30%	2,187,103	$64,956,959.10
TXG	10X GENOMICS INC-CLASS A	4.74%	3,237,678	$58,083,943.32
NTRA	NATERA INC	4.73%	244,767	$57,921,662.88
BEAM	BEAM THERAPEUTICS INC	4.22%	2,209,404	$51,633,771.48
ILMN	ILLUMINA INC	4.17%	400,470	$51,079,948.50
VCYT	VERACYTE INC	4.08%	1,082,984	$49,990,541.44
