ARKK
as of 04/07/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	9.88%	1,689,955	$596,249,923.10
CRSP	CRISPR THERAPEUTICS AG	6.31%	7,745,556	$380,694,077.40
TEM	TEMPUS AI INC-CL A	5.03%	6,414,709	$303,415,735.70
SHOP	SHOPIFY INC - CLASS A	4.72%	2,399,776	$285,093,388.80
COIN	COINBASE GLOBAL INC -CLASS A	4.34%	1,497,657	$261,775,467.00
CRCL	CIRCLE INTERNET GROUP INC	4.29%	2,809,601	$258,904,732.20
AMD	ADVANCED MICRO DEVICES	4.22%	1,156,334	$254,601,620.10
HOOD	ROBINHOOD MARKETS INC - A	4.22%	3,654,785	$255,030,897.30
ROKU	ROKU INC	4.07%	2,499,149	$245,416,431.80
PLTR	PALANTIR TECHNOLOGIES INC-A	3.55%	1,449,391	$214,408,410.60
RBLX	ROBLOX CORP -CLASS A	3.50%	3,697,583	$211,501,747.60
BEAM	BEAM THERAPEUTICS INC	3.35%	8,353,584	$202,407,340.30
TWST	TWIST BIOSCIENCE CORP	2.99%	3,528,417	$180,584,382.10
BLSH	BULLISH	2.53%	4,090,838	$152,792,799.30
TXG	10X GENOMICS INC-CLASS A	2.52%	6,957,187	$152,292,823.40
BMNR	BITMINE IMMERSION TECHNOLOGI	2.15%	6,296,439	$129,706,643.40
CRWV	COREWEAVE INC-CL A	2.10%	1,565,695	$126,727,353.30
AMZN	AMAZON.COM INC	2.07%	587,695	$125,055,619.10
NTLA	INTELLIA THERAPEUTICS INC	2.04%	9,244,723	$122,954,815.90
TER	TERADYNE INC	2.03%	387,652	$122,277,070.40
ACHR	ARCHER AVIATION INC-A	1.65%	17,985,263	$99,638,357.02
XYZ	BLOCK INC	1.45%	1,446,595	$87,779,384.60
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.38%	243,183	$83,110,222.08
ILMN	ILLUMINA INC	1.33%	629,678	$80,435,067.72
DE	DEERE & CO	1.31%	137,214	$78,910,399.26
NTRA	NATERA INC	1.29%	378,649	$77,573,820.63
NVDA	NVIDIA CORP	1.16%	395,477	$70,252,534.28
RXRX	RECURSION PHARMACEUTICALS-A	1.16%	22,279,859	$70,181,555.85
BWXT	BWX TECHNOLOGIES INC	1.12%	313,188	$67,642,344.24
KTOS	KRATOS DEFENSE & SECURITY	1.01%	820,003	$60,754,022.27
BIDU	BAIDU INC - SPON ADR	1.00%	543,553	$60,486,577.84
AVGO	BROADCOM INC	0.97%	185,426	$58,303,497.18
VCYT	VERACYTE INC	0.97%	1,804,346	$58,316,462.72
BABA	ALIBABA GROUP HOLDING-SP ADR	0.94%	462,850	$56,611,183.50
WGS	GENEDX HOLDINGS CORP	0.91%	824,285	$54,905,623.85
GOOG	ALPHABET INC-CL C	0.85%	173,043	$51,507,979.38
SOFI	SOFI TECHNOLOGIES INC	0.60%	2,231,130	$36,300,485.10
PACB	PACIFIC BIOSCIENCES OF CALIF	0.49%	20,681,500	$29,367,730.00
META	META PLATFORMS INC-CLASS A	0.36%	37,885	$21,708,862.70
CERS	CERUS CORP	0.30%	9,884,911	$18,287,085.35
SLMT	BRERA HOLDINGS PLC-CL B	0.10%	6,884,381	$5,932,959.55

--------------------------

ARKQ
as of 04/07/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	9.47%	505,704	$178,422,485.30
TER	TERADYNE INC	9.05%	540,301	$170,427,144.40
KTOS	KRATOS DEFENSE & SECURITY	6.64%	1,687,538	$125,029,690.40
AMD	ADVANCED MICRO DEVICES	5.05%	431,861	$95,087,154.98
RKLB UQ	ROCKET LAB	4.72%	1,314,196	$88,931,643.32
DE	DEERE & CO	4.45%	145,601	$83,733,679.09
PLTR	PALANTIR TECHNOLOGIES INC-A	4.39%	558,639	$82,639,467.27
GOOG	ALPHABET INC-CL C	3.57%	225,932	$67,250,919.12
LHX	L3HARRIS TECHNOLOGIES INC	3.50%	183,845	$65,950,716.85
AVAV	AEROVIRONMENT INC	3.17%	315,443	$59,700,742.18
ACHR	ARCHER AVIATION INC-A	3.06%	10,401,177	$57,622,520.58
TSM	TAIWAN SEMICONDUCTOR-SP ADR	2.90%	159,918	$54,653,575.68
AMZN	AMAZON.COM INC	2.65%	235,015	$50,008,841.85
TRMB	TRIMBLE INC	2.56%	741,514	$48,250,315.98
LUNR	INTUITIVE MACHINES INC	2.26%	1,859,261	$42,614,262.12
CAT	CATERPILLAR INC	2.24%	58,578	$42,248,796.72
NVDA	NVIDIA CORP	2.24%	238,021	$42,282,050.44
BWXT	BWX TECHNOLOGIES INC	2.00%	174,752	$37,742,936.96
ESLT	ELBIT SYSTEMS LTD	1.96%	39,925	$36,877,924.00
CCJ	CAMECO CORP	1.94%	330,313	$36,492,980.24
KMTUY	KOMATSU LTD -SPONS ADR	1.94%	903,073	$36,471,506.18
SYM UQ	SYMBOTIC INC	1.89%	667,710	$35,588,943.00
BIDU	BAIDU INC - SPON ADR	1.83%	309,727	$34,466,420.56
JOBY	JOBY AVIATION INC	1.56%	3,371,034	$29,327,995.80
IRDM	IRIDIUM COMMUNICATIONS INC	1.47%	842,669	$27,631,116.51
ISRG	INTUITIVE SURGICAL INC	1.46%	60,581	$27,417,748.98
WRD	WERIDE INC-ADR	1.37%	3,380,897	$25,897,671.02
AVGO	BROADCOM INC	1.30%	78,107	$24,559,184.01
AUR	AURORA INNOVATION INC	1.26%	5,649,309	$23,727,097.80
BYDDY	BYD CO LTD-UNSPONSORED ADR	1.17%	1,674,959	$22,109,458.80
TDY	TELEDYNE TECHNOLOGIES INC	1.16%	34,493	$21,799,920.93
DASH	DOORDASH INC - A	1.07%	129,986	$20,156,929.02
KDK	KODIAK AI INC	1.02%	2,550,951	$19,234,170.54
OKLO	OKLO INC	0.94%	362,231	$17,662,383.56
