ARKK
as of 06/29/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	9.54%	1,586,449	$602,390,549.79
TEM	TEMPUS AI INC-CL A	5.61%	6,304,524	$353,935,977.36
CRSP	CRISPR THERAPEUTICS AG	5.08%	5,844,092	$320,957,532.64
AMD	ADVANCED MICRO DEVICES	4.64%	561,216	$292,719,041.28
HOOD	ROBINHOOD MARKETS INC - A	4.58%	2,931,515	$289,311,215.35
SHOP	SHOPIFY INC - CLASS A	4.44%	2,397,782	$280,204,804.52
SPCX	SPACE EXPLORATION TECHN-CL A	4.17%	1,718,311	$263,296,794.53
TWST	TWIST BIOSCIENCE CORP	4.05%	2,559,774	$255,567,836.16
COIN	COINBASE GLOBAL INC -CLASS A	3.65%	1,546,046	$230,453,616.76
BEAM	BEAM THERAPEUTICS INC	3.48%	6,308,521	$219,599,616.01
CRCL	CIRCLE INTERNET GROUP INC	3.26%	2,793,846	$205,543,250.22
TXG	10X GENOMICS INC-CLASS A	3.20%	5,506,522	$202,364,683.50
RBLX	ROBLOX CORP -CLASS A	2.99%	3,974,069	$189,006,721.64
NTLA	INTELLIA THERAPEUTICS INC	2.94%	11,147,090	$185,933,461.20
PLTR	PALANTIR TECHNOLOGIES INC-A	2.56%	1,430,822	$161,582,728.46
AMZN	AMAZON.COM INC	2.32%	628,652	$146,281,033.88
CRWV	COREWEAVE INC-CL A	2.31%	1,510,726	$145,905,917.08
XYZ	BLOCK INC	1.92%	1,558,530	$121,284,804.60
GOOG	ALPHABET INC-CL C	1.83%	344,846	$115,416,507.74
NVDA	NVIDIA CORP	1.57%	514,209	$99,000,658.77
ILMN	ILLUMINA INC	1.53%	547,475	$96,656,711.25
BLSH	BULLISH	1.51%	4,089,496	$95,244,361.84
CBRS	CEREBRAS SYSTEMS INC - A	1.49%	518,845	$94,217,063.55
NTRA	NATERA INC	1.48%	357,090	$93,525,441.90
BMNR	BITMINE IMMERSION TECHNOLOGI	1.23%	5,709,605	$77,422,243.80
DE	DEERE & CO	1.16%	119,653	$73,376,005.72
VCYT	VERACYTE INC	1.14%	1,195,066	$72,289,542.34
RXRX	RECURSION PHARMACEUTICALS-A	1.13%	20,208,300	$71,133,216.00
ACHR	ARCHER AVIATION INC-A	1.08%	14,037,701	$68,363,603.87
AVGO	BROADCOM INC	1.07%	184,331	$67,284,501.62
TER	TERADYNE INC	1.05%	151,443	$66,159,388.98
WGS	GENEDX HOLDINGS CORP	1.01%	909,647	$63,511,553.54
TSM	TAIWAN SEMICONDUCTOR-SP ADR	0.95%	138,754	$59,990,291.90
META	META PLATFORMS INC-CLASS A	0.89%	102,002	$56,126,600.50
BWXT	BWX TECHNOLOGIES INC	0.83%	265,605	$52,565,885.55
KTOS	KRATOS DEFENSE & SECURITY	0.79%	1,051,619	$49,646,932.99
XE	X-ENERGY INC	0.72%	2,405,765	$45,420,843.20
SNOW	SNOWFLAKE INC	0.57%	143,941	$35,835,551.36
LLY	ELI LILLY & CO	0.56%	29,478	$35,612,961.36
SOFI	SOFI TECHNOLOGIES INC	0.56%	1,960,968	$35,062,107.84
GOOGL	ALPHABET INC-CL A	0.48%	89,158	$30,081,017.62
FIG	FIGMA INC-CL A	0.46%	1,573,518	$29,298,905.16
CERS	CERUS CORP	0.40%	8,597,270	$25,104,028.40
ROKU	ROKU INC	0.38%	178,732	$24,200,312.80
PACB	PACIFIC BIOSCIENCES OF CALIF	0.35%	13,293,942	$21,935,004.30
BABA	ALIBABA GROUP HOLDING-SP ADR	0.13%	85,578	$8,113,650.18

--------------------------

ARKQ
as of 06/29/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.22%	557,145	$211,553,527.95
TER	TERADYNE INC	7.34%	347,801	$151,940,344.86
AMD	ADVANCED MICRO DEVICES	7.05%	279,833	$145,955,296.14
SPCX	SPACE EXPLORATION TECHN-CL A	5.82%	786,315	$120,487,047.45
KTOS	KRATOS DEFENSE & SECURITY	4.76%	2,086,177	$98,488,416.17
GOOG	ALPHABET INC-CL C	4.50%	278,157	$93,096,366.33
DE	DEERE & CO	4.45%	150,081	$92,035,672.44
RKLB UQ	ROCKET LAB	3.89%	951,460	$80,436,428.40
TSM	TAIWAN SEMICONDUCTOR-SP ADR	3.44%	164,838	$71,267,709.30
PLTR	PALANTIR TECHNOLOGIES INC-A	3.23%	591,369	$66,783,301.17
AMZN	AMAZON.COM INC	3.02%	269,047	$62,604,546.43
LHX	L3HARRIS TECHNOLOGIES INC	2.96%	210,138	$61,202,692.50
NVDA	NVIDIA CORP	2.77%	298,297	$57,431,121.41
CAT	CATERPILLAR INC	2.71%	56,175	$56,032,877.25
AVAV	AEROVIRONMENT INC	2.17%	325,143	$44,853,476.85
ACHR	ARCHER AVIATION INC-A	2.16%	9,171,141	$44,663,456.67
TRMB	TRIMBLE INC	1.87%	764,324	$38,751,226.80
KMTUY	KOMATSU LTD -SPONS ADR	1.78%	930,853	$36,759,384.97
CCJ	CAMECO CORP	1.72%	340,473	$35,576,023.77
BWXT	BWX TECHNOLOGIES INC	1.71%	178,475	$35,321,987.25
LUNR	INTUITIVE MACHINES INC	1.71%	1,788,870	$35,401,737.30
AUR	AURORA INNOVATION INC	1.67%	5,430,150	$34,535,754.00
AVGO	BROADCOM INC	1.50%	85,248	$31,117,224.96
JOBY	JOBY AVIATION INC	1.48%	3,474,754	$30,682,077.82
ESLT	ELBIT SYSTEMS LTD	1.42%	41,145	$29,448,299.40
BIDU	BAIDU INC - SPON ADR	1.39%	275,067	$28,667,482.74
SYM UQ	SYMBOTIC INC	1.37%	688,250	$28,383,430.00
DASH	DOORDASH INC - A	1.32%	149,173	$27,312,084.57
ISRG	INTUITIVE SURGICAL INC	1.22%	62,441	$25,269,872.70
IRDM	IRIDIUM COMMUNICATIONS INC	1.11%	525,638	$22,875,765.76
TDY	TELEDYNE TECHNOLOGIES INC	1.07%	35,553	$22,195,382.37
SNPS	SYNOPSYS INC	1.01%	45,837	$20,825,582.58
WRD	WERIDE INC-ADR	0.93%	3,484,917	$19,167,043.50
OKLO	OKLO INC	0.90%	373,371	$18,668,550.00
XE	X-ENERGY INC	0.89%	972,872	$18,367,823.36
KDK	KODIAK AI INC	0.85%	3,455,721	$17,658,734.31
BYDDY	BYD CO LTD-UNSPONSORED ADR	0.78%	1,726,489	$16,177,201.93
PONY	PONY AI INC	0.69%	2,067,347	$14,202,673.89
SRTA	STRATA CRITICAL MEDICAL INC	0.50%	1,958,073	$10,377,786.90
GOOGL	ALPHABET INC-CL A	0.27%	16,408	$5,535,895.12

--------------------------

ARKW
as of 06/29/2026

Ticker	Name	Weight	Shares	Market Value
AMD	ADVANCED MICRO DEVICES	8.74%	269,085	$140,349,354.30
TSLA	TESLA INC	7.94%	336,141	$127,636,099.11
HOOD	ROBINHOOD MARKETS INC - A	5.88%	957,474	$94,493,109.06
SHOP	SHOPIFY INC - CLASS A	4.72%	648,504	$75,784,177.44
GOOG	ALPHABET INC-CL C	3.75%	180,040	$60,257,587.60
AMZN	AMAZON.COM INC	3.74%	258,071	$60,050,540.99
CRWV	COREWEAVE INC-CL A	3.50%	582,874	$56,293,970.92
CRCL	CIRCLE INTERNET GROUP INC	3.25%	709,456	$52,194,677.92
COIN	COINBASE GLOBAL INC -CLASS A	3.24%	349,449	$52,088,867.94
SPCX	SPACE EXPLORATION TECHN-CL A	3.14%	328,772	$50,377,733.56
XYZ	BLOCK INC	3.08%	636,601	$49,540,289.82
RBLX	ROBLOX CORP -CLASS A	3.01%	1,017,625	$48,398,245.00
CRWD	CROWDSTRIKE HOLDINGS INC - A	2.64%	60,525	$42,433,472.25
DDOG	DATADOG INC - CLASS A	2.63%	176,258	$42,261,380.66
PLTR	PALANTIR TECHNOLOGIES INC-A	2.45%	348,959	$39,407,939.87
TSM	TAIWAN SEMICONDUCTOR-SP ADR	2.31%	85,672	$37,040,289.20
NET	CLOUDFLARE INC - CLASS A	2.11%	142,622	$33,835,643.28
AVGO	BROADCOM INC	2.10%	92,246	$33,671,634.92
META	META PLATFORMS INC-CLASS A	1.92%	56,084	$30,860,221.00
ROKU	ROKU INC	1.67%	198,325	$26,853,205.00
CBRS	CEREBRAS SYSTEMS INC - A	1.60%	141,345	$25,666,838.55
NVDA	NVIDIA CORP	1.51%	125,745	$24,209,684.85
RBRK	RUBRIK INC-A	1.47%	325,766	$23,562,654.78
P	EVERPURE INC-A	1.39%	323,559	$22,377,340.44
BLSH	BULLISH	1.33%	918,006	$21,380,359.74
BMNR	BITMINE IMMERSION TECHNOLOGI	1.26%	1,488,091	$20,178,513.96
GENI	GENIUS SPORTS LTD	1.18%	3,065,770	$19,007,774.00
TOST	TOAST INC-CLASS A	1.18%	702,506	$19,023,862.48
FIG	FIGMA INC-CL A	1.14%	986,779	$18,373,824.98
SNOW	SNOWFLAKE INC	1.13%	73,081	$18,194,245.76
GTLB	GITLAB INC-CL A	1.12%	618,161	$17,969,940.27
SPOT	SPOTIFY TECHNOLOGY SA	1.06%	37,109	$17,070,882.18
DASH	DOORDASH INC - A	1.05%	92,280	$16,895,545.20
DKNG UW	DRAFTKINGS INC-CL A	1.03%	646,665	$16,619,290.50
NFLX	NETFLIX INC	1.03%	224,871	$16,597,728.51
MELI	MERCADOLIBRE INC	0.89%	8,544	$14,312,054.40
ABNB	AIRBNB INC-CLASS A	0.57%	62,758	$9,135,054.48
ETHQ/U	3IQ ETHER STAKING ETF	0.29%	784,991	$4,709,946.00
GOOGL	ALPHABET INC-CL A	0.25%	12,041	$4,062,512.99
SOLQ/U	3IQ SOLANA STAKING ETF	0.15%	419,417	$2,482,948.64
BABA	ALIBABA GROUP HOLDING-SP ADR	0.10%	16,262	$1,541,800.22
BIDU	BAIDU INC - SPON ADR	0.00%	100	$10,422.00

--------------------------

ARKG
as of 06/29/2026

Ticker	Name	Weight	Shares	Market Value
TWST	TWIST BIOSCIENCE CORP	9.01%	1,490,188	$148,780,369.92
TEM	TEMPUS AI INC-CL A	7.51%	2,210,639	$124,105,273.46
TXG	10X GENOMICS INC-CLASS A	6.81%	3,060,416	$112,470,288.00
ABSI	ABSCI CORP	6.81%	10,334,068	$112,538,000.52
CRSP	CRISPR THERAPEUTICS AG	6.70%	2,016,797	$110,762,491.24
PSNL	PERSONALIS INC	6.10%	7,736,116	$100,724,230.32
BEAM	BEAM THERAPEUTICS INC	4.47%	2,120,761	$73,823,690.41
GH	GUARDANT HEALTH INC	4.32%	478,629	$71,421,019.38
ILMN	ILLUMINA INC	4.05%	379,060	$66,923,043.00
NTRA	NATERA INC	4.02%	253,514	$66,397,851.74
VCYT	VERACYTE INC	3.39%	925,852	$56,004,787.48
CDNA	CAREDX INC	3.16%	1,811,817	$52,216,565.94
NTLA	INTELLIA THERAPEUTICS INC	2.92%	2,889,137	$48,190,805.16
LLY	ELI LILLY & CO	2.88%	39,336	$47,522,608.32
CMPS	COMPASS PATHWAYS PLC	2.87%	3,199,815	$47,421,258.30
RXRX	RECURSION PHARMACEUTICALS-A	2.76%	12,941,493	$45,554,055.36
BFLY	BUTTERFLY NETWORK INC	2.54%	4,717,610	$41,939,552.90
ADPT	ADAPTIVE BIOTECHNOLOGIES	2.49%	1,966,151	$41,210,524.96
NRIX	NURIX THERAPEUTICS INC	2.31%	1,663,298	$38,089,524.20
SDGR	SCHRODINGER INC	2.06%	2,019,800	$34,053,828.00
WGS	GENEDX HOLDINGS CORP	1.87%	441,988	$30,859,602.16
IONS	IONIS PHARMACEUTICALS INC	1.37%	278,138	$22,579,242.84
ATAI UQ	ATAIBECKLEY INC	1.35%	4,228,933	$22,371,055.57
CERS	CERUS CORP	1.26%	7,142,576	$20,856,321.92
ARCT UQ	ARCTURUS THERAPEUTICS HOLDIN	1.13%	2,710,559	$18,648,645.92
PACB	PACIFIC BIOSCIENCES OF CALIF	1.05%	10,511,715	$17,344,329.75
ALMR	ALAMAR BIOSCIENCES INC	1.03%	635,708	$16,954,332.36
MASS	908 DEVICES INC	1.00%	1,884,083	$16,542,248.74
PRME	PRIME MEDICINE INC	0.99%	4,753,140	$16,303,270.20
BNTX	BIONTECH SE-ADR	0.68%	122,492	$11,173,720.24
GENB	GENERATE BIOMEDICINES INC	0.66%	659,993	$10,870,084.71
QSI	QUANTUM-SI INC	0.35%	6,685,410	$5,714,688.47

--------------------------

ARKF
as of 01/02/2026

Ticker	Name	Weight	Shares	Market Value
SHOP	SHOPIFY INC - CLASS A	9.65%	662,061	$106,571,959.17
COIN	COINBASE GLOBAL INC -CLASS A	5.67%	276,957	$62,631,055.98
HOOD	ROBINHOOD MARKETS INC - A	5.05%	492,638	$55,717,357.80
PLTR	PALANTIR TECHNOLOGIES INC-A	4.53%	281,162	$49,976,545.50
TOST	TOAST INC-CLASS A	4.34%	1,351,034	$47,975,217.34
XYZ	BLOCK INC	3.85%	652,416	$42,465,757.44
SOFI	SOFI TECHNOLOGIES INC	3.53%	1,488,338	$38,964,688.84
ROKU	ROKU INC	3.44%	350,640	$38,040,933.60
CRCL	CIRCLE INTERNET GROUP INC	3.36%	467,606	$37,081,155.80
RBLX	ROBLOX CORP -CLASS A	2.86%	389,598	$31,569,125.94
