ARKK
as of 03/13/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.57%	1,684,042	$665,213,430.42
CRSP	CRISPR THERAPEUTICS AG	6.07%	7,816,811	$382,007,553.57
CRCL	CIRCLE INTERNET GROUP INC	5.03%	2,771,641	$316,465,969.38
TEM	TEMPUS AI INC-CL A	5.02%	6,379,948	$315,998,824.44
SHOP	SHOPIFY INC - CLASS A	4.88%	2,433,951	$307,091,597.67
COIN	COINBASE GLOBAL INC -CLASS A	4.67%	1,518,982	$293,512,891.86
HOOD	ROBINHOOD MARKETS INC - A	4.49%	3,706,835	$282,164,280.20
ROKU	ROKU INC	4.06%	2,695,798	$255,561,650.40
AMD	ADVANCED MICRO DEVICES	3.82%	1,216,537	$240,558,026.38
PLTR	PALANTIR TECHNOLOGIES INC-A	3.59%	1,470,016	$225,647,456.00
BEAM	BEAM THERAPEUTICS INC	3.50%	8,603,398	$220,160,954.82
RBLX	ROBLOX CORP -CLASS A	3.36%	3,750,233	$211,138,117.90
BLSH	BULLISH	2.71%	4,699,710	$170,317,490.40
TWST	TWIST BIOSCIENCE CORP	2.58%	3,774,047	$162,359,501.94
TER	TERADYNE INC	2.45%	537,550	$154,067,205.50
BMNR	BITMINE IMMERSION TECHNOLOGI	2.09%	6,386,114	$131,234,642.70
TXG	10X GENOMICS INC-CLASS A	2.03%	6,728,603	$127,439,740.82
AMZN	AMAZON.COM INC	1.99%	596,045	$124,889,308.85
NTLA	INTELLIA THERAPEUTICS INC	1.92%	9,376,398	$120,486,714.30
CRWV	COREWEAVE INC-CL A	1.91%	1,503,733	$120,088,117.38
ACHR	ARCHER AVIATION INC-A	1.87%	19,154,143	$117,797,979.45
NVDA	NVIDIA CORP	1.65%	567,213	$103,879,388.82
XYZ	BLOCK INC	1.48%	1,555,722	$93,187,747.80
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.40%	262,365	$88,340,919.15
DE	DEERE & CO	1.38%	148,628	$87,070,741.24
KTOS	KRATOS DEFENSE & SECURITY	1.27%	895,691	$80,128,516.86
ILMN	ILLUMINA INC	1.26%	685,919	$79,264,799.64
NTRA	NATERA INC	1.25%	412,391	$78,482,131.21
RXRX	RECURSION PHARMACEUTICALS-A	1.22%	23,240,609	$76,461,603.61
BWXT	BWX TECHNOLOGIES INC	1.15%	364,124	$72,031,009.68
META	META PLATFORMS INC-CLASS A	1.13%	111,086	$70,892,863.48
BIDU	BAIDU INC - SPON ADR	1.11%	567,053	$69,838,247.48
AVGO	BROADCOM INC	1.03%	193,770	$65,100,906.90
BABA	ALIBABA GROUP HOLDING-SP ADR	1.00%	469,425	$62,996,835.00
WGS	GENEDX HOLDINGS CORP	0.99%	811,359	$62,352,939.15
VCYT	VERACYTE INC	0.97%	1,977,257	$61,156,559.01
GOOG	ALPHABET INC-CL C	0.87%	179,690	$54,483,804.90
SOFI	SOFI TECHNOLOGIES INC	0.64%	2,262,905	$40,053,418.50
PACB	PACIFIC BIOSCIENCES OF CALIF	0.42%	20,976,100	$26,639,647.00
CERS	CERUS CORP	0.27%	10,025,711	$17,043,708.70
SLMT	BRERA HOLDINGS PLC-CL B	0.10%	6,994,478	$6,299,226.89

--------------------------

ARKQ
as of 03/13/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.16%	498,022	$196,723,670.22
TER	TERADYNE INC	8.30%	560,566	$160,663,821.26
KTOS	KRATOS DEFENSE & SECURITY	7.82%	1,692,730	$151,431,625.80
RKLB UQ	ROCKET LAB	4.66%	1,318,239	$90,128,000.43
PLTR	PALANTIR TECHNOLOGIES INC-A	4.44%	560,357	$86,014,799.50
AMD	ADVANCED MICRO DEVICES	4.42%	433,189	$85,658,792.86
DE	DEERE & CO	4.42%	146,048	$85,559,299.84
GOOG	ALPHABET INC-CL C	3.55%	226,627	$68,715,572.67
AVAV	AEROVIRONMENT INC	3.46%	316,413	$67,041,586.44
LHX	L3HARRIS TECHNOLOGIES INC	3.41%	184,410	$65,996,650.80
ACHR	ARCHER AVIATION INC-A	3.31%	10,433,180	$64,164,057.00
TSM	TAIWAN SEMICONDUCTOR-SP ADR	2.79%	160,410	$54,011,651.10
AMZN	AMAZON.COM INC	2.55%	235,738	$49,394,183.14
TRMB	TRIMBLE INC	2.54%	743,795	$49,209,477.20
NVDA	NVIDIA CORP	2.26%	238,753	$43,725,224.42
CAT	CATERPILLAR INC	2.13%	58,758	$41,171,143.02
KMTUY	KOMATSU LTD -SPONS ADR	2.09%	905,851	$40,473,422.68
CCJ	CAMECO CORP	2.02%	339,839	$39,183,436.70
BIDU	BAIDU INC - SPON ADR	1.98%	310,680	$38,263,348.80
BWXT	BWX TECHNOLOGIES INC	1.86%	182,382	$36,078,807.24
ESLT	ELBIT SYSTEMS LTD	1.79%	40,047	$34,673,894.01
SYM UQ	SYMBOTIC INC	1.75%	669,764	$33,876,663.12
LUNR	INTUITIVE MACHINES INC	1.70%	1,864,981	$32,898,264.84
JOBY	JOBY AVIATION INC	1.70%	3,381,406	$32,934,894.44
ISRG	INTUITIVE SURGICAL INC	1.50%	60,767	$29,123,800.09
AVGO	BROADCOM INC	1.36%	78,347	$26,322,241.59
AUR	AURORA INNOVATION INC	1.24%	5,666,691	$24,083,436.75
WRD	WERIDE INC-ADR	1.19%	3,391,299	$23,128,659.18
TDY	TELEDYNE TECHNOLOGIES INC	1.16%	34,599	$22,370,675.43
SRTA	STRATA CRITICAL MEDICAL INC	1.15%	4,767,928	$22,194,704.84
PONY	PONY AI INC	1.13%	1,780,334	$21,880,304.86
BYDDY	BYD CO LTD-UNSPONSORED ADR	1.08%	1,680,112	$20,816,587.68
IRDM	IRIDIUM COMMUNICATIONS INC	1.08%	845,261	$20,945,567.58
KDK	KODIAK AI INC	1.05%	2,323,650	$20,401,647.00
DASH	DOORDASH INC - A	0.99%	117,987	$19,084,397.25
SNPS	SYNOPSYS INC	0.96%	44,613	$18,680,355.36
OKLO	OKLO INC	0.95%	307,262	$18,309,742.58

--------------------------

ARKW
as of 03/13/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	9.72%	394,804	$155,951,528.04
AMD	ADVANCED MICRO DEVICES	6.80%	551,642	$109,081,689.08
CRCL	CIRCLE INTERNET GROUP INC	5.24%	735,591	$83,989,780.38
SHOP	SHOPIFY INC - CLASS A	5.07%	644,417	$81,306,092.89
HOOD	ROBINHOOD MARKETS INC - A	4.81%	1,013,800	$77,170,456.00
ROKU	ROKU INC	4.28%	724,495	$68,682,126.00
COIN	COINBASE GLOBAL INC -CLASS A	4.14%	343,774	$66,427,450.02
GOOG	ALPHABET INC-CL C	3.46%	182,993	$55,485,307.53
RBLX	ROBLOX CORP -CLASS A	3.34%	952,553	$53,628,733.90
PLTR	PALANTIR TECHNOLOGIES INC-A	3.24%	338,969	$52,031,741.50
CRWV	COREWEAVE INC-CL A	3.12%	627,675	$50,126,125.50
XYZ	BLOCK INC	2.67%	714,169	$42,778,723.10
TSM	TAIWAN SEMICONDUCTOR-SP ADR	2.64%	125,785	$42,353,067.35
META	META PLATFORMS INC-CLASS A	2.51%	63,217	$40,343,825.06
BLSH	BULLISH	2.31%	1,023,705	$37,099,069.20
AMZN	AMAZON.COM INC	2.27%	174,158	$36,491,325.74
AVGO	BROADCOM INC	2.09%	99,796	$33,528,462.12
BMNR	BITMINE IMMERSION TECHNOLOGI	2.08%	1,623,352	$33,359,883.60
NET	CLOUDFLARE INC - CLASS A	2.07%	156,925	$33,285,361.75
CRWD	CROWDSTRIKE HOLDINGS INC - A	1.99%	72,145	$31,854,903.30
NVDA	NVIDIA CORP	1.59%	139,357	$25,521,840.98
DDOG	DATADOG INC - CLASS A	1.56%	197,392	$25,100,366.72
PSTG	EVERPURE INC-A	1.34%	352,959	$21,530,499.00
NFLX	NETFLIX INC	1.32%	225,116	$21,230,689.96
RBRK	RUBRIK INC-A	1.23%	365,392	$19,738,475.84
BABA	ALIBABA GROUP HOLDING-SP ADR	1.16%	139,111	$18,668,696.20
DKNG UW	DRAFTKINGS INC-CL A	1.12%	705,444	$18,031,148.64
BIDU	BAIDU INC - SPON ADR	1.10%	143,119	$17,626,536.04
TOST	TOAST INC-CLASS A	1.09%	635,135	$17,529,726.00
