ARKK
as of 05/20/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.57%	1,512,763	$611,322,655.93
AMD	ADVANCED MICRO DEVICES	5.08%	709,911	$293,938,649.55
CRCL	CIRCLE INTERNET GROUP INC	4.86%	2,534,339	$281,387,659.17
TEM	TEMPUS AI INC-CL A	4.79%	6,086,908	$277,136,921.24
CRSP	CRISPR THERAPEUTICS AG	4.64%	5,642,324	$268,518,199.16
HOOD	ROBINHOOD MARKETS INC - A	4.49%	3,499,671	$259,535,601.36
ROKU	ROKU INC	4.48%	2,147,733	$258,973,645.14
COIN	COINBASE GLOBAL INC -CLASS A	4.47%	1,336,440	$258,534,318.00
SHOP	SHOPIFY INC - CLASS A	4.12%	2,361,549	$238,540,064.49
PLTR	PALANTIR TECHNOLOGIES INC-A	3.12%	1,335,493	$180,638,783.18
BEAM	BEAM THERAPEUTICS INC	2.72%	5,980,730	$157,472,620.90
RBLX	ROBLOX CORP -CLASS A	2.69%	3,502,400	$155,681,680.00
AMZN	AMAZON.COM INC	2.68%	598,794	$155,291,235.96
NTLA	INTELLIA THERAPEUTICS INC	2.51%	12,166,912	$145,272,929.28
CRWV	COREWEAVE INC-CL A	2.49%	1,445,489	$144,274,257.09
TXG	10X GENOMICS INC-CLASS A	2.39%	6,207,991	$138,376,119.39
TWST	TWIST BIOSCIENCE CORP	2.38%	2,776,426	$137,433,087.00
BLSH	BULLISH	2.34%	3,737,512	$135,410,059.76
BMNR	BITMINE IMMERSION TECHNOLOGI	1.81%	5,618,496	$104,672,580.48
ACHR	ARCHER AVIATION INC-A	1.64%	16,048,391	$94,845,990.81
XYZ	BLOCK INC	1.54%	1,290,859	$89,288,717.03
GOOG	ALPHABET INC-CL C	1.53%	229,372	$88,285,282.80
ILMN	ILLUMINA INC	1.38%	562,016	$79,626,426.88
NVDA	NVIDIA CORP	1.35%	352,952	$77,864,740.72
TER	TERADYNE INC	1.26%	227,320	$73,087,926.40
NTRA	NATERA INC	1.25%	368,606	$72,261,520.24
AVGO	BROADCOM INC	1.18%	165,581	$68,065,381.67
DE	DEERE & CO	1.18%	122,472	$68,347,949.04
VCYT	VERACYTE INC	1.16%	1,610,054	$67,123,151.26
BIDU	BAIDU INC - SPON ADR	1.15%	485,152	$66,795,727.36
XE	X-ENERGY INC	1.11%	2,394,366	$64,097,177.82
RXRX	RECURSION PHARMACEUTICALS-A	0.98%	19,880,504	$56,659,436.40
BABA	ALIBABA GROUP HOLDING-SP ADR	0.97%	413,143	$56,038,716.52
TSM	TAIWAN SEMICONDUCTOR-SP ADR	0.95%	139,814	$54,892,374.54
BWXT	BWX TECHNOLOGIES INC	0.94%	274,958	$54,257,462.14
KTOS	KRATOS DEFENSE & SECURITY	0.91%	988,740	$52,862,984.10
WGS	GENEDX HOLDINGS CORP	0.69%	940,813	$39,636,451.69
CBRS	CEREBRAS SYSTEMS INC - A	0.64%	122,291	$37,131,216.33
META	META PLATFORMS INC-CLASS A	0.61%	58,333	$35,152,049.13
SOFI	SOFI TECHNOLOGIES INC	0.52%	1,990,911	$30,321,574.53
CERS	CERUS CORP	0.41%	8,820,463	$23,815,250.10
PACB	PACIFIC BIOSCIENCES OF CALIF	0.27%	13,476,871	$15,498,401.65

--------------------------

ARKQ
as of 05/20/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.37%	555,482	$224,475,831.02
AMD	ADVANCED MICRO DEVICES	7.35%	384,569	$159,230,794.45
TER	TERADYNE INC	7.09%	477,609	$153,560,845.68
RKLB UQ	ROCKET LAB	6.50%	1,106,143	$140,823,065.33
KTOS	KRATOS DEFENSE & SECURITY	4.90%	1,986,561	$106,211,483.87
GOOG	ALPHABET INC-CL C	4.64%	260,969	$100,446,968.10
DE	DEERE & CO	3.86%	149,633	$83,505,688.31
PLTR	PALANTIR TECHNOLOGIES INC-A	3.68%	589,604	$79,749,837.04
AMZN	AMAZON.COM INC	3.21%	268,244	$69,566,398.96
LHX	L3HARRIS TECHNOLOGIES INC	2.98%	209,511	$64,560,814.65
TSM	TAIWAN SEMICONDUCTOR-SP ADR	2.98%	164,346	$64,523,883.06
ACHR	ARCHER AVIATION INC-A	2.92%	10,689,204	$63,173,195.64
LUNR	INTUITIVE MACHINES INC	2.67%	1,783,531	$57,893,416.26
NVDA	NVIDIA CORP	2.49%	244,609	$53,963,191.49
AVAV	AEROVIRONMENT INC	2.40%	324,173	$51,942,239.79
CAT	CATERPILLAR INC	2.22%	56,008	$48,175,281.20
BIDU	BAIDU INC - SPON ADR	2.02%	318,304	$43,824,094.72
TRMB	TRIMBLE INC	1.92%	762,043	$41,577,066.08
IRDM	IRIDIUM COMMUNICATIONS INC	1.74%	865,997	$37,731,489.29
AUR	AURORA INNOVATION INC	1.73%	5,413,941	$37,572,750.54
KMTUY	KOMATSU LTD -SPONS ADR	1.71%	928,075	$37,123,000.00
BWXT	BWX TECHNOLOGIES INC	1.62%	177,943	$35,113,492.19
CCJ	CAMECO CORP	1.62%	339,457	$35,140,588.64
JOBY	JOBY AVIATION INC	1.60%	3,464,382	$34,643,820.00
AVGO	BROADCOM INC	1.52%	80,267	$32,995,355.69
SYM UQ	SYMBOTIC INC	1.48%	686,196	$31,983,595.56
ESLT	ELBIT SYSTEMS LTD	1.46%	41,023	$31,628,733.00
ISRG	INTUITIVE SURGICAL INC	1.27%	62,255	$27,490,562.90
KDK	KODIAK AI INC	1.15%	3,111,326	$24,859,494.74
XE	X-ENERGY INC	1.08%	871,432	$23,328,234.64
WRD	WERIDE INC-ADR	1.07%	3,474,515	$23,105,524.75
SNPS	SYNOPSYS INC	1.04%	45,701	$22,570,352.87
TDY	TELEDYNE TECHNOLOGIES INC	0.99%	35,447	$21,496,833.15
OKLO	OKLO INC	0.96%	372,257	$20,801,721.16
BYDDY	BYD CO LTD-UNSPONSORED ADR	0.95%	1,721,336	$20,518,325.12
DASH	DOORDASH INC - A	0.95%	133,577	$20,657,683.05
SRTA	STRATA CRITICAL MEDICAL INC	0.91%	3,758,445	$19,619,082.90
PONY	PONY AI INC	0.70%	1,824,022	$15,175,863.04

--------------------------

ARKW
as of 05/20/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	8.84%	370,429	$149,694,063.19
AMD	ADVANCED MICRO DEVICES	8.36%	341,887	$141,558,312.35
CRCL	CIRCLE INTERNET GROUP INC	4.70%	717,190	$79,629,605.70
HOOD	ROBINHOOD MARKETS INC - A	4.58%	1,044,954	$77,493,788.64
ROKU	ROKU INC	4.09%	574,309	$69,250,179.22
SHOP	SHOPIFY INC - CLASS A	4.00%	670,960	$67,773,669.60
AMZN	AMAZON.COM INC	3.98%	259,764	$67,367,195.76
GOOG	ALPHABET INC-CL C	3.84%	168,918	$65,016,538.20
COIN	COINBASE GLOBAL INC -CLASS A	3.72%	326,042	$63,072,824.90
CRWV	COREWEAVE INC-CL A	3.46%	587,258	$58,614,220.98
XYZ	BLOCK INC	2.69%	658,641	$45,558,197.97
PLTR	PALANTIR TECHNOLOGIES INC-A	2.66%	332,926	$45,031,570.76
RBLX	ROBLOX CORP -CLASS A	2.52%	960,065	$42,674,889.25
CRWD	CROWDSTRIKE HOLDINGS INC - A	2.41%	66,118	$40,786,871.84
DDOG	DATADOG INC - CLASS A	2.32%	182,362	$39,235,184.30
AVGO	BROADCOM INC	2.23%	91,839	$37,752,257.73
TSM	TAIWAN SEMICONDUCTOR-SP ADR	2.10%	90,763	$35,634,461.43
META	META PLATFORMS INC-CLASS A	2.06%	58,020	$34,963,432.20
NET	CLOUDFLARE INC - CLASS A	1.93%	158,163	$32,697,036.99
BLSH	BULLISH	1.90%	887,961	$32,170,827.03
BMNR	BITMINE IMMERSION TECHNOLOGI	1.69%	1,539,619	$28,683,101.97
PSTG	EVERPURE INC-A	1.50%	334,759	$25,451,726.77
RBRK	RUBRIK INC-A	1.28%	337,046	$21,682,169.18
NFLX	NETFLIX INC	1.23%	232,655	$20,783,071.15
CBRS	CEREBRAS SYSTEMS INC - A	1.18%	66,075	$20,062,352.25
NVDA	NVIDIA CORP	1.15%	88,386	$19,498,835.46
BIDU	BAIDU INC - SPON ADR	1.07%	131,868	$18,155,586.24
BABA	ALIBABA GROUP HOLDING-SP ADR	1.06%	131,935	$17,895,663.40
DKNG UW	DRAFTKINGS INC-CL A	1.01%	669,057	$17,087,715.78
SPOT	SPOTIFY TECHNOLOGY SA	1.00%	38,389	$16,952,198.51
TOST	TOAST INC-CLASS A	1.00%	726,834	$16,877,085.48
GTLB	GITLAB INC-CL A	0.96%	639,569	$16,283,426.74
GENI	GENIUS SPORTS LTD	0.94%	3,171,938	$15,891,409.38
DASH	DOORDASH INC - A	0.87%	95,472	$14,764,744.80
MELI	MERCADOLIBRE INC	0.83%	8,832	$14,085,803.52
ABNB	AIRBNB INC-CLASS A	0.50%	64,926	$8,515,694.16
ETHQ/U	3IQ ETHER STAKING ETF	0.39%	808,777	$6,631,971.40
SOLQ/U	3IQ SOLANA STAKING ETF	0.17%	432,122	$2,942,750.82

--------------------------

ARKG
as of 05/20/2026

Ticker	Name	Weight	Shares	Market Value
CRSP	CRISPR THERAPEUTICS AG	8.58%	1,933,406	$92,010,791.54
TEM	TEMPUS AI INC-CL A	8.53%	2,010,512	$91,538,611.36
TWST	TWIST BIOSCIENCE CORP	7.80%	1,689,999	$83,654,950.50
TXG	10X GENOMICS INC-CLASS A	6.10%	2,933,861	$65,395,761.69
BEAM	BEAM THERAPEUTICS INC	4.99%	2,033,080	$53,530,996.40
PSNL	PERSONALIS INC	4.87%	7,416,214	$52,210,146.56
ILMN	ILLUMINA INC	4.80%	363,385	$51,484,386.80
ABSI	ABSCI CORP	4.75%	11,011,483	$50,983,166.29
NTRA	NATERA INC	4.44%	243,053	$47,648,110.12
GH	GUARDANT HEALTH INC	4.20%	458,862	$45,055,659.78
NTLA	INTELLIA THERAPEUTICS INC	3.56%	3,194,119	$38,137,780.86
VCYT	VERACYTE INC	3.45%	887,572	$37,002,876.68
CDNA	CAREDX INC	3.32%	1,736,907	$35,658,700.71
RXRX	RECURSION PHARMACEUTICALS-A	3.08%	11,608,452	$33,084,088.20
CMPS	COMPASS PATHWAYS PLC	2.88%	3,067,518	$30,889,906.26
ADPT	ADAPTIVE BIOTECHNOLOGIES	2.28%	1,884,872	$24,427,941.12
NRIX	NURIX THERAPEUTICS INC	2.27%	1,594,526	$24,300,576.24
SDGR	SCHRODINGER INC	2.16%	1,936,277	$23,215,961.23
IONS	IONIS PHARMACEUTICALS INC	1.84%	266,654	$19,689,731.36
BFLY	BUTTERFLY NETWORK INC	1.73%	4,522,547	$18,542,442.70
CERS	CERUS CORP	1.72%	6,847,226	$18,487,510.20
WGS	GENEDX HOLDINGS CORP	1.66%	423,739	$17,852,124.07
ARCT UQ	ARCTURUS THERAPEUTICS HOLDIN	1.62%	2,598,491	$17,383,904.79
ATAI UQ	ATAIBECKLEY INC	1.50%	4,054,066	$16,054,101.36
PRME	PRIME MEDICINE INC	1.15%	4,556,592	$12,302,798.40
MASS	908 DEVICES INC	1.14%	1,806,170	$12,245,832.60
LLY	ELI LILLY & CO	1.11%	11,641	$11,890,233.81
PACB	PACIFIC BIOSCIENCES OF CALIF	1.08%	10,077,039	$11,588,594.85
ALMR	ALAMAR BIOSCIENCES INC	1.06%	551,883	$11,319,120.33
BNTX	BIONTECH SE-ADR	0.96%	117,443	$10,310,320.97
GENB	GENERATE BIOMEDICINES INC	0.54%	465,835	$5,785,670.70
QSI	QUANTUM-SI INC	0.51%	6,408,969	$5,518,122.31

--------------------------

ARKF
as of 01/02/2026

Ticker	Name	Weight	Shares	Market Value
SHOP	SHOPIFY INC - CLASS A	9.65%	662,061	$106,571,959.17
COIN	COINBASE GLOBAL INC -CLASS A	5.67%	276,957	$62,631,055.98
