ARKK
as of 06/17/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	9.60%	1,652,899	$668,862,109.34
TEM	TEMPUS AI INC-CL A	4.95%	6,821,362	$344,888,062.72
SPCX	SPACE EXPLORATION TECHN-CL A	4.90%	1,692,679	$341,582,622.20
HOOD	ROBINHOOD MARKETS INC - A	4.87%	3,511,774	$339,623,663.54
CRSP	CRISPR THERAPEUTICS AG	4.72%	6,323,291	$328,937,597.82
AMD	ADVANCED MICRO DEVICES	4.42%	607,234	$308,043,735.86
SHOP	SHOPIFY INC - CLASS A	4.21%	2,594,356	$293,758,929.88
COIN	COINBASE GLOBAL INC -CLASS A	3.71%	1,527,981	$258,641,343.87
CRCL	CIRCLE INTERNET GROUP INC	3.38%	2,953,156	$235,425,596.32
TWST	TWIST BIOSCIENCE CORP	3.38%	2,769,648	$235,281,597.60
BEAM	BEAM THERAPEUTICS INC	3.04%	6,825,758	$211,530,240.42
ROKU	ROKU INC	3.03%	1,533,278	$211,515,700.10
RBLX	ROBLOX CORP -CLASS A	2.78%	3,925,004	$193,659,697.36
PLTR	PALANTIR TECHNOLOGIES INC-A	2.74%	1,433,214	$190,975,765.50
TXG	10X GENOMICS INC-CLASS A	2.71%	5,957,924	$189,164,087.00
CRWV	COREWEAVE INC-CL A	2.64%	1,570,734	$183,823,000.02
NTLA	INTELLIA THERAPEUTICS INC	2.42%	11,593,770	$168,689,353.50
AMZN	AMAZON.COM INC	2.30%	650,835	$160,105,410.00
GOOG	ALPHABET INC-CL C	1.88%	353,286	$131,104,434.60
NVDA	NVIDIA CORP	1.66%	556,370	$115,396,701.70
BLSH	BULLISH	1.63%	4,372,051	$113,498,443.96
XYZ	BLOCK INC	1.55%	1,446,595	$108,031,714.60
BMNR	BITMINE IMMERSION TECHNOLOGI	1.44%	6,177,765	$100,141,570.65
ILMN	ILLUMINA INC	1.40%	592,296	$97,302,386.88
NTRA	NATERA INC	1.22%	386,350	$85,039,498.50
ACHR	ARCHER AVIATION INC-A	1.19%	15,188,683	$82,626,435.52
BABA	ALIBABA GROUP HOLDING-SP ADR	1.17%	733,709	$81,419,687.73
DE	DEERE & CO	1.09%	129,362	$75,714,284.98
AVGO	BROADCOM INC	1.08%	199,360	$75,100,905.60
CBRS	CEREBRAS SYSTEMS INC - A	1.04%	340,051	$72,175,824.75
TER	TERADYNE INC	0.96%	163,812	$67,056,442.20
META	META PLATFORMS INC-CLASS A	0.95%	110,248	$66,171,952.08
RXRX	RECURSION PHARMACEUTICALS-A	0.95%	20,850,922	$66,305,931.96
VCYT	VERACYTE INC	0.94%	1,292,954	$65,837,217.68
KTOS	KRATOS DEFENSE & SECURITY	0.92%	1,137,803	$64,103,821.02
TSM	TAIWAN SEMICONDUCTOR-SP ADR	0.92%	150,059	$63,899,623.97
WGS	GENEDX HOLDINGS CORP	0.86%	984,127	$59,638,096.20
BWXT	BWX TECHNOLOGIES INC	0.81%	287,284	$56,574,838.12
XE	X-ENERGY INC	0.78%	2,501,920	$54,116,529.60
SOFI	SOFI TECHNOLOGIES INC	0.54%	2,121,632	$37,574,102.72
GOOGL	ALPHABET INC-CL A	0.52%	96,340	$35,958,905.00
FIG	FIGMA INC-CL A	0.44%	1,702,528	$30,611,453.44
CERS	CERUS CORP	0.33%	9,302,170	$22,976,359.90
PACB	PACIFIC BIOSCIENCES OF CALIF	0.28%	14,384,010	$19,418,413.50

--------------------------

ARKQ
as of 06/17/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.17%	557,145	$225,454,295.70
SPCX	SPACE EXPLORATION TECHN-CL A	6.69%	734,251	$148,171,851.80
TER	TERADYNE INC	6.42%	347,801	$142,372,339.35
AMD	ADVANCED MICRO DEVICES	6.41%	279,833	$141,956,482.57
KTOS	KRATOS DEFENSE & SECURITY	5.30%	2,086,177	$117,535,212.18
GOOG	ALPHABET INC-CL C	4.66%	278,157	$103,224,062.70
RKLB UQ	ROCKET LAB	4.49%	951,460	$99,551,259.80
DE	DEERE & CO	3.96%	150,081	$87,840,908.49
PLTR	PALANTIR TECHNOLOGIES INC-A	3.56%	591,369	$78,799,919.25
TSM	TAIWAN SEMICONDUCTOR-SP ADR	3.17%	164,838	$70,192,965.54
AMZN	AMAZON.COM INC	2.99%	269,047	$66,185,562.00
LHX	L3HARRIS TECHNOLOGIES INC	2.94%	210,138	$65,237,342.10
NVDA	NVIDIA CORP	2.79%	298,297	$61,869,780.77
AVAV	AEROVIRONMENT INC	2.45%	325,143	$54,204,589.53
CAT	CATERPILLAR INC	2.40%	56,175	$53,111,215.50
ACHR	ARCHER AVIATION INC-A	2.25%	9,171,141	$49,891,007.04
LUNR	INTUITIVE MACHINES INC	1.89%	1,788,870	$41,788,003.20
KMTUY	KOMATSU LTD -SPONS ADR	1.75%	930,853	$38,835,187.16
TRMB	TRIMBLE INC	1.75%	764,324	$38,812,372.72
CCJ	CAMECO CORP	1.66%	340,473	$36,730,227.24
BWXT	BWX TECHNOLOGIES INC	1.59%	178,475	$35,147,081.75
ESLT	ELBIT SYSTEMS LTD	1.53%	41,145	$33,820,778.55
AUR	AURORA INNOVATION INC	1.50%	5,430,150	$33,341,121.00
JOBY	JOBY AVIATION INC	1.46%	3,474,754	$32,454,202.36
AVGO	BROADCOM INC	1.45%	85,248	$32,113,774.08
BIDU	BAIDU INC - SPON ADR	1.40%	275,067	$31,005,552.24
SYM UQ	SYMBOTIC INC	1.27%	688,250	$28,087,482.50
ISRG	INTUITIVE SURGICAL INC	1.18%	62,441	$26,042,267.87
DASH	DOORDASH INC - A	1.14%	149,173	$25,363,885.19
IRDM	IRIDIUM COMMUNICATIONS INC	1.03%	525,638	$22,838,971.10
TDY	TELEDYNE TECHNOLOGIES INC	1.01%	35,553	$22,400,878.71
WRD	WERIDE INC-ADR	0.99%	3,484,917	$21,954,977.10
OKLO	OKLO INC	0.97%	373,371	$21,450,163.95
XE	X-ENERGY INC	0.95%	972,872	$21,043,221.36
KDK	KODIAK AI INC	0.94%	3,455,721	$20,768,883.21
SNPS	SYNOPSYS INC	0.93%	45,837	$20,552,394.06
BYDDY	BYD CO LTD-UNSPONSORED ADR	0.83%	1,726,489	$18,335,313.18
PONY	PONY AI INC	0.74%	2,067,347	$16,414,735.18
SRTA	STRATA CRITICAL MEDICAL INC	0.73%	2,786,321	$16,272,114.64
GOOGL	ALPHABET INC-CL A	0.28%	16,408	$6,124,286.00

--------------------------

ARKW
as of 06/17/2026

Ticker	Name	Weight	Shares	Market Value
AMD	ADVANCED MICRO DEVICES	8.09%	273,741	$138,866,071.89
TSLA	TESLA INC	7.71%	326,768	$132,229,938.88
HOOD	ROBINHOOD MARKETS INC - A	5.49%	974,050	$94,200,375.50
ROKU	ROKU INC	4.51%	560,551	$77,328,010.45
SHOP	SHOPIFY INC - CLASS A	4.35%	659,732	$74,701,454.36
CRWV	COREWEAVE INC-CL A	3.94%	577,430	$67,576,632.90
GOOG	ALPHABET INC-CL C	3.86%	178,343	$66,183,087.30
AMZN	AMAZON.COM INC	3.66%	255,420	$62,833,320.00
SPCX	SPACE EXPLORATION TECHN-CL A	3.60%	306,032	$61,757,257.60
CRCL	CIRCLE INTERNET GROUP INC	3.28%	705,190	$56,217,746.80
COIN	COINBASE GLOBAL INC -CLASS A	3.16%	320,586	$54,265,592.22
XYZ	BLOCK INC	2.82%	647,621	$48,364,336.28
RBLX	ROBLOX CORP -CLASS A	2.71%	943,997	$46,576,811.98
PLTR	PALANTIR TECHNOLOGIES INC-A	2.54%	327,356	$43,620,187.00
CRWD	CROWDSTRIKE HOLDINGS INC - A	2.44%	61,573	$41,838,237.77
DDOG	DATADOG INC - CLASS A	2.42%	179,310	$41,440,334.10
TSM	TAIWAN SEMICONDUCTOR-SP ADR	2.16%	87,152	$37,111,936.16
AVGO	BROADCOM INC	2.06%	93,842	$35,351,219.82
META	META PLATFORMS INC-CLASS A	2.00%	57,052	$34,243,180.92
NET	CLOUDFLARE INC - CLASS A	1.95%	145,090	$33,511,437.30
NVDA	NVIDIA CORP	1.55%	127,921	$26,532,094.61
BMNR	BITMINE IMMERSION TECHNOLOGI	1.43%	1,513,855	$24,539,589.55
P	EVERPURE INC-A	1.41%	329,159	$24,114,188.34
BLSH	BULLISH	1.39%	921,362	$23,918,557.52
RBRK	RUBRIK INC-A	1.34%	331,406	$22,926,667.08
GENI	GENIUS SPORTS LTD	1.25%	3,118,854	$21,426,526.98
CBRS	CEREBRAS SYSTEMS INC - A	1.13%	91,128	$19,341,918.00
DKNG UW	DRAFTKINGS INC-CL A	1.09%	657,861	$18,755,617.11
FIG	FIGMA INC-CL A	1.05%	1,003,863	$18,049,456.74
